backbone,method,valid_count,epe,raw_epe,bad1,bad3,bad5,boundary_epe,non_boundary_epe,intervention_coverage,intervention_precision,false_update_rate,clean_pixel_degradation,new_bad3
S2M2-S,raw,6324946,0.7714315698439189,0.7714315698439189,0.11169802889176328,0.054614853629667365,0.032806129859002386,1.9030963277623423,0.5854410508297527,0.0,0.0,0.0,0.0,0.0
S2M2-S,aligned_memory,6324946,0.771402766342121,0.7714315698439189,0.11195779393474514,0.05444093921355551,0.0327398842755297,1.9108270282280553,0.5846740408937122,0.5158896207441319,0.5243388502908328,0.4753335099327165,0.21567681790107604,0.0028016728740184486
S2M2-S,fixed_blend_50,6324946,0.7675143394767967,0.7714315698439189,0.11160095295058704,0.05425785457347092,0.03271079315633638,1.9016264849608535,0.5812451518837609,0.5158896207441319,0.5614911531422292,0.4753335099327165,0.18954411947741914,0.001218593517933073
S2M2-S,oracle_raw_memory,6324946,0.7211011847295854,0.7714315698439189,0.1042083205698417,0.0525019502800373,0.03175948064697078,1.8181664683015415,0.5402789477099338,0.2774003130569569,0.9639910890389057,0.2506808148042684,0.0,0.0
S2M2-S,learned_no_abstention,6324946,0.7642228976389747,0.7714315698439189,0.10946480814316648,0.054059275708451364,0.03255632537440423,1.889517682220045,0.5790287047492543,0.006514996367345273,0.4875746714421607,0.0013292043663358012,0.0007190071662004962,3.614282830922579e-05
S2M2-S,learned_calibrated,6324946,0.7642228976389747,0.7714315698439189,0.10946480814316648,0.054059275708451364,0.03255632537440423,1.889517682220045,0.5790287047492543,0.006514996367345273,0.4875746714421607,0.0013292043663358012,0.0007190071662004962,3.614282830922579e-05
S2M2-S,unwarped_previous_control,6324946,0.7645852003419499,0.7714315698439189,0.11130514011348472,0.054416591092864966,0.03243189740980729,1.890238542072223,0.5833555605342253,0.5158896207441319,0.4990161429124705,0.4753335099327165,0.21237582003204925,0.004182931182816467
S2M2-S,identity_no_flow_control,6324946,0.7645852003419499,0.7714315698439189,0.11130514011348472,0.054416591092864966,0.03243189740980729,1.890238542072223,0.5833555605342253,0.5158896207441319,0.4990161429124705,0.4753335099327165,0.21237582003204925,0.004182931182816467
S2M2-S,shuffled_memory_control,6324946,0.8209368319708034,0.7714315698439189,0.12424090275920747,0.058591804643496635,0.03468282568848799,1.9643856905576327,0.6403292677611789,0.5158896207441319,0.4594167578799912,0.4753335099327165,0.21804356137747316,0.010070869790091409
RAFT-Stereo,raw,6324946,0.7040312111765531,0.7040312111765531,0.10198537684902795,0.05214621583078653,0.030143656515445122,1.7063373475541892,0.5452941969810032,0.0,0.0,0.0,0.0,0.0
RAFT-Stereo,aligned_memory,6324946,0.7000560109499393,0.7040312111765531,0.10142031249559291,0.051865106872208674,0.03009322132202715,1.7034598481715406,0.5413363729896059,0.5272562009831314,0.5229242101868604,0.48849022791424607,0.223831439029904,0.005413965716237184
RAFT-Stereo,fixed_blend_50,6324946,0.6905904747527296,0.7040312111765531,0.10107090261261283,0.05179554093425302,0.0299778053548451,1.6690004823519187,0.5371072771116577,0.5272562009831314,0.5640194611835112,0.48849022791424607,0.1971476676768129,0.002817126582707644
RAFT-Stereo,oracle_raw_memory,6324946,0.6250055057052603,0.7040312111765531,0.09284268988597745,0.048037722299338684,0.027362605152968858,1.5341918133643107,0.4835944211509256,0.28512448976375043,0.9664394586036854,0.2553037575836627,0.0,0.0
