run,frame,fx,baseline_mm,valid_px,disp_mae_px,disp_rmse_px,disp_bad1_pct,disp_bad2_pct,disp_bad5_pct,depth_mae_mm,depth_rmse_mm,depth_bad1mm_pct,depth_bad2mm_pct,depth_bad5mm_pct
pretrained,keyframe_0,1112.841978602282,4.348277165573037,1092754,2.4653823375701904,7.462629318237305,34.00856917476395,13.620540396100129,8.964231656896246,4.936654090881348,11.7006254196167,70.15641214765628,44.94845134403535,13.824886479482116
servct_finetuned,keyframe_0,1112.841978602282,4.348277165573037,1092754,2.3800530433654785,7.295503616333008,33.020789674528764,13.986954062854037,8.534857799651157,4.643062591552734,11.143004417419434,68.16419798051528,42.499867307738064,13.316263312694348
pretrained,keyframe_1,1112.841978602282,4.348277165573037,1222150,2.242934226989746,7.986148357391357,33.93863273738903,11.592194084195883,5.887166059812626,1.9284815788269043,5.239207744598389,38.85161395900667,13.160495847481895,6.054003191097656
servct_finetuned,keyframe_1,1112.841978602282,4.348277165573037,1222150,2.4525082111358643,7.914314270019531,47.718037884056784,16.349547927832102,6.058748926072904,2.1472220420837402,5.161372661590576,53.66984412715296,18.577097737593583,6.240968784519085
pretrained,keyframe_2,1112.841978602282,4.348277165573037,1077548,6.895308494567871,18.5933895111084,43.95999064542833,25.82854777698998,19.44804314981792,3.039618968963623,7.006917476654053,31.342455278094338,21.844688125262167,16.822266850293445
servct_finetuned,keyframe_2,1112.841978602282,4.348277165573037,1077548,6.765827178955078,18.35833168029785,43.794800788456755,26.041716935115648,19.118777075359983,2.955402374267578,6.846153736114502,30.776169599869334,21.64284096856938,16.423769521172144
pretrained,keyframe_3,1112.841978602282,4.348277165573037,1201327,2.8208322525024414,10.876644134521484,27.459717462439453,10.336070029226015,7.059526673420309,1.5125547647476196,4.595656871795654,17.64565351482153,8.38930615893924,6.380194568173361
servct_finetuned,keyframe_3,1112.841978602282,4.348277165573037,1201327,3.1429154872894287,10.748212814331055,50.09302213302457,18.212776371462557,6.895707829758259,1.7272225618362427,4.504787445068359,31.926777638394878,11.261879571507174,6.158273309431986
pretrained,keyframe_4,1112.841978602282,4.348277165573037,1046509,6.791279315948486,20.260292053222656,40.92167386998105,24.017566977445963,17.6391220715732,2.7685623168945312,8.207119941711426,28.947194911845003,19.609004795945374,14.928299708841491
servct_finetuned,keyframe_4,1112.841978602282,4.348277165573037,1046509,6.674681186676025,20.123756408691406,38.567656847671635,22.818055076449415,17.294070093998236,2.6869330406188965,8.082691192626953,26.52151104290551,19.49768229417998,14.59404553615879
