scale_x,inference_time_ms,peak_gpu_memory_mb,model_param_count,model_param_count_m,valid_disp_mae,valid_disp_rmse,bad_1px,bad_2px,bad_3px,valid_depth_mae,valid_depth_median,valid_depth_rmse,bad_1mm,bad_2mm,bad_5mm,pred_disp_le_0_1_ratio,pred_disp_le_0_5_ratio,valid_pixel_ratio,model,resize_width,resize_label,avg_inference_time_ms,median_inference_time_ms,image_resolution_used,frames,checkpoint
1.0,353.8394214119762,1488.189453125,26501043,26.501043,4.166681814193725,13.019009017944336,31.52257965340018,15.836162926361624,13.351395034954857,2.7451708793640135,0.6992969512939453,7.3106207847595215,34.02213269041379,19.78729686035723,11.36443821422336,0.0,0.0,0.8606396484375001,S,0,full,353.8394214119762,162.31076302938163,1024x1280,5,/home/pampaj/Desktop/stereo/s2m2/weights/pretrain_weights/CH128NTR1.pth
0.8,127.39896320272237,1012.47802734375,26501043,26.501043,4.193284416198731,13.030819129943847,32.96569756105125,16.158443026113783,13.421553366890237,2.7770489692687987,0.7272567749023438,7.329289340972901,34.99064932375401,20.343727687909926,11.462998067294865,0.0,0.0,0.8606396484375001,S,1024,1024,127.39896320272237,116.90259794704616,819x1024,5,/home/pampaj/Desktop/stereo/s2m2/weights/pretrain_weights/CH128NTR1.pth
0.575,88.34568897727877,605.3427734375,26501043,26.501043,4.231781721115112,13.040236759185792,35.126280305907514,16.690243712825712,13.539539221378002,2.822510266304016,0.7723533630371093,7.3510740280151365,36.439982035465896,21.193855886709674,11.592499638301133,0.0,0.0,0.8606396484375001,S,736,736,88.34568897727877,75.9221559856087,589x736,5,/home/pampaj/Desktop/stereo/s2m2/weights/pretrain_weights/CH128NTR1.pth
0.4,69.78078137617558,374.86962890625,26501043,26.501043,4.277226305007934,13.038179874420166,37.76356624222422,18.009597523586947,13.79840152393177,2.865985608100891,0.8205574035644532,7.355463886260987,38.57618061790899,22.23434026895455,11.665231402791484,0.0,0.0,0.8606396484375001,S,512,512,69.78078137617558,60.84754900075495,410x512,5,/home/pampaj/Desktop/stereo/s2m2/weights/pretrain_weights/CH128NTR1.pth
1.0,486.6216561989859,2899.50439453125,180724083,180.724083,4.1445197582244875,13.035643005371094,29.57605351347167,15.467373159761348,13.316732911631927,2.7099709510803223,0.6541835784912109,7.310816097259521,32.20944379565482,18.98588823487129,11.323635909745605,0.0,0.0,0.8606396484375001,L,0,full,486.6216561989859,484.18232903350145,1024x1280,5,/home/pampaj/Desktop/stereo/s2m2/weights/pretrain_weights/CH256NTR3.pth
0.8,328.0786936171353,2244.7265625,180724083,180.724083,4.159069204330445,13.034284973144532,30.520145571869215,15.64737880148435,13.351447264531728,2.7264857053756715,0.6768177032470704,7.310995864868164,33.010244534924574,19.348611179054302,11.341882512955298,0.0,0.0,0.8606396484375001,L,1024,1024,328.0786936171353,327.6392100378871,819x1024,5,/home/pampaj/Desktop/stereo/s2m2/weights/pretrain_weights/CH256NTR3.pth
0.575,187.03137580305338,1671.05419921875,180724083,180.724083,4.170895004272461,13.03386287689209,31.194364562560043,15.833494053450275,13.419410538622675,2.742452597618103,0.6919387817382813,7.319535255432129,33.51566886179666,19.671981665136183,11.377898892943087,0.0,0.0,0.8606396484375001,L,736,736,187.03137580305338,182.52726504579186,589x736,5,/home/pampaj/Desktop/stereo/s2m2/weights/pretrain_weights/CH256NTR3.pth
0.4,130.51856998354197,1351.4306640625,180724083,180.724083,4.214629173278809,13.033204269409179,34.15225111513629,16.51548391889124,13.529126306159588,2.7961899042129517,0.7593395233154296,7.32891435623169,35.61590609088911,20.926565862077453,11.485527846798279,0.0,0.0,0.8606396484375001,L,512,512,130.51856998354197,126.74929003696889,410x512,5,/home/pampaj/Desktop/stereo/s2m2/weights/pretrain_weights/CH256NTR3.pth
1.0,890.3121311916038,5179.36572265625,405710003,405.710003,4.130271577835083,13.027006721496582,28.908384375149446,15.441187997373792,13.288344978249787,2.6963369607925416,0.6368064880371094,7.304773044586182,31.849921343405605,18.829156849044846,11.281806947181789,0.0,0.0,0.8606396484375001,XL,0,full,890.3121311916038,888.5629159631208,1024x1280,5,/home/pampaj/Desktop/stereo/s2m2/weights/pretrain_weights/CH384NTR3.pth
0.8,574.3661427870393,4132.61572265625,405710003,405.710003,4.139230251312256,13.023911380767823,29.537778197009153,15.640035187382427,13.316576241239067,2.7085686683654786,0.6477607727050781,7.309044075012207,32.328465994989436,19.036084269669782,11.304948115673419,0.0,0.0,0.8606396484375001,XL,1024,1024,574.3661427870393,571.0427729645744,819x1024,5,/home/pampaj/Desktop/stereo/s2m2/weights/pretrain_weights/CH384NTR3.pth
0.575,322.5293275900185,3318.130859375,405710003,405.710003,4.152873182296753,13.025194835662841,30.124526009205407,15.861052538296684,13.481546876676896,2.7281055212020875,0.6666511535644531,7.322697544097901,32.8225989684098,19.486967868382948,11.354458004674157,0.0,0.0,0.8606396484375001,XL,736,736,322.5293275900185,319.6015930734575,589x736,5,/home/pampaj/Desktop/stereo/s2m2/weights/pretrain_weights/CH384NTR3.pth
0.4,164.56547358538955,2850.568359375,405710003,405.710003,4.177946662902832,13.038764476776123,31.054715516186103,16.11499632097715,13.657907736461828,2.7579174041748047,0.6957183837890625,7.343136787414551,33.58501327323613,20.08089151769347,11.430275065757314,0.0,0.0,0.8606396484375001,XL,512,512,164.56547358538955,161.4662710344419,410x512,5,/home/pampaj/Desktop/stereo/s2m2/weights/pretrain_weights/CH384NTR3.pth
