dataset_id,keyframe_id,valid_px,valid_ratio,epe_px,bad3_pct,abs_rel,depth_mae_mm,delta1_pct
dataset_1,keyframe_1,1071612,0.8175750732421875,7.609355449676514,26.22105762160185,0.09715340286493301,4.024393558502197,87.13470920445087
dataset_1,keyframe_2,1138971,0.8689659118652344,4.035151481628418,14.701954659073849,0.06165745481848717,3.3676295280456543,92.80166044613955
dataset_1,keyframe_3,1198731,0.9145591735839844,3.235579490661621,11.780541255711247,0.05178239569067955,2.9838130474090576,94.30731331716625
dataset_1,keyframe_4,983781,0.7505653381347657,11.775697708129883,31.240591147826603,0.10592563450336456,3.021122932434082,86.31697501781392
dataset_1,keyframe_5,963131,0.7348106384277344,10.152076721191406,27.954245061159906,0.11073549091815948,3.792236804962158,85.8270577937996
dataset_2,keyframe_1,891194,0.6799270629882812,14.923080444335938,43.65233607946193,0.14138750731945038,4.215805530548096,81.84839664539932
dataset_2,keyframe_2,1184187,0.9034629821777344,2.663438081741333,10.257501560142106,0.047188688069581985,3.09097957611084,95.58059664563113
dataset_2,keyframe_3,723037,0.5516334533691406,18.77184295654297,46.52611138849049,0.17245568335056305,5.106898307800293,78.1138447963244
dataset_2,keyframe_4,930058,0.7095779418945313,13.118270874023438,28.296622361186074,0.10387597978115082,2.580524206161499,86.35257156005325
dataset_2,keyframe_5,1041000,0.794219970703125,5.578845500946045,23.04514889529299,0.0858730748295784,4.692052364349365,89.72891450528338
dataset_3,keyframe_1,1024285,0.7814674377441406,5.493805885314941,18.111658376330805,0.0745794028043747,4.163449764251709,91.5021698062551
dataset_3,keyframe_2,1039949,0.7934181213378906,9.201796531677246,27.32682083448323,0.09914164245128632,3.954960823059082,87.31995511318344
dataset_3,keyframe_3,960485,0.7327919006347656,8.116278648376465,26.60551700443005,0.11068782955408096,5.349208354949951,86.0032171246818
dataset_3,keyframe_4,1005984,0.7675048828125,8.672929763793945,26.91861898399975,0.1013549268245697,4.185819149017334,86.71837723065178
