dataset_id,keyframe_id,valid_px,valid_ratio,epe_px,bad3_pct,abs_rel,depth_mae_mm,delta1_pct
dataset_1,keyframe_1,711538,0.5428604125976563,1.0274165868759155,2.0800013491900646,0.013609019108116627,0.8477761149406433,99.99915675620979
dataset_1,keyframe_2,812104,0.619586181640625,0.9913986325263977,1.7151744111591618,0.016367832198739052,1.2554696798324585,99.87292267985381
dataset_1,keyframe_3,850214,0.6486618041992187,0.934447169303894,0.9924560169557312,0.01582282967865467,1.2697806358337402,99.9994119127655
dataset_1,keyframe_4,670652,0.5116668701171875,1.4028265476226807,9.252339514383017,0.013282915577292442,0.5818170309066772,99.98643111479575
dataset_1,keyframe_5,661873,0.5049690246582031,1.1282950639724731,4.327718459583636,0.012867468409240246,0.7128898501396179,99.98428701578702
dataset_2,keyframe_1,608423,0.4641899108886719,1.9598482847213745,19.609219243848443,0.019005874171853065,0.8598109483718872,99.98570073780905
dataset_2,keyframe_2,887191,0.6768730163574219,1.0652247667312622,3.187137831650682,0.019656328484416008,1.6765730381011963,99.98985562297182
dataset_2,keyframe_3,496833,0.37905349731445315,2.1947734355926514,20.5761292023678,0.02197868935763836,1.1286109685897827,99.6590403616507
dataset_2,keyframe_4,635765,0.4850502014160156,1.2515066862106323,4.273748948117622,0.010201647877693176,0.38999229669570923,99.97782199397575
dataset_2,keyframe_5,759702,0.5796066284179687,1.2962130308151245,7.752776746671722,0.0212948527187109,1.6450142860412598,99.5565366419991
dataset_3,keyframe_1,759440,0.57940673828125,1.1819924116134644,5.941219846202465,0.019261781126260757,1.6491655111312866,99.88465184873064
dataset_3,keyframe_2,733774,0.5598251342773437,1.3430233001708984,5.856162796719426,0.01745438389480114,1.2381341457366943,99.61527663831097
dataset_3,keyframe_3,653728,0.4987548828125,1.1231496334075928,3.373727299427285,0.018621038645505905,1.5781011581420898,99.76167458025355
dataset_3,keyframe_4,672805,0.5133094787597656,1.1429245471954346,4.275533029629685,0.014445970766246319,1.0396498441696167,99.65770171149144
dataset_3,keyframe_5,657413,0.5015663146972656,3.41227388381958,12.223366437840443,0.03376352787017822,1.7919232845306396,99.16445217846316
dataset_4,keyframe_1,711639,0.5429374694824218,4.957785606384277,43.43100926171837,0.06309909373521805,3.741725206375122,94.88546861540753
dataset_4,keyframe_2,803883,0.6133140563964844,7.201423645019531,41.49596396490534,0.06510838121175766,3.604555368423462,90.58407753367095
dataset_4,keyframe_3,699779,0.5338890075683593,6.599530220031738,44.99777786987034,0.06894530355930328,3.091590642929077,92.8820384721462
dataset_4,keyframe_4,622708,0.4750885009765625,7.9096479415893555,62.11948457382914,0.059074003249406815,2.559832811355591,98.46284293762085
dataset_4,keyframe_5,704671,0.5376213073730469,5.933339595794678,63.19204281146805,0.04864734038710594,2.2122769355773926,99.9797068419163
dataset_5,keyframe_1,668804,0.5102569580078125,23.72007942199707,67.09110591443832,0.1636030375957489,9.822405815124512,75.11184143635504
dataset_5,keyframe_2,510158,0.38921966552734377,9.954137802124023,63.95410833506482,0.0637817308306694,2.6227991580963135,98.4002995150522
dataset_5,keyframe_3,628468,0.4794830322265625,10.191651344299316,69.06540985380322,0.08267538249492645,4.10626745223999,91.51301259570893
dataset_5,keyframe_4,753032,0.574517822265625,6.035859107971191,63.747755739463926,0.05365532264113426,2.6980650424957275,99.80771069489744
dataset_5,keyframe_5,716589,0.5467140197753906,8.604985237121582,63.9295328284414,0.05157206207513809,1.7743438482284546,98.01964584999212
dataset_6,keyframe_1,828409,0.6320259094238281,0.8324516415596008,1.4716160737027242,0.017092714086174965,1.825393795967102,99.9811687222133
dataset_6,keyframe_2,791544,0.603900146484375,0.8593506813049316,0.7391882194799025,0.011061195284128189,0.7465531826019287,99.98862981716746
dataset_6,keyframe_3,873766,0.6666305541992188,0.8704222440719604,2.073323979188936,0.013295154087245464,1.0693426132202148,99.9876397113186
dataset_6,keyframe_4,873574,0.6664840698242187,1.08790123462677,2.603557340305458,0.017890924587845802,1.598785400390625,98.82402635609576
dataset_6,keyframe_5,879832,0.671258544921875,1.2988203763961792,3.568067540166759,0.020578788593411446,2.0423779487609863,98.38798770674401
dataset_7,keyframe_1,613827,0.46831283569335935,1.2533681392669678,6.689344065999052,0.0172845758497715,1.4855023622512817,99.89834269264793
dataset_7,keyframe_2,521037,0.3975196838378906,1.3648487329483032,8.115546496697931,0.016105961054563522,1.1546783447265625,99.88618850484706
dataset_7,keyframe_3,528555,0.4032554626464844,1.8519161939620972,8.933223600192978,0.013560991734266281,0.6121700406074524,99.49636272478739
dataset_7,keyframe_4,720083,0.5493797302246094,1.3778055906295776,8.563596141000412,0.014873877167701721,0.8727057576179504,99.87640313686062
dataset_7,keyframe_5,793976,0.605755615234375,0.8226127624511719,0.8661470875693975,0.01310558058321476,1.5347570180892944,99.93488468165285
dataset_8,keyframe_0,793449,0.6053535461425781,0.8243646025657654,0.6709946070887984,0.019241828471422195,2.143343448638916,99.99495871820369
dataset_8,keyframe_1,852680,0.650543212890625,0.8751512169837952,1.2525214617441478,0.013305773958563805,0.995410144329071,99.99519163109255
dataset_8,keyframe_2,730550,0.5573654174804688,0.9502924084663391,2.510163575388406,0.011012834496796131,0.6259644031524658,99.99165012661693
dataset_8,keyframe_3,855406,0.6526229858398438,0.7953565120697021,1.2287732375035947,0.009774260222911835,0.5864786505699158,99.99509005080628
dataset_8,keyframe_4,742705,0.5666389465332031,0.9876649379730225,3.1289677597431007,0.011092429049313068,0.6302401423454285,99.93873745295912
dataset_9,keyframe_0,831443,0.6343406677246094,1.969582200050354,11.945978257078355,0.0381406806409359,3.341970920562744,99.18058123046319
dataset_9,keyframe_1,743370,0.5671463012695312,1.586694359779358,6.074229522310558,0.015131480060517788,0.769540011882782,98.97197896067908
dataset_9,keyframe_2,700805,0.5346717834472656,1.3270044326782227,6.846983112278022,0.016870202496647835,0.9901540875434875,99.89126789905895
dataset_9,keyframe_3,585911,0.44701461791992186,3.0374515056610107,29.31059495384111,0.023357203230261803,0.9650974273681641,98.85887105720835
dataset_9,keyframe_4,589315,0.4496116638183594,1.8500580787658691,17.757565987629707,0.01222966518253088,0.39803507924079895,99.9960971636561
