quantile,backbone,sequence,valid_pixels,raw_error_sum,base_error_sum,veto_error_sum,base_authorized,veto_authorized,base_harmful,veto_harmful,raw_clean,base_clean_harmful,veto_clean_harmful,raw_epe,base_epe,veto_epe,base_gain,veto_gain,gain_retained,base_coverage,veto_coverage,base_harmful_acceptance,veto_harmful_acceptance,base_clean_degradation,veto_clean_degradation,harmful_updates_removed,authorized_updates_retained
0.5,S2M2-S,dataset_7_keyframe_1,2954590.0,508443.54821777344,507262.5495605469,507466.2557373047,5843.0,3838.0,1897.0,1043.0,1261996.0,440.0,235.0,0.17208599102338173,0.1716862744274322,0.17175522009392324,0.0003997165959495341,0.0003307709294584904,0.827513625429382,0.0019776009530933225,0.0012989957997556344,0.32466198870443264,0.2717561229807191,0.00034865403693831043,0.00018621295154659762,0.45018450184501846,0.6568543556392265
0.5,S2M2-S,dataset_7_keyframe_2,250844.0,45817.74229431152,45836.07985305786,45827.42196941376,206.0,110.0,106.0,53.0,110276.0,12.0,5.0,0.18265432816535984,0.18272743160313926,0.18269291659124298,-7.310343777941486e-05,-3.8588425883140376e-05,-38588425.88314038,0.0008212275358390075,0.00043851955797228557,0.5145631067961165,0.4818181818181818,0.00010881787514962457,4.5340781312343575e-05,0.5,0.5339805825242718
0.5,RAFT-Stereo,dataset_7_keyframe_1,2954939.0,421735.7624511719,420661.88037109375,420623.1052246094,8767.0,7822.0,3521.0,3054.0,1670092.0,1460.0,1250.0,0.14272232436986748,0.14235890499637852,0.14234578284851546,0.0003634193734889657,0.0003765415213520251,1.0361074527675334,0.0029668971169963237,0.0026470935609838307,0.40161971027717575,0.39043722833035027,0.0008742033373011786,0.0007484617613879954,0.1326327747798921,0.8922094216949926
0.5,RAFT-Stereo,dataset_7_keyframe_2,250858.0,36308.29625034332,36282.80173301697,36275.22165489197,469.0,443.0,167.0,156.0,135422.0,61.0,59.0,0.14473644950666642,0.1446348202290418,0.14460460361994423,0.00010162927762460972,0.00013184588672218722,1.2973218919176939,0.0018695835891221328,0.0017659392963349783,0.35607675906183367,0.35214446952595935,0.0004504437979058056,0.0004356751487941398,0.06586826347305386,0.9445628997867804
0.5,StereoAnywhere,dataset_7_keyframe_1,2954979.0,467991.14306640625,466572.8018798828,466671.88049316406,5341.0,4787.0,1213.0,1045.0,1513431.0,222.0,190.0,0.15837376274633636,0.1578937792383238,0.157927308618154,0.00047998350801256584,0.0004464541281823664,0.9301447252447648,0.0018074578533383825,0.0016199776715841298,0.22711102789739748,0.21829956131188635,0.00014668656846595582,0.00012554255859698922,0.13849958779884586,0.8962741059726643
0.5,StereoAnywhere,dataset_7_keyframe_2,250869.0,47678.48158073425,47626.44431400299,47627.296067237854,271.0,253.0,100.0,92.0,118746.0,12.0,7.0,0.19005330104849244,0.1898458730014589,0.18984926821264425,0.00020742804703355322,0.0002040328358481891,0.9836318606190467,0.0010802450681431344,0.001008494473211118,0.36900369003690037,0.36363636363636365,0.00010105603557172452,5.894935408350597e-05,0.07999999999999996,0.933579335793358
0.75,S2M2-S,dataset_7_keyframe_1,2954590.0,508443.54821777344,507262.5495605469,507603.09533691406,5843.0,2639.0,1897.0,555.0,1261996.0,440.0,119.0,0.17208599102338173,0.1716862744274322,0.17180153433705322,0.0003997165959495341,0.0002844566863285103,0.7116459241647903,0.0019776009530933225,0.0008931865334953411,0.32466198870443264,0.21030693444486548,0.00034865403693831043,9.429506908104304e-05,0.7074327886136005,0.451651548861886
0.75,S2M2-S,dataset_7_keyframe_2,250844.0,45817.74229431152,45836.07985305786,45817.66199016571,206.0,37.0,106.0,12.0,110276.0,12.0,0.0,0.18265432816535984,0.18272743160313926,0.18265400802955506,-7.310343777941486e-05,3.201358047821845e-07,320135.80478218454,0.0008212275358390075,0.0001475020331361324,0.5145631067961165,0.32432432432432434,0.00010881787514962457,0.0,0.8867924528301887,0.1796116504854369
0.75,RAFT-Stereo,dataset_7_keyframe_1,2954939.0,421735.7624511719,420661.88037109375,420624.193359375,8767.0,6728.0,3521.0,2522.0,1670092.0,1460.0,996.0,0.14272232436986748,0.14235890499637852,0.14234615109123233,0.0003634193734889657,0.00037617327863515015,1.0350941806534475,0.0029668971169963237,0.0022768659522243943,0.40161971027717575,0.3748513674197384,0.0008742033373011786,0.0005963743314739547,0.28372621414370913,0.7674232918900422
0.75,RAFT-Stereo,dataset_7_keyframe_2,250858.0,36308.29625034332,36282.80173301697,36272.63388633728,469.0,425.0,167.0,148.0,135422.0,61.0,56.0,0.14473644950666642,0.1446348202290418,0.14459428794910778,0.00010162927762460972,0.0001421615575586399,1.398824835533567,0.0018695835891221328,0.0016941855551746406,0.35607675906183367,0.34823529411764703,0.0004504437979058056,0.00041352217512664115,0.11377245508982037,0.906183368869936
0.75,StereoAnywhere,dataset_7_keyframe_1,2954979.0,467991.14306640625,466572.8018798828,466786.14208984375,5341.0,4185.0,1213.0,866.0,1513431.0,222.0,148.0,0.15837376274633636,0.1578937792383238,0.15796597609994648,0.00047998350801256584,0.0004077866463898794,0.8495847036044489,0.0018074578533383825,0.0014162537195695807,0.22711102789739748,0.2069295101553166,0.00014668656846595582,9.779104564397055e-05,0.28606760098928274,0.7835611308743681
0.75,StereoAnywhere,dataset_7_keyframe_2,250869.0,47678.48158073425,47626.44431400299,47632.508768081665,271.0,237.0,100.0,89.0,118746.0,12.0,6.0,0.19005330104849244,0.1898458730014589,0.18987004678968572,0.00020742804703355322,0.00018325425880671986,0.8834594040075832,0.0010802450681431344,0.0009447161666048814,0.36900369003690037,0.3755274261603376,0.00010105603557172452,5.052801778586226e-05,0.10999999999999999,0.8745387453874539
0.9,S2M2-S,dataset_7_keyframe_1,2954590.0,508443.54821777344,507262.5495605469,507732.9637451172,5843.0,1934.0,1897.0,332.0,1261996.0,440.0,58.0,0.17208599102338173,0.1716862744274322,0.1718454891355881,0.0003997165959495341,0.00024050188779364823,0.6016810165770865,0.0019776009530933225,0.0006545747464115156,0.32466198870443264,0.17166494312306102,0.00034865403693831043,4.595894123277728e-05,0.8249868212967844,0.3309943522163272
0.9,S2M2-S,dataset_7_keyframe_2,250844.0,45817.74229431152,45836.07985305786,45819.12549686432,206.0,14.0,106.0,5.0,110276.0,12.0,0.0,0.18265432816535984,0.18272743160313926,0.1826598423596511,-7.310343777941486e-05,-5.514194291261765e-06,-5514194.291261765,0.0008212275358390075,5.581158010556362e-05,0.5145631067961165,0.35714285714285715,0.00010881787514962457,0.0,0.9528301886792453,0.06796116504854369
