dataset,split,temporal_model,temporal_model_hash,temporal_model_checkpoint_hash,backbone,backbone_status,dataset_role,domain_status,dataset_domain_seen_in_training,evaluation_split_used_in_training,temporal_applicability,metric_scope,protocol,d4dx5fxnox5fxreferencex5fxsummary__motionx5fxcompensatedx5fxinconsistency__raw__equalx5fxframex5fxmean,d4dx5fxnox5fxreferencex5fxsummary__motionx5fxcompensatedx5fxinconsistency__raw__framex5fxcount,d4dx5fxnox5fxreferencex5fxsummary__motionx5fxcompensatedx5fxinconsistency__refined__equalx5fxframex5fxmean,d4dx5fxnox5fxreferencex5fxsummary__motionx5fxcompensatedx5fxinconsistency__refined__framex5fxcount,d4dx5fxnox5fxreferencex5fxsummary__supportx5fxcoverage__support__equalx5fxframex5fxmean,d4dx5fxnox5fxreferencex5fxsummary__supportx5fxcoverage__support__framex5fxcount,d4dx5fxnox5fxreferencex5fxsummary__updatex5fxmagnitude__refined__equalx5fxframex5fxmean,d4dx5fxnox5fxreferencex5fxsummary__updatex5fxmagnitude__refined__framex5fxcount
D4D,,ablation_h4,,5c78cb73ba5f5bc39ca3bed58a5e3ccf41be4c954ec8ffae43417b80ad33a300,RAFT-Stereo,training_seen,OOD_no_reference,OOD,False,False,NO_REFERENCE_DIAGNOSTIC,no_reference_prediction_space,"four-frame curated causal windows, past-to-present",0.5094060177013041,252.0,0.1933703219281539,252.0,0.9751705943592011,252.0,0.3304474711240757,252.0
D4D,,ablation_h4,,5c78cb73ba5f5bc39ca3bed58a5e3ccf41be4c954ec8ffae43417b80ad33a300,StereoAnywhere,training_seen,OOD_no_reference,OOD,False,False,NO_REFERENCE_DIAGNOSTIC,no_reference_prediction_space,"four-frame curated causal windows, past-to-present",6.927071224720705,252.0,3.238554650330491,252.0,0.9751666140934777,252.0,3.047845582766939,252.0
