phase,threshold,coverage,epe,gain,harmful_selected_fraction
test,0.0,0.4246527850627899,0.15289406478405,0.002349153161048889,0.007904061116278172
test,0.01,0.2954089641571045,0.15289728343486786,0.002345934510231018,0.011362152174115181
test,0.05,0.2716435194015503,0.152907595038414,0.0023356229066848755,0.012356199324131012
test,0.1,0.25968363881111145,0.1529238373041153,0.0023193806409835815,0.012925270944833755
test,0.2,0.24421297013759613,0.15294723212718964,0.0022959858179092407,0.013744075782597065
test,0.4,0.2140817940235138,0.15289027988910675,0.0023529380559921265,0.015498287975788116
test,0.6,0.12052469700574875,0.15171650052070618,0.0035267174243927,0.024327784776687622
test,0.8,0.08692129701375961,0.1511901170015335,0.004053100943565369,0.024411894381046295
test,0.0,0.4114583432674408,0.15016762912273407,0.0028650015592575073,0.04969526454806328
test,0.01,0.3039737939834595,0.150165393948555,0.0028672367334365845,0.06726741790771484
test,0.05,0.2867284119129181,0.15015077590942383,0.002881854772567749,0.07131323963403702
test,0.1,0.27665895223617554,0.15013010799884796,0.0029025226831436157,0.07390879839658737
test,0.2,0.2597222328186035,0.1500750631093979,0.002957567572593689,0.07872845977544785
test,0.4,0.22480711340904236,0.1499040275812149,0.0031286031007766724,0.09095589816570282
test,0.6,0.15046297013759613,0.14959682524204254,0.0034358054399490356,0.1358974426984787
test,0.8,0.10841049998998642,0.14951711893081665,0.0035155117511749268,0.18256227672100067
test,0.0,0.3983410596847534,0.16538356244564056,0.0038317590951919556,0.07186440378427505
test,0.01,0.29695218801498413,0.16538694500923157,0.003828376531600952,0.09640119224786758
test,0.05,0.2790895104408264,0.1654033213853836,0.0038120001554489136,0.10257118940353394
test,0.1,0.2672453820705414,0.1654326617717743,0.0037826597690582275,0.10711707919836044
test,0.2,0.2522762417793274,0.16549664735794067,0.0037186741828918457,0.11347300559282303
test,0.4,0.2234182208776474,0.16572977602481842,0.003485545516014099,0.12812985479831696
test,0.6,0.15127316117286682,0.16572998464107513,0.0034853368997573853,0.18745218217372894
test,0.8,0.12295525521039963,0.16538763046264648,0.003827691078186035,0.23031063377857208
test,0.0,0.38896605372428894,0.16956977546215057,-0.003332659602165222,0.10017853230237961
test,0.01,0.29039353132247925,0.16957031190395355,-0.0033331960439682007,0.1341836005449295
test,0.05,0.2704475522041321,0.16956409811973572,-0.003326982259750366,0.14407987892627716
test,0.1,0.26207563281059265,0.16955497860908508,-0.0033178627490997314,0.14868246018886566
test,0.2,0.24791668355464935,0.16952502727508545,-0.0032879114151000977,0.1571739763021469
test,0.4,0.21921297907829285,0.1693936586380005,-0.0031565427780151367,0.17775431275367737
