epoch,train_total,train_disparity,train_reset,train_fusion,validation_fused_epe,validation_gain
1,1.7683767133214916,0.07941715426316391,0.6887572625726964,1.0002022977573837,0.3110911102701792,-0.0014395888095172227
2,1.7009248166702906,0.06807389903251686,0.6406386897282565,0.9922122267889429,0.3106633720961458,-0.001011850635483813
3,1.649505083602382,0.06180887349547667,0.6241189395526292,0.9635772735601918,0.308938107256756,0.000713414203905971
4,1.568819487246573,0.05602206777021622,0.5791865085821043,0.9336109099034416,0.3075039163743994,0.002147605086262605
5,1.5098350045105302,0.05203739894625704,0.5569516887842783,0.9008459191859546,0.3068122141987783,0.0028393072618836945
6,1.471604601112972,0.050641100071798395,0.5376460796049132,0.8833174213424815,0.30568991765236636,0.003961603808295633
7,1.4259337205312623,0.050212797625273614,0.520419859287891,0.8553010655219032,0.3009268578292073,0.008724663631454688
8,1.388765896147338,0.05055194139026203,0.507229374045029,0.8309845791737682,0.2990322882116047,0.01061923324905728
9,1.3359429540284888,0.04973387444122451,0.48207032102913633,0.8041387579220559,0.2977308534776866,0.01192066798297542
10,1.2803522824482618,0.04745923742579099,0.45423199957464255,0.7786610458002262,0.2975537007689467,0.012097820691715278
11,1.2626409433703478,0.05160593945003496,0.4465778985754954,0.764457104943836,0.2980640816426934,0.011587439817968614
12,1.201032004820346,0.04713842678672913,0.41928822734811005,0.7346053520653427,0.29582383752959934,0.013827683931062651
