backbone,raw_epe,memory_epe,fused_epe,oracle_epe,raw_bad1,raw_bad3,fused_bad1,fused_bad3,harmful_update_rate,clean_pixel_degradation,effective_temporal_fraction,gain,oracle_gain,oracle_recovery,frames_worsened_fraction,worst_frame_degradation
S2M2-S,0.5692236663558742,0.5687483116384594,0.5498022817948364,0.5284864911062904,0.0777052726052569,0.03714738672678518,0.07289462099286698,0.03585013589190184,0.007611127799374771,0.03955110451612987,0.7534386817748454,0.019421384561037813,0.04073717524958376,0.47674843535540073,0.2964665326055731,0.1664867401123047
RAFT-Stereo,0.514768915644598,0.5112238705614308,0.48547917106583144,0.4535849351740328,0.07161723952429395,0.035530241396332526,0.06866571922677146,0.03393233803345004,0.007380407061354733,0.038110069146782256,0.7466717487249428,0.029289744578766597,0.061183980470565225,0.47871590493948807,0.25021545532892847,0.4104149341583252
StereoAnywhere,0.5155059483487792,0.5135644808394844,0.48152389143677665,0.46043855413588397,0.07028621088840507,0.03499837382721162,0.06626541297402352,0.032802302266262344,0.006762890418478253,0.03392763307357496,0.7523539271209906,0.03398205691200251,0.05506739421289519,0.6170994178628648,0.2608445848893996,0.18005920946598053
