dataset,raw_epe,fused_epe,fused_gain,raw_mc_inconsistency,fused_mc_inconsistency,mc_delta,geometry_status
SCARED-C,0.5336854001350894,0.506132751398823,0.027552648569097962,,,,
D4D,,,,2.304953621612846,1.0236931396888331,-1.281260459829106,NOT REPORTED: D4D Zivid stereo-disparity contract is inconsistent
