backbone,historical_only_count,recurrent_only_count,raw_epe,historical_memory_epe,recurrent_memory_epe,fused_epe,historical_selection_oracle_epe,recurrent_selection_oracle_epe,convex_fusion_oracle_epe,historical_selection_gain,recurrent_selection_gain,convex_fusion_gain,fused_gain,endpoint_selection_gain,beyond_endpoint_gain_signed,interpolation_advantage,recurrent_candidate_improvement,gt_between_endpoint_fraction,fused_better_than_both_fraction,fused_worse_than_both_fraction,harmful_update_rate,clean_pixel_degradation,reset_mean,fusion_mean,temporal_weight_mean,temporal_weight_p95,recurrent_raw_difference_mean,delta_fusion_mean,delta_fusion_p95,w_star_mean,temporal_valid_count,reset,pre_reset,evidence_reset,state_age_before,accumulated_update_before,disagreement_mean,warp_support_fraction,fb_confidence_mean,decision_temporal_activation,decision_update_magnitude,historical_selection_normalized_gain,recurrent_selection_normalized_gain,convex_fusion_normalized_gain,frames_worsened_fraction,worst_frame_degradation
RAFT-Stereo,0.0,0.0,0.5152946786200612,0.511742023496738,0.4931675673977191,0.48601925051791456,0.45411546396356606,0.44088133089890646,0.43098739565557354,0.06117921433115356,0.07441334712899045,0.08430728462635004,0.029275430270519737,0.07441334712899045,-0.045137916972995185,0.0009444881124926072,0.018574456231239624,0.13733491148382135,0.06237938405355272,0.0016827425142530064,0.02881923908005103,0.038093220163870053,0.6377185219001283,0.44435960436900035,0.36760094655110187,0.8777805403351282,0.14648747915703686,0.06537520516698223,0.3086157145075861,0.5352701195463565,3578.1568696933455,0.251654257773407,0.251654257773407,0.0,1.4944474096448388,0.15011082613871016,0.268023533210006,0.9823786965771886,0.907228980990297,0.41726183295479635,0.14360423937668546,0.478519225697414,0.3934163883230891,0.3472467462363243,0.2507171543316122,0.41043537855148315
S2M2-S,0.0,0.0,0.5697179988459435,0.5692377401504101,0.5581325174804552,0.5503042639708596,0.5289829918556999,0.5167444850692473,0.5120478960323226,0.040735004568388744,0.05297351060871068,0.05767009962680021,0.01941373367123406,0.05297351060871068,-0.033559776923209765,0.0005903082819119991,0.011105219487199128,0.11036022911417392,0.05152539171831843,0.0017195374802314776,0.03059208748397277,0.0395366074452303,0.6431500072798391,0.4470547075221841,0.3710122738414124,0.8686033767671482,0.10375473828336632,0.051493357333286686,0.18013611523408413,0.5290912615268972,3578.1568696933455,0.251654257773407,0.251654257773407,0.0,1.4944474096448388,0.11747202484641645,0.19501298114087873,0.9823786965771886,0.907228980990297,0.4193862204471399,0.10216307516867174,0.47658601924644295,0.36648002837934945,0.3366343009092391,0.29690189328743544,0.16632652282714844
StereoAnywhere,0.0,0.0,0.5160435229392635,0.5140924531816986,0.4958925947960987,0.48207473970769465,0.46098071012873865,0.44803725427816565,0.4424172351255813,0.05506281297694068,0.06800626812121041,0.07362628891093272,0.03396878176554008,0.06800626812121041,-0.034037486305009745,0.000626000243570883,0.01819985724688319,0.11366257714299371,0.05223432206319692,0.0016798156418736027,0.026134356427431973,0.03391617109331021,0.6403793110723356,0.4470383127493732,0.36960074142159866,0.8751066265611915,0.12710166765452094,0.06393263101518143,0.2706375342971401,0.5390069591434905,3578.1568696933455,0.251654257773407,0.251654257773407,0.0,1.4944474096448388,0.14878021694107366,0.23767526984617202,0.9823786965771886,0.907228980990297,0.4171999235588645,0.13707191401093546,0.6169096696851576,0.4994948657526112,0.4613675667754059,0.26161790017211706,0.17998628318309784
CREStereo,0.0,0.0,0.5704632163975096,0.5669808347580574,0.5535648937342177,0.5482265818910035,0.5220162155930391,0.5106865846653654,0.5053446324718559,0.04844699976359472,0.05977663061488341,0.06511858265446008,0.022236632585792754,0.05977663061488341,-0.03753999806616658,0.0006908021034818083,0.013415942213478652,0.12474917768118565,0.05653444189889369,0.0017137857564447354,0.029049687830741702,0.03840853780171445,0.6383213094250355,0.45128410541611086,0.37304361620735665,0.8815764315973604,0.11333886363882766,0.05285985364284006,0.21854677244360235,0.5357966267460212,3578.162228663655,0.25165451668001176,0.25165451668001176,0.0,1.4944467905846837,0.11240876420226056,0.17294556022956015,0.9823787329051084,0.9072324499014449,0.42911448803041713,0.09515999827504563,0.45898884748901153,0.3719954162196655,0.3414790629548466,0.26161790017211706,0.1622711718082428
Fast-FoundationStereo,0.0,0.0,0.5322749321406239,0.5292943845828678,0.5214541479673329,0.517543734618297,0.49417768390987726,0.48480535693951576,0.4801549854081772,0.03809724971957701,0.047469575595280894,0.052119946782671435,0.01473119731318913,0.047469575595280894,-0.032738378450656226,0.0006645145909956755,0.007840233930207784,0.11489446486334404,0.0535653116498758,0.001732081034976202,0.026462267908954284,0.03379627026282431,0.6413277052493781,0.4483923148504837,0.3706613134523101,0.877659840575252,0.09341912966548291,0.04374934291337775,0.16839086864625882,0.5362790624116904,3578.1666185649196,0.2516543359988427,0.2516543359988427,0.0,1.4944470443662574,0.08844897554343054,0.15191815834233022,0.9823787337153812,0.9072302257077456,0.41730414023073137,0.07641757743792899,0.3866735111227523,0.31032923990695227,0.28264029843727473,0.25415949512335057,0.1939365565776825
