backbone,endpoint_selection_gain,convex_fusion_gain,fused_gain
RAFT-Stereo,0.07441334712899045,0.08430728462635004,0.029275430270519737
S2M2-S,0.05297351060871068,0.05767009962680021,0.01941373367123406
StereoAnywhere,0.06800626812121041,0.07362628891093272,0.03396878176554008
CREStereo,0.05977663061488341,0.06511858265446008,0.022236632585792754
Fast-FoundationStereo,0.047469575595280894,0.052119946782671435,0.01473119731318913
