backbone,frames,reset,support_coverage,raw_mc_inconsistency,fused_mc_inconsistency,mc_delta,update_magnitude,temporal_weight,fb_confidence,dataset,geometry_status,transfer_status
RAFT-Stereo,468,0.0,0.9722471616716466,0.39644317043961114,0.20017651923828655,-0.1962666502262219,0.19626665683702016,0.3709198409516333,0.4629762284338283,D4D,NOT REPORTED: geometry-contract inconsistent,no-reference diagnostic only
StereoAnywhere,468,0.0,0.9722450184516418,4.21346407278608,1.84720976013938,-2.36625426943199,2.366254265902715,0.43481322067827544,0.46297566359066683,D4D,NOT REPORTED: geometry-contract inconsistent,no-reference diagnostic only
