epoch,train_total,train_disparity,train_reset,train_fusion,validation_fused_epe,validation_gain
1,1.7571011607059406,0.0770682882425658,0.6864001492865254,0.9936327191704478,0.310003775759238,-0.0003521905790986324
2,1.6651002997792632,0.07047383465314506,0.6139851156850816,0.9806413519907856,0.3101059948487687,-0.00045440966862936305
3,1.627687212327191,0.06716685871027692,0.5997929229402452,0.960727426999848,0.30958788318510483,6.370199503452634e-05
4,1.5288972127223,0.05797894906933627,0.5414162443789848,0.9295020197615869,0.30694871447373445,0.002702870706404903
5,1.460236164870135,0.05121982669744532,0.5146596342852235,0.8943567055674683,0.30504886253637714,0.004602722643762214
6,1.3893949497863418,0.049537012115072325,0.4819156136037601,0.8579423260903373,0.303244204575198,0.006407380604941337
7,1.3176419707945901,0.05184792594846586,0.4384889515840439,0.8273050954887987,0.30186019240338846,0.007791392776750894
8,1.2381875613030258,0.04945367559256445,0.39951137465048475,0.7892225105928236,0.30242206982507297,0.007229515355066385
9,1.1893068510671345,0.04844038760084902,0.3698556293893822,0.7710108347260234,0.2985721549482673,0.011079430231872078
10,1.1391819309163433,0.04683221046177498,0.355816569031951,0.7365331518065478,0.2988866845163319,0.010764900663807475
