run_id,model,mode,size,seed,split,train_anchors,trainable_params,best_epoch,wall_time_s,refined_mae,delta_mae,refined_bad3,new_bad3_pct,harmful_rate,pct_anchors_improved,modified_pixel_ratio,delta_lt1,delta_gt6_pooled,selectivity,combined_score
EGBM-v3-CARE-S__head_only__2session_seed1__seed1,EGBM-v3-CARE-S,head_only,2session,1,2session_seed1,1,94577,49,29.3,4.5002,-0.9991,63.6148,19.0442,0.8184,5.0,0.8569,-1.0242913961410522,0.7042175531387329,-0.32007384300231934,5.2903
EGBM-v3-CARE-S__head_only__2session_seed2__seed2,EGBM-v3-CARE-S,head_only,2session,2,2session_seed2,2,94577,49,29.9,4.5807,-1.0796,64.1253,20.1083,0.8214,5.0,0.8443,-1.104022741317749,0.7979246973991394,-0.3060980439186096,5.3936
EGBM-v3-CARE-S__head_only__4session_seed0__seed0,EGBM-v3-CARE-S,head_only,4session,0,4session_seed0,2,94577,49,29.7,4.5525,-1.0515,62.5518,17.9364,0.813,5.0,0.8063,-1.0627667903900146,0.8340297341346741,-0.22873705625534058,5.3178
EGBM-v3-CARE-S__head_only__4session_seed1__seed0,EGBM-v3-CARE-S,head_only,4session,0,4session_seed1,11,94577,49,35.7,3.674,-0.1729,51.2978,1.6446,0.6745,0.0,0.615,-0.04245646670460701,0.11296189576387405,0.07050542533397675,4.0441
EGBM-v3-CARE-S__head_only__4session_seed1__seed1,EGBM-v3-CARE-S,head_only,4session,1,4session_seed1,11,94577,46,35.2,3.686,-0.1849,51.7955,2.2106,0.6585,0.0,0.599,-0.04573090746998787,0.12126519531011581,0.07553428411483765,4.0595
EGBM-v3-CARE-S__head_only__4session_seed2__seed2,EGBM-v3-CARE-S,head_only,4session,2,4session_seed2,4,94577,49,30.6,4.576,-1.0749,64.3248,20.3344,0.8199,5.0,0.8478,-1.1135823726654053,0.7857823371887207,-0.32780003547668457,5.3926
EGBM-v3-CARE-S__head_only__8session_seed0__seed0,EGBM-v3-CARE-S,head_only,8session,0,8session_seed0,21,94577,21,25.6,3.5577,-0.0566,50.3623,0.1128,0.3334,0.0,0.2106,-0.012966091744601727,0.0918237715959549,0.07885768264532089,3.7266
EGBM-v3-CARE-S__head_only__8session_seed1__seed1,EGBM-v3-CARE-S,head_only,8session,1,8session_seed1,30,94577,49,46.8,3.5203,-0.0192,50.4926,0.1453,0.2595,0.0,0.0112,-0.0032125585712492466,0.03001626953482628,0.02680371142923832,3.6529
EGBM-v3-CARE-S__head_only__8session_seed2__seed2,EGBM-v3-CARE-S,head_only,8session,2,8session_seed2,23,94577,24,28.6,3.5003,0.0008,50.3742,0.0,0.1472,0.0,0.0038,-0.0008466430590488017,0.019850607961416245,0.019003964960575104,3.5739
EGBM-v3-CARE-S__scratch__4session_seed0__seed0,EGBM-v3-CARE-S,scratch,4session,0,4session_seed0,2,4420122,30,30.4,3.3799,0.1212,39.9519,0.3981,0.2529,25.0,0.2791,-0.001133726560510695,0.1719321459531784,0.1707984209060669,3.5143
EGBM-v3-CARE-S__scratch__4session_seed1__seed0,EGBM-v3-CARE-S,scratch,4session,0,4session_seed1,11,4420122,14,18.1,3.5073,-0.0062,53.6562,4.4556,0.2667,15.0,0.2484,-0.11648162454366684,0.3936958909034729,0.27721425890922546,3.7298
EGBM-v3-CARE-S__scratch__4session_seed1__seed1,EGBM-v3-CARE-S,scratch,4session,1,4session_seed1,11,4420122,2,12.7,3.5012,-0.0001,50.3898,0.0,0.0,0.0,0.0,0.00010049284173874184,0.0014808116247877479,0.0014808116247877479,3.5012
EGBM-v3-CARE-S__scratch__4session_seed2__seed2,EGBM-v3-CARE-S,scratch,4session,2,4session_seed2,4,4420122,1,9.7,3.5006,0.0005,50.3607,0.0,0.0,0.0,0.0,6.433844828279689e-05,-0.0002554862294346094,-0.0002554862294346094,3.5006
EGBM-v3-CARE-S__scratch__8session_seed0__seed0,EGBM-v3-CARE-S,scratch,8session,0,8session_seed0,21,4420122,7,21.4,3.5346,-0.0335,51.1088,0.8496,0.2397,0.0,0.0569,-0.031983330845832825,0.07067219913005829,0.038688868284225464,3.6715
EGBM-v3-CARE-S__scratch__8session_seed1__seed1,EGBM-v3-CARE-S,scratch,8session,1,8session_seed1,30,4420122,14,31.8,3.5085,-0.0074,55.1692,6.2161,0.2859,20.0,0.4016,-0.2674698829650879,0.4961996376514435,0.2287297546863556,3.7758
EGBM-v3-CARE-S__scratch__8session_seed2__seed2,EGBM-v3-CARE-S,scratch,8session,2,8session_seed2,23,4420122,1,11.1,3.5005,0.0006,50.3607,0.0,0.0,0.0,0.0,0.0001648615871090442,0.0010437957243993878,0.0010437957243993878,3.5005
EGBM-v3-CARE-S__zero_shot__none__seed0,EGBM-v3-CARE-S,zero_shot,0session,0,none,0,0,,0.8,4.7234,-1.2223,66.0663,23.5192,0.8336,5.0,0.8625,-1.4402726888656616,0.8634316921234131,-0.5768409967422485,5.6106
v3_2c__calibration_only__1session_seed0__seed0,v3.2c,calibration_only,1session,0,1session_seed0,0,65,,,,,,,,,,,,,
