epoch,loss,harm_loss,delta_loss,validation_harm_auroc,validation_harm_auprc,validation_brier,validation_sample_count,validation_harm_fraction,validation_gain_mae,validation_gain_correlation,validation_best_selective_gain,validation_best_selective_harm,validation_best_selective_coverage,validation_best_selective_harm_threshold,validation_best_selective_gain_threshold,validation_selective_feasible,learning_rate
1,1.2155341523102798,1.2014919125859798,0.056168956871209624,0.6388533073657405,0.5487386709557439,0.2658000788008551,563324,0.45297732743501073,0.38489091396331787,0.7726479868639547,0.040909238159656525,0.09633449990790201,0.057824626680205354,0.44999999999999996,0.025,True,0.0019676295349744023
2,1.1906741825131597,1.1806859085322265,0.03995309884589171,0.6438802533911079,0.5570002144309216,0.2883885512350933,563324,0.45297732743501073,0.37819504737854004,0.7851859108442091,0.042134955525398254,0.09756559031281534,0.056294423812938914,0.6,0.1,True,0.001872724133594966
3,1.1805354075840988,1.1707400750906911,0.039181327959592914,0.6503366329647686,0.5610353040176662,0.2819866830758348,563324,0.45297732743501073,0.3298399746417999,0.8209590252953639,0.03992990404367447,0.07095388333221454,0.05288963367440407,0.49999999999999994,0.05,True,0.0017217514421269924
4,1.1758920932362051,1.1660077793848953,0.03953725616384352,0.6379559122033674,0.5583128906923042,0.27228553497517755,563324,0.45297732743501073,0.3439468741416931,0.8130604877227217,0.04048830643296242,0.09371655228861046,0.05639028338931059,0.44999999999999996,0.0,True,0.001524999999999803
5,1.1694697184093525,1.1599257656480417,0.03817580921493872,0.6412412274869571,0.5742092084250794,0.271317348011199,563324,0.45297732743501073,0.3358553946018219,0.8194948451966995,0.040592778474092484,0.09875723800151054,0.07756282352607026,0.44999999999999996,-0.1,True,0.0012958780928472306
6,1.1618948528139088,1.1525834980446548,0.03724541728163094,0.5918436200245821,0.5350855879511517,0.28376460056777086,563324,0.45297732743501073,0.3354370892047882,0.8307230947898456,0.03910202160477638,0.08021689546843397,0.04124979585460588,0.44999999999999996,0.025,True,0.00104999999999986
7,1.1579305851015542,1.1491241264895211,0.03522582947373555,0.5871960327034915,0.5392510052380037,0.279439192953018,563324,0.45297732743501073,0.3382416069507599,0.8284744738326547,0.03857523202896118,0.07938853933533212,0.04203797459366191,0.39999999999999997,0.0,True,0.0008041219071524763
8,1.155511726340758,1.146598531348536,0.03565278056461531,0.5921320326215,0.5520324464991091,0.26421977650046197,563324,0.45297732743501073,0.37430718541145325,0.7921628186251547,0.03821998089551926,0.04960973673766371,0.026837131029389834,0.2,0.0,True,0.0005749999999999164
9,1.1481296702072017,1.1399294912785096,0.03280071820688791,0.5865486003134295,0.5566916719692998,0.2843958660429878,563324,0.45297732743501073,0.3623146116733551,0.8124048207037725,0.038077082484960556,0.03306122448979592,0.02609510690117943,0.2,0.0,True,0.0003782485578727464
10,1.146776811870787,1.1384058726991788,0.03348375796342749,0.5851010276251741,0.5521055346653125,0.2754289261012902,563324,0.45297732743501073,0.3660911023616791,0.8082683183214082,0.03804324194788933,0.0420747188973522,0.03425914748883414,0.2,0.0,True,0.0002272758664047833
11,1.1440521166680984,1.1359668755027357,0.03234097067919144,0.5861756730262476,0.5546413254857557,0.2819663318925732,563324,0.45297732743501073,0.36767372488975525,0.8077251349290377,0.037955306470394135,0.034555555555555555,0.03195319212389318,0.2,0.0,True,0.00013237046502538583
12,1.1450924857303493,1.1370190211019147,0.03229385850787965,0.5827794711951915,0.5515308208420815,0.2806099999200788,563324,0.45297732743501073,0.366987943649292,0.8066332432175541,0.03795884549617767,0.039003536179870166,0.033634285065078,0.2,0.0,True,0.0001
