dataset,metric_scope,backbone,specimen,session,anchor_id,frame_id,step_since_reset,reset,support_coverage,raw_mc_inconsistency,temporal_module_mc_inconsistency,update_magnitude,temporal_weight,fb_confidence
D4D,no_reference_prediction_space,RAFT-Stereo,specimen_2,2025_04_10-16_07_15,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_472864627,1,1,0.9781635999679565,0.6116240620613098,0.29111164808273315,0.32051244378089905,0.28537145256996155,0.6013065576553345
D4D,no_reference_prediction_space,RAFT-Stereo,specimen_2,2025_04_10-16_07_15,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_504939794,2,0,0.9512732028961182,0.7110885977745056,0.3795931935310364,0.22743478417396545,0.27473631501197815,0.5027899742126465
D4D,no_reference_prediction_space,RAFT-Stereo,specimen_2,2025_04_10-16_07_15,specimen_2__2025_04_10-16_07_15__Clip_1__end,specimen_2__2025_04_10-16_07_15__1744294083_538976430,3,0,0.9794753789901733,0.6764798760414124,0.5102576613426208,0.08921024203300476,0.1787833720445633,0.7039089202880859
D4D,no_reference_prediction_space,RAFT-Stereo,specimen_2,2025_04_10-16_07_15,specimen_2__2025_04_10-16_07_15__Clip_1__start,specimen_2__2025_04_10-16_07_15__1744294060_972445487,1,1,0.9864583611488342,0.35220304131507874,0.22597458958625793,0.1262284219264984,0.4514729678630829,0.7126495838165283
D4D,no_reference_prediction_space,RAFT-Stereo,specimen_2,2025_04_10-16_07_15,specimen_2__2025_04_10-16_07_15__Clip_1__start,specimen_2__2025_04_10-16_07_15__1744294061_005012750,2,0,0.9502315521240234,0.5948486328125,0.23600201308727264,0.36240580677986145,0.45419594645500183,0.33447185158729553
D4D,no_reference_prediction_space,RAFT-Stereo,specimen_2,2025_04_10-16_07_15,specimen_2__2025_04_10-16_07_15__Clip_1__start,specimen_2__2025_04_10-16_07_15__1744294061_039222002,3,0,0.9795910716056824,0.4444502890110016,0.1973320096731186,0.20112518966197968,0.43346327543258667,0.635013222694397
D4D,no_reference_prediction_space,RAFT-Stereo,specimen_2,2025_04_10-16_08_53,specimen_2__2025_04_10-16_08_53__Clip_1__end,specimen_2__2025_04_10-16_08_53__1744294158_339429616,1,1,0.9819445013999939,0.39488402009010315,0.301284521818161,0.09359955042600632,0.21663223206996918,0.7552914619445801
D4D,no_reference_prediction_space,RAFT-Stereo,specimen_2,2025_04_10-16_08_53,specimen_2__2025_04_10-16_08_53__Clip_1__end,specimen_2__2025_04_10-16_08_53__1744294158_372843503,2,0,0.9531250596046448,0.6931532621383667,0.2384824901819229,0.42439883947372437,0.5120229721069336,0.46512484550476074
D4D,no_reference_prediction_space,RAFT-Stereo,specimen_2,2025_04_10-16_08_53,specimen_2__2025_04_10-16_08_53__Clip_1__end,specimen_2__2025_04_10-16_08_53__1744294158_406133651,3,0,0.9772762656211853,0.5276328921318054,0.2415451854467392,0.18443205952644348,0.362265944480896,0.6144071817398071
D4D,no_reference_prediction_space,RAFT-Stereo,specimen_2,2025_04_10-16_08_53,specimen_2__2025_04_10-16_08_53__Clip_1__start,specimen_2__2025_04_10-16_08_53__1744294140_173518180,1,1,0.9824846386909485,0.45745399594306946,0.3544595539569855,0.10299443453550339,0.4114948809146881,0.6978422999382019
D4D,no_reference_prediction_space,RAFT-Stereo,specimen_2,2025_04_10-16_08_53,specimen_2__2025_04_10-16_08_53__Clip_1__start,specimen_2__2025_04_10-16_08_53__1744294140_206898689,2,0,0.9858410954475403,0.5346233248710632,0.21108438074588776,0.366812139749527,0.5013725161552429,0.470693975687027
