dataset,metric_scope,backbone,backbone_status,specimen,session,anchor_count,support_count,method,disparity_MAE,disparity_Median,disparity_RMSE,disparity_P90,disparity_P95,disparity_P99,disparity_Max,disparity_InvalidRate,disparity_Bad1,disparity_Bad3,disparity_Bad5,disparity_EPE,disparity_MedianEPE,disparity_MaxError,depth_MAE,depth_Median,depth_RMSE,depth_P90,depth_P95,depth_P99,depth_Max,depth_InvalidRate,depth_BadMM2,depth_BadMM5,depth_BadMM10,depth_AbsRel,depth_SqRel,depth_Delta1,depth_Delta2,depth_Delta3,depth_MAE_Z,depth_RMSE_Z,disparity_HPlus,disparity_BPlus,disparity_HUR,disparity_BUR,disparity_Neutral,disparity_MAEDelta,disparity_NewBad_1.0,disparity_RecoveredBad_1.0,disparity_BadDelta_1.0,disparity_IdentityPreservation_1.0,disparity_NewBad_3.0,disparity_RecoveredBad_3.0,disparity_BadDelta_3.0,disparity_IdentityPreservation_3.0,disparity_NewBad_5.0,disparity_RecoveredBad_5.0,disparity_BadDelta_5.0,disparity_IdentityPreservation_5.0,depth_HPlus,depth_BPlus,depth_HUR,depth_BUR,depth_Neutral,depth_MAEDelta,depth_NewBad_2.0,depth_RecoveredBad_2.0,depth_BadDelta_2.0,depth_IdentityPreservation_2.0,depth_NewBad_5.0,depth_RecoveredBad_5.0,depth_BadDelta_5.0,depth_IdentityPreservation_5.0,depth_NewBad_10.0,depth_RecoveredBad_10.0,depth_BadDelta_10.0,depth_IdentityPreservation_10.0
D4D,sparse_zivid_anchor_gt,CREStereo,unseen,specimen_2,2025_04_10-16_07_15,2,366213,raw,3.697119475119991,0.6127243041992188,10.305968174032813,6.3510818481445295,31.25017852783203,47.23688102722168,49.92331886291504,0.0,0.3369186784740028,0.14343018953450587,0.11430779355184005,3.697119475119991,0.6127243041992188,49.92331886291504,9.687106381953752,2.155195952621355,22.92449187726425,27.8597955357292,44.26651402984268,102.02779957338225,183.7023853478275,0.0,0.5166829140418281,0.302990336225093,0.19430768432578854,0.07473247143134223,3.74974269178726,0.8948835786823516,0.9303055871855996,0.9574346077282893,9.687106381953752,22.92449187726425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4D,sparse_zivid_anchor_gt,CREStereo,unseen,specimen_2,2025_04_10-16_07_15,2,366213,refined,3.5692034411733027,0.5906124114990234,10.03102248324985,5.409418106079099,30.314243316650217,47.021213150024415,49.92241096496582,0.0,0.3229595890915942,0.1411391731041771,0.10456482975754547,3.5692034411733027,0.5906124114990234,49.92241096496582,9.265859487348962,2.108072146861531,22.251304527136945,23.1877078693414,40.6565430541884,101.68941581596225,106.12047012167932,0.0,0.5109567382916499,0.3021110665104734,0.19061857443618876,0.07253032611545564,3.546678149512988,0.9091785381731396,0.9324983001695735,0.9577104035083408,9.265859487348962,22.251304527136945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4D,sparse_zivid_anchor_gt,CREStereo,unseen,specimen_2,2025_04_10-16_07_15,2,366213,safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1409585978269062,0.26887463177359466,0.32017978608077813,0.5840808491233244,0.09573936479589747,-0.1279160339466885,0.040099614158973056,0.054058703541381654,-0.013959089382408585,0.9395253449958613,0.013429343032606707,0.015720359462935506,-0.0022910164303287794,0.9843219514994246,0.006007432832804953,0.01575039662709953,-0.009742963794294582,0.9932172454617206,0.4387472611045788,0.859994155709371,0.3207149937331553,0.5835483721222349,0.09573663414460983,-0.42124689460479203,0.03770756363100163,0.0434337393811798,-0.005726175750178197,0.9219817285038729,0.03145710283359684,0.032336372548216474,-0.0008792697146196016,0.9548684839414857,0.017121183573494115,0.020810293463093883,-0.0036891098895997787,0.9787497246276118
D4D,sparse_zivid_anchor_gt,CREStereo,unseen,specimen_2,2025_04_10-16_08_53,9,1614409,raw,3.185875513367291,0.7072849273681641,8.607372461641265,6.818453979492185,19.377233123779277,42.99910835266112,50.87119483947754,0.0,0.37214547242984897,0.15523141905180163,0.12156956508542754,3.185875513367291,0.7072849273681641,50.87119483947754,10.441009416730086,2.3971417691778356,27.073421939046003,28.405744183330803,51.20861999764875,107.7815512453908,1020.633813737385,0.0,0.5424474219358292,0.3441017734663273,0.2125818178664762,0.07696969421307505,5.1119855135549095,0.8939147390778917,0.9445122022981784,0.9593176202560814,10.441009416730086,27.073421939046003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4D,sparse_zivid_anchor_gt,CREStereo,unseen,specimen_2,2025_04_10-16_08_53,9,1614409,refined,2.622318727449971,0.5951614379882812,7.791966219956205,3.9479198455810534,14.332271194457999,41.5063589477538,50.87119483947754,0.0,0.31487435959536897,0.1208863429279693,0.08542878539453137,2.622318727449971,0.5951614379882812,50.87119483947754,10.441957487932095,2.0352763661900894,138.67390128952937,17.273155342933876,37.80600022586457,107.20949332046102,17380.07654845354,0.0,0.5037205565628041,0.3145466855053459,0.1744440225494283,0.07820624437521516,144.62854541999238,0.9293221234519877,0.9543368502033871,0.962489678885586,10.441957487932095,138.67390128952937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4D,sparse_zivid_anchor_gt,CREStereo,unseen,specimen_2,2025_04_10-16_08_53,9,1614409,safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1656166705076058,0.7291734564249259,0.3104287699089884,0.5948802317132771,0.09469099837773451,-0.5635567859173202,0.030332462219920725,0.08760357505440071,-0.05727111283448,0.9516887099033754,0.01570667656089628,0.05005175268472859,-0.03434507612383232,0.9814071250812068,0.007557564409019028,0.0436983440999152,-0.03614077969089617,0.9913965134760455,2.1510006037050378,2.1500525325030235,0.3115833719955724,0.5937256296266931,0.09469099837773451,0.0009480712020137186,0.034242252118267424,0.07296911749129248,-0.038726865373025054,0.9251621480024422,0.028065378723731098,0.05762046668471248,-0.029555087960981385,0.9572107720552127,0.013265535561310672,0.051403330878358584,-0.03813779531704789,0.983153125159788
D4D,sparse_zivid_anchor_gt,CREStereo,unseen,specimen_2,2025_04_10-16_13_29,2,320462,raw,2.461880747000667,0.5576858520507812,6.747965497803301,3.2554855346679794,20.181822586059575,32.70457214355473,38.819740295410156,0.0,0.30495035292796024,0.10499528805287367,0.08425960020220806,2.461880747000667,0.5576858520507812,38.819740295410156,2.958666895118211,0.6758313582533972,7.561120778636053,5.428934997622597,24.694557592042045,32.97988031746066,36.49218052160713,0.0,0.195992036497307,0.104299417715673,0.08096747820334392,0.04008976366273901,0.7460802693332728,0.9316736461733373,0.9682864114934064,1.0,2.958666895118211,7.561120778636053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4D,sparse_zivid_anchor_gt,CREStereo,unseen,specimen_2,2025_04_10-16_13_29,2,320462,refined,2.4892551590664236,0.5593910217285156,6.502576443124938,3.923586654663088,19.686637306213385,29.97938514709474,37.11470413208008,0.0,0.32211931523862425,0.12150582596376482,0.08937097066110802,2.4892551590664236,0.5593910217285156,37.11470413208008,3.0707141992150473,0.670015885133818,7.509451153261379,6.397109723947358,24.389278363166532,31.80331885148062,38.80251307252897,0.0,0.23090413215919517,0.11908744250488358,0.08290218497044892,0.04192093356852403,0.7413348522449806,0.9302975079728641,0.9692225599291023,1.0,3.0707141992150473,7.509451153261379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4D,sparse_zivid_anchor_gt,CREStereo,unseen,specimen_2,2025_04_10-16_13_29,2,320462,safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21745274646354615,0.1900783343977895,0.3880366470907627,0.5261934332307731,0.08576991967846422,0.027374412065756637,0.0752663342299555,0.05809737191929152,0.017168962310664004,0.891710851811778,0.020692000923666458,0.004181463012775306,0.016510537910891146,0.9768805676132699,0.006606087461227852,0.0014947170023278892,0.005111370458899964,0.9927860696517413,0.29191748875996376,0.17987018466312713,0.3887200354488208,0.525510044872715,0.08576991967846422,0.11204730409683669,0.0500620978462345,0.01515000218434635,0.03491209566188816,0.9377343258788918,0.01654798384831899,0.0017599590591084121,0.014788024789210583,0.9815250942383935,0.0035511230660733566,0.0016164162989683645,0.001934706767104999,0.9961360202366603
D4D,sparse_zivid_anchor_gt,CREStereo,unseen,specimen_2,2025_04_10-16_18_24,2,220556,raw,2.9590561868195806,0.8060436248779297,7.216773547465426,6.273120880126953,21.050989151000977,32.79043121337891,41.00215530395508,0.0,0.4254520393913564,0.15734325976169317,0.11735341591251201,2.9590561868195806,0.8060436248779297,41.00215530395508,2.993349663321642,1.0015263261101417,6.588910139323898,7.431388605728213,19.547737266794236,26.157902478716938,59.28638196739536,0.0,0.26424581512178313,0.1325332341899563,0.08674440958305374,0.045322350866283806,0.6148172928698433,0.9288888082845174,0.9834463809644716,1.0,2.993349663321642,6.588910139323898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
