dataset,scope,backbone,backbone_status,method,metric,value,session_count
D4D,macro_session,RAFT-Stereo,seen,raw,disparity_EPE,2.8192547284284637,20
D4D,macro_session,RAFT-Stereo,seen,raw,disparity_P99,31.41827964496614,20
D4D,macro_session,RAFT-Stereo,seen,raw,disparity_Bad3,0.16504257269273095,20
D4D,macro_session,RAFT-Stereo,seen,raw,disparity_InvalidRate,0.0,20
D4D,macro_session,RAFT-Stereo,seen,raw,depth_MAE,5.847522264486149,20
D4D,macro_session,RAFT-Stereo,seen,raw,depth_P99,48.834799825131775,20
D4D,macro_session,RAFT-Stereo,seen,raw,depth_BadMM10,0.1452369142254652,20
D4D,macro_session,RAFT-Stereo,seen,raw,depth_InvalidRate,0.0,20
D4D,macro_session,RAFT-Stereo,seen,refined,disparity_EPE,2.863766347797858,20
D4D,macro_session,RAFT-Stereo,seen,refined,disparity_P99,31.038370496749888,20
D4D,macro_session,RAFT-Stereo,seen,refined,disparity_Bad3,0.17614853662518062,20
D4D,macro_session,RAFT-Stereo,seen,refined,disparity_InvalidRate,0.0,20
D4D,macro_session,RAFT-Stereo,seen,refined,depth_MAE,38.18335212789893,20
D4D,macro_session,RAFT-Stereo,seen,refined,depth_P99,49.17022429147844,20
D4D,macro_session,RAFT-Stereo,seen,refined,depth_BadMM10,0.1530493023951569,20
D4D,macro_session,RAFT-Stereo,seen,refined,depth_InvalidRate,0.0,20
D4D,macro_session,StereoAnywhere,seen,raw,disparity_EPE,22.20562177362543,20
D4D,macro_session,StereoAnywhere,seen,raw,disparity_P99,70.81494456768034,20
D4D,macro_session,StereoAnywhere,seen,raw,disparity_Bad3,0.45917621769877404,20
D4D,macro_session,StereoAnywhere,seen,raw,disparity_InvalidRate,0.0,20
D4D,macro_session,StereoAnywhere,seen,raw,depth_MAE,24.61039053290715,20
D4D,macro_session,StereoAnywhere,seen,raw,depth_P99,69.3627553150005,20
D4D,macro_session,StereoAnywhere,seen,raw,depth_BadMM10,0.42517544223107,20
D4D,macro_session,StereoAnywhere,seen,raw,depth_InvalidRate,0.0,20
D4D,macro_session,StereoAnywhere,seen,refined,disparity_EPE,12.65992117248786,20
D4D,macro_session,StereoAnywhere,seen,refined,disparity_P99,54.787111948013305,20
D4D,macro_session,StereoAnywhere,seen,refined,disparity_Bad3,0.3814856732347517,20
D4D,macro_session,StereoAnywhere,seen,refined,disparity_InvalidRate,0.0,20
D4D,macro_session,StereoAnywhere,seen,refined,depth_MAE,1197.7547891251977,20
D4D,macro_session,StereoAnywhere,seen,refined,depth_P99,280.5735000937826,20
D4D,macro_session,StereoAnywhere,seen,refined,depth_BadMM10,0.34841371283845257,20
D4D,macro_session,StereoAnywhere,seen,refined,depth_InvalidRate,0.0,20
D4D,macro_session,CREStereo,unseen,raw,disparity_EPE,3.416376339732742,20
D4D,macro_session,CREStereo,unseen,raw,disparity_P99,36.006416602134706,20
D4D,macro_session,CREStereo,unseen,raw,disparity_Bad3,0.14860912805912616,20
D4D,macro_session,CREStereo,unseen,raw,disparity_InvalidRate,0.0,20
D4D,macro_session,CREStereo,unseen,raw,depth_MAE,6.301162430468092,20
D4D,macro_session,CREStereo,unseen,raw,depth_P99,52.02225423921701,20
D4D,macro_session,CREStereo,unseen,raw,depth_BadMM10,0.13136128828832677,20
D4D,macro_session,CREStereo,unseen,raw,depth_InvalidRate,0.0,20
D4D,macro_session,CREStereo,unseen,refined,disparity_EPE,3.1086236129148843,20
D4D,macro_session,CREStereo,unseen,refined,disparity_P99,34.21476494026185,20
D4D,macro_session,CREStereo,unseen,refined,disparity_Bad3,0.14135571859726545,20
