sequence,dataset,protocol,frames,authorization_ratio,catastrophic_update_gt3,intervention_coverage_all,max_update_abs,mean_update_abs,p95_update_abs,raw_mc_temporal_error,raw_temporal_variance,refined_mc_temporal_error,refined_temporal_variance,runtime_ms,support_ratio,temporal_delta,temporal_worsened_ratio,transition
specimen_1__2025_03_06-16_49_40,D4D temporal windows,156 validated four-frame windows; three causal transitions each,3,0.21733422404561534,0.0,0.1795225119215359,2.9204978942871094,0.13296296447515488,1.0166671673456829,0.3660139242808024,1.1567668318748474,0.38926178216934204,1.1413552661736805,29.184509068727493,0.9831532921810701,0.02324784981707732,0.14249157123778544,2.0
specimen_1__2025_03_06-16_53_09,D4D temporal windows,156 validated four-frame windows; three causal transitions each,6,0.33683873573664375,0.0,0.29324475842025466,2.988475799560547,0.2476921776930491,1.615757167339325,1.1014632682005565,6.430188775062561,0.9600821137428284,5.6114680369695025,26.27759939059615,0.9852623456790125,-0.14138116563359895,0.13833621282057781,2.0
specimen_1__2025_03_06-16_54_09,D4D temporal windows,156 validated four-frame windows; three causal transitions each,6,0.30455872621043395,0.0,0.2329443239957041,2.98944091796875,0.17363985255360603,1.119293471177419,0.5751312424739202,2.738686665892601,0.5765355626742045,2.613740141193072,119.27889644478758,0.9842142489711933,0.0014043205107251804,0.17283242505865123,2.0
specimen_1__2025_03_06-16_56_00,D4D temporal windows,156 validated four-frame windows; three causal transitions each,24,0.4174041241023832,0.0,0.30083108359199207,2.988525390625,0.17528033908456564,1.099478726585706,0.5130979853371779,1.812879953533411,0.4789518651862939,1.7917806369562943,25.70730709703639,0.9836050025720166,-0.03414609341416508,0.17003811957971474,2.0
specimen_1__2025_03_06-17_03_37,D4D temporal windows,156 validated four-frame windows; three causal transitions each,6,0.7069267419525165,0.0,0.4899382608647767,2.9782943725585938,0.1941452150543531,1.0014572441577911,1.287631134192149,5.172834078470866,1.1947403351465862,4.897968570391337,26.878514249498647,0.9634066358024692,-0.0928907689327995,0.3018563224459435,2.0
specimen_1__2025_03_06-17_04_37,D4D temporal windows,156 validated four-frame windows; three causal transitions each,27,0.761839742066459,0.0,0.507925055413188,2.9636459350585938,0.19474278721544477,1.0835725201500788,1.3431523927935847,3.973740493809735,1.2162635525067647,3.6319451574926025,27.040162382440435,0.9623928326474623,-0.12688879283895302,0.24226043698599373,2.0
specimen_1__2025_03_06-17_10_48,D4D temporal windows,156 validated four-frame windows; three causal transitions each,6,0.7337891314082435,0.0,0.4576931133131629,2.9792938232421875,0.1821516677737236,0.976972629626592,1.094630390405655,6.104796270529429,1.0223562568426132,5.773729165395101,28.155017954607803,0.9606545781893003,-0.07227407582104206,0.2609964507644314,2.0
specimen_1__2025_03_06-17_33_33,D4D temporal windows,156 validated four-frame windows; three causal transitions each,6,0.7797852209361019,0.0,0.544847853189998,2.9701004028320312,0.23836765686670938,1.4903937876224518,0.9255006313323975,3.0750679075717926,0.7810502648353577,2.4562496642271676,27.410282054916024,0.9683963477366255,-0.14445040995875993,0.23681257907883554,2.0
specimen_1__2025_03_06-17_35_04,D4D temporal windows,156 validated four-frame windows; three causal transitions each,3,0.5866762563537424,0.0,0.3747023445409523,2.9664039611816406,0.2086975872516632,1.3852858543395996,0.8698201974232992,3.4111260573069253,0.7887487808863322,2.770664850870768,28.85147836059332,0.9672968106995885,-0.08107141156991322,0.23456266083014557,2.0
specimen_1__2025_03_06-17_36_19,D4D temporal windows,156 validated four-frame windows; three causal transitions each,21,0.8770119038493925,0.0,0.6022041668665623,2.9693527221679688,0.23054457278478713,1.2060703606832595,0.7119330054237729,1.115343758038112,0.6215462940079826,1.020557974066053,26.664132717996836,0.9543852880658438,-0.09038671381061986,0.2588145480740406,2.0
specimen_1__2025_03_06-17_38_21,D4D temporal windows,156 validated four-frame windows; three causal transitions each,27,0.6163068352852799,0.0,0.45730750397461967,2.983684539794922,0.23448933688578782,1.4397688574261136,0.8644203731307277,3.141428946344941,0.7681657296639902,2.7717530175491616,27.003995591291673,0.9706818701417467,-0.0962545999015371,0.2690817765415466,2.0
specimen_1__2025_03_06-17_39_51,D4D temporal windows,156 validated four-frame windows; three causal transitions each,21,0.6135540107148316,0.0,0.4289474589736717,2.985706329345703,0.20801642679032825,1.2759502331415813,0.522860281524204,1.1066785284451075,0.4499388393901643,0.9665144256183079,26.711445523514634,0.9689980158730158,-0.07292145206814721,0.18818177140262235,2.0
specimen_1__2025_03_06-17_43_05,D4D temporal windows,156 validated four-frame windows; three causal transitions each,3,0.7528703539653931,0.0,0.5665419867656574,2.973133087158203,0.21746978163719177,1.20530100663503,0.7815368970235189,2.177723010381063,0.7312737902005514,1.9070207277933757,26.300006080418825,0.9615483539094649,-0.05026308928305904,0.33830265362315864,2.0
specimen_1__2025_03_06-17_46_07,D4D temporal windows,156 validated four-frame windows; three causal transitions each,24,0.692347069796531,0.0,0.49743850293277353,2.986053466796875,0.20168503373861313,1.2342360268036525,1.0028696705897648,3.7515183985233307,0.9091420695185661,3.4115713238716125,26.094404961137723,0.9601691100823045,-0.09372757157931726,0.2740949641022106,2.0
specimen_1__2025_03_06-17_50_08,D4D temporal windows,156 validated four-frame windows; three causal transitions each,6,0.8097633843642936,0.0,0.606708742066203,2.9744529724121094,0.24889924625555673,1.358213076988856,0.978973001241684,2.2181535959243774,0.8777630229791006,2.0898061096668243,27.3375454513977,0.9728137860082304,-0.10121000682314236,0.3122727345652699,2.0
specimen_1__2025_03_06-17_51_03,D4D temporal windows,156 validated four-frame windows; three causal transitions each,27,0.758848235540703,0.0,0.5651984085329431,2.9691390991210938,0.2973339083018126,1.6670963057765253,1.2157354376934193,2.483236961894565,1.0051442009431344,1.9906149175431993,25.955424092158122,0.9736939871970736,-0.21059122598833507,0.28785996225428945,2.0
specimen_2__2025_04_10-16_07_15,D4D temporal windows,156 validated four-frame windows; three causal transitions each,6,0.49014686803020596,0.0,0.3532559814426208,2.980854034423828,0.1540119362374147,0.9008070230484009,0.8547178308169047,5.351524869600932,0.790212611357371,5.068426171938579,24.401252313206594,0.9708719135802468,-0.06450523847403626,0.2589366239194882,2.0
specimen_2__2025_04_10-16_08_53,D4D temporal windows,156 validated four-frame windows; three causal transitions each,27,0.48415081283895395,0.0,0.3689234299892231,2.989055633544922,0.18365381768456213,1.1618090779693038,2.0533883284639427,17.75931324782195,1.9241729687761377,17.28244264037521,26.32869212646727,0.9738697416552355,-0.12921530505021414,0.23968476758991242,2.0
specimen_2__2025_04_10-16_13_29,D4D temporal windows,156 validated four-frame windows; three causal transitions each,6,0.5360575710222646,0.0,0.39859358621553803,2.962045669555664,0.17251373579104742,0.9428820212682089,0.5305649191141129,0.6732415681083997,0.4683918704589208,0.5792439083258311,26.231195079162717,0.9786586934156377,-0.06217305362224579,0.25927477102246493,2.0
specimen_2__2025_04_10-16_18_24,D4D temporal windows,156 validated four-frame windows; three causal transitions each,6,0.3845966808405091,0.0,0.26994380171405563,2.9496994018554688,0.13646025707324347,0.8646363715330759,0.9197410742441813,3.5335222085316977,0.8632505436738332,3.445305089155833,22.57436568227907,0.9724472736625515,-0.05649054298798243,0.22351812675769792,2.0
specimen_2__2025_04_10-16_19_14,D4D temporal windows,156 validated four-frame windows; three causal transitions each,30,0.4512755562657314,0.0,0.3203270162610075,2.983654022216797,0.14101984600226083,0.8526020536820094,0.9342948734760285,4.28830004533132,0.8630749185880026,4.127857903639476,25.743066643675167,0.9751234567901234,-0.07121994270322224,0.2222161629356472,2.0
specimen_2__2025_04_10-16_28_15,D4D temporal windows,156 validated four-frame windows; three causal transitions each,3,0.6740657008438863,0.0,0.45010046911039286,2.9859237670898438,0.17245463033517203,1.032858967781067,0.6821650365988413,1.894194980462392,0.6338148911794027,1.8826621373494465,28.128272698571283,0.9659079218106997,-0.04835010568300883,0.19675521626815332,2.0
specimen_2__2025_04_10-16_32_24,D4D temporal windows,156 validated four-frame windows; three causal transitions each,3,0.44345284242860833,0.0,0.3408066585233435,2.9816932678222656,0.15570307026306787,0.9575705925623575,0.7287633419036865,2.0457969506581626,0.6321242451667786,1.6319499015808105,27.21407248949011,0.9744727366255144,-0.09663908680280049,0.23702393219384177,2.0
specimen_2__2025_04_10-16_33_49,D4D temporal windows,156 validated four-frame windows; three causal transitions each,18,0.5187369672554946,0.0,0.3437391513033322,2.987274169921875,0.20637522637844086,1.401506867673662,1.1713758673932817,8.757226533359951,1.0630000200536516,8.209305630789864,26.634560794466072,0.9702160493827162,-0.10837589162919256,0.25197819023120793,2.0
specimen_3__2025_05_08-14_24_24,D4D temporal windows,156 validated four-frame windows; three causal transitions each,3,0.43796981371167315,0.0,0.33762456366773846,2.9505577087402344,0.31642796099185944,1.9406776428222656,2.367446502049764,22.735205968221027,2.1108738581339517,20.74498240152995,28.033715362350147,0.9868569958847737,-0.2565726414322853,0.1919981249741077,2.0
