session,frames,reset,support_coverage,raw_mc_inconsistency,fused_mc_inconsistency,mc_delta,update_magnitude,temporal_weight,fb_confidence
2025_03_06-16_49_40,6,0.0,0.9831533432006836,0.14540458346406618,0.11959943051139514,-0.025805148140837748,0.02580515279745062,0.21329786876837412,0.7058392564455668
2025_03_06-16_53_09,12,0.0,0.985262393951416,0.907185194392999,0.19943485657374063,-0.7077503457355002,0.7077503472877046,0.38636596625049907,0.5517264852921168
2025_03_06-16_54_09,12,0.0,0.9842142860094706,0.2580549946675698,0.20682674770553908,-0.05122824835901459,0.05122825332606832,0.2596363623936971,0.6266104926665624
2025_03_06-16_56_00,48,0.0,0.9836050396164259,0.20965843151013056,0.16164791164919734,-0.04801051726099104,0.0480105229265367,0.24274920268605152,0.5530482319494089
2025_03_06-17_03_37,12,0.0,0.9634066820144653,0.38275905574361485,0.1890839757397771,-0.19367509564229599,0.19367509925117096,0.357804690177242,0.32618897780776024
2025_03_06-17_04_37,54,0.0,0.9623957320495888,1.7914680824787528,0.1668016792941166,-1.6246663777554338,1.6246663863787911,0.45547458598459206,0.37256314909016647
2025_03_06-17_10_48,12,0.0,0.96066748102506,2.0276581502209106,0.3174989127340571,-1.7101592066852997,1.710159212583676,0.31661563615004223,0.2448381893336773
2025_03_06-17_33_33,12,0.0,0.9683770934740702,0.3489267937839031,0.160692204721272,-0.18823459736692408,0.18823460536077619,0.390080892170469,0.22789552186926207
2025_03_06-17_35_04,6,0.0,0.9672839840253195,8.818612391750017,5.502040224770705,-3.316572262439877,3.316572305125495,0.384770634273688,0.3165286195774873
2025_03_06-17_36_19,42,0.0,0.9543761383919489,2.3859603465313004,0.13418653785317605,-2.2517740038844445,2.2517739179366756,0.37081064088713556,0.24478607438504696
2025_03_06-17_38_21,54,0.0,0.9706833495034112,0.31219279227985275,0.170337012934464,-0.14185576875590616,0.14185577367121974,0.32434852821407495,0.407263085797981
2025_03_06-17_39_51,42,0.0,0.9689998995690119,0.141452856361866,0.08691678825943243,-0.0545360690115818,0.054536073424276854,0.2982584837646711,0.45416797200838727
2025_03_06-17_43_05,6,0.0,0.9615098039309183,0.5173041174809138,0.13874185706178346,-0.3785622405509154,0.37856227656205493,0.45167399446169537,0.3560599486033122
2025_03_06-17_46_07,48,0.0,0.9601659352580706,0.3361193885405858,0.14686735595266023,-0.18925203291776901,0.1892520427548637,0.4173179538920522,0.35806816319624585
2025_03_06-17_50_08,12,0.0,0.9727945427099863,0.59736068546772,0.15845439676195383,-0.438906267285347,0.4389062722524007,0.5374955460429192,0.3353641430536906
2025_03_06-17_51_03,54,0.0,0.9737026007087143,1.5250969104192875,0.1957485367332723,-1.3293485524891704,1.3293484893661958,0.513198924837289,0.3598901750864806
2025_04_10-16_07_15,12,0.0,0.970865527788798,2.344910023113092,2.1052030387024083,-0.2397070547255377,0.23970706520291665,0.28843763422143337,0.5816900183757147
2025_04_10-16_08_53,54,0.0,0.973835496990769,3.8416019827127457,2.381163694719025,-1.4604384088888764,1.460438412407206,0.40970944944355225,0.5735966872285914
2025_04_10-16_13_29,12,0.0,0.9786651730537415,2.7752600920697055,1.9143148108075063,-0.8609450890993079,0.8609451007408401,0.3961810826634367,0.5053085510929426
2025_04_10-16_18_24,12,0.0,0.9724344710508982,0.5113267749547958,0.3011960045744975,-0.2101307703802983,0.21013077798609933,0.35120773284385604,0.583457700908184
2025_04_10-16_19_14,60,0.0,0.9751235008239746,0.9444772144158681,0.3055847204600771,-0.6388924755776922,0.6388924833387136,0.3739603141943614,0.5264275381962459
2025_04_10-16_28_15,6,0.0,0.9659079710642496,0.9627313539385796,0.1937299370765686,-0.7690014673086504,0.7690014746040106,0.3744189782689015,0.5661271512508392
2025_04_10-16_32_24,6,0.0,0.9744727810223898,21.378254284461338,9.24797793229421,-12.130275468652448,12.130275472222516,0.4084265008568764,0.5146766602993011
2025_04_10-16_33_49,36,0.0,0.9702118039131165,10.670736069480578,8.96143081660072,-1.7093047697304025,1.709304785873327,0.3394847393242849,0.519374344083998
2025_05_08-14_24_24,6,0.0,0.9868699113527933,7.023779312769572,5.334438785910606,-1.689340418825547,1.6893404206881921,0.42921930489440757,0.47291940450668335
2025_05_08-14_25_47,6,0.0,0.9828189810117086,6.14796714981397,1.0526255171765417,-5.095341439669331,5.095341466988127,0.4365684228638808,0.550244336326917
2025_05_08-14_27_51,72,0.0,0.9801815897226334,5.327693866358863,1.5914416910673026,-3.7362521338380046,3.7362521443412535,0.5210713661379285,0.5940126900871595
2025_05_08-14_33_16,12,0.0,0.9840664068857828,2.0077819103995957,0.9662572015852978,-1.0415246929818143,1.04152469499968,0.4947751322761178,0.5575413579742113
2025_05_08-14_34_16,60,0.0,0.9821309586366017,2.3228523301581543,0.5909652095132818,-1.7318870783628275,1.731887052441016,0.52848586452504,0.5550457566976548
2025_05_08-14_36_52,6,0.0,0.9863426287968954,2.6314765910307565,1.4661909360438585,-1.1652857574323814,1.1652857636411984,0.41334615896145505,0.5596460402011871
