epoch,global_step,learning_rate,train_total,train_classification,train_positive_gain,train_harmful_magnitude,train_harmful_selection,validation_loss_total,validation_loss_classification,validation_loss_positive_gain,validation_loss_harmful_magnitude,validation_loss_harmful_selection,validation_auroc,validation_auprc,validation_decisive_auroc,validation_decisive_auprc,validation_utility_mae,validation_best_policy_net_utility,validation_best_policy_coverage,validation_best_policy_harm_cost_fraction,validation_best_policy_threshold,validation_best_policy_constraint_feasible
1,898,0.002,0.08424603616723372,0.07885833903690821,0.0016511019442671168,0.0016010872833737038,0.0006674820989127144,0.224239049712196,0.22065895227016882,0.0006645001814320039,0.0007102042856377011,0.0009251456243259781,0.861708101922314,0.2541853350383988,0.5965179716654204,0.5035038568698886,0.05832456052303314,0.0014213630929589272,0.7499997007532638,0.9188248722807717,-0.006458705989643931,False
2,1796,0.001961518324933773,0.05907608460601759,0.056031113911527965,0.0009004922999186385,0.0008514955458013153,0.0004336175240793995,0.17905830731382594,0.17570779492496513,0.0005506244362777579,0.00045557501204712025,0.001058263555942318,0.9423059996579268,0.40312680382098953,0.5852925185838322,0.5107729456562415,0.055644288659095764,0.002762334421277046,0.005001011453968072,0.1640896647225332,0.03410771265625941,True
3,2694,0.0018491908561896221,0.055481919846632304,0.05308365113701348,0.0006819645426475632,0.0005914569113223426,0.0004145593470588502,0.18755462295608594,0.184475031234324,0.0004371053005593239,0.0004302076269027566,0.0009985871221130083,0.9232887908652646,0.3314063344524436,0.5714849890296425,0.4942337757086968,0.055323950946331024,0.002678064862266183,0.01000082592099168,0.2013886383461916,0.007327816262841136,True
4,3592,0.001672117697248021,0.05474563428970315,0.05229556693992098,0.0007376761409969004,0.0006054182598267642,0.0004021319395895642,0.18881244575139136,0.18576754337642343,0.0007912218270575977,0.00048446469901591626,0.0007634923838438113,0.9300518421623221,0.35746149867866484,0.5905714897313409,0.5117599097989812,0.05706581845879555,0.003139622276648879,0.01000082592099168,0.2105818943774637,0.013038978911936236,True
5,4490,0.0014446442623517923,0.05241895730053396,0.05027775282251808,0.000607234361979624,0.0005801636163256112,0.0003318623478810499,0.18249080083332955,0.17968062981264665,0.00035202759813273587,0.000412331694351451,0.0009198227958665939,0.9311054375256509,0.45867755209705263,0.666480905593498,0.6341274496319416,0.05307626351714134,0.005162091925740242,0.05000053864412501,0.24827829010961663,-3.186588037351612e-05,True
6,5388,0.001185199096359621,0.05052762304978209,0.048677459925429725,0.0006212681808550514,0.00040667861454587594,0.0003094385394721265,0.16453379943966864,0.16226066641742365,0.0003504008485731447,0.0003779633498243129,0.0006778933076839167,0.9559616963704903,0.5184741721641576,0.6827134886565995,0.6174721815009315,0.05394108593463898,0.004459379706531763,0.025000269322062504,0.21312386052577678,0.000407585030188784,True
7,6286,0.0009148009036403791,0.048454381879170186,0.04666658218551784,0.0005430624979111242,0.0004461352860523437,0.0002877671344634095,0.16220133304828777,0.15943512181867844,0.0003700756686839668,0.00042741174953334846,0.0008775089995208418,0.9577554294711748,0.5459817969467001,0.7605995204534761,0.6782857957429644,0.05336770415306091,0.005014076828956604,0.025000269322062504,0.20855358447606537,0.003482313535641879,True
8,7184,0.000655355737648208,0.04609806602198489,0.04454708577782945,0.00041345775217574427,0.0004028953926434625,0.00026658980917400874,0.17780721959774382,0.17486053021391854,0.00036844347077476415,0.0004341608067238667,0.0009635015701189787,0.9440860847199256,0.46251148026070155,0.6100792525319918,0.5572377862451344,0.053941760212183,0.0046432483941316605,0.025000269322062504,0.23109692325530573,0.0037636973429471254,True
9,8082,0.0004278823027519793,0.04492604625172797,0.043488610065013235,0.0004111910760069347,0.0003467782269536658,0.00025303887069257205,0.1744824535830412,0.17185331505606882,0.00038796662988488606,0.000425587532793088,0.0008013953770193893,0.9395667647070057,0.4651083237586653,0.6296766092536266,0.5876915131596239,0.053480636328458786,0.004938105121254921,0.025000269322062504,0.18134575005644113,0.002938525751233101,True
10,8980,0.0002508091438103778,0.043136515495946055,0.04182501895174816,0.0003410150943727988,0.00033225155563795973,0.00023605205860236666,0.1666260781849269,0.1638802913343534,0.00037305063158783015,0.0004835680708583823,0.0008236919088534478,0.9543720832842504,0.5099077909052674,0.6813210830297239,0.612534329359116,0.05334574356675148,0.005223582498729229,0.025000269322062504,0.18193129449506712,0.005961209302768111,True
11,9878,0.0001384816750662276,0.04189238003361763,0.04064170619418932,0.00035381400218886,0.00030144785639453595,0.00022234393939111934,0.17554936345550232,0.1726706246158574,0.0003976074351464831,0.0005157869687968742,0.0008537254721449017,0.9455849260873171,0.4625893943015512,0.65419395459554,0.5792560329005055,0.053917624056339264,0.004373254720121622,0.025000269322062504,0.2426096104342795,0.0038690241053700447,True
12,10776,0.0001,0.04023890098025877,0.039016897361808536,0.00035560171028173863,0.00029474047902489705,0.00021214560766547906,0.17706153864972293,0.17423338180175052,0.0003782215706792158,0.0005153218808891325,0.0008384755797095523,0.9490536576494264,0.48422290252892475,0.647706713084929,0.5832745537973034,0.05377095937728882,0.004633290693163872,0.025000269322062504,0.22251315935297272,0.003432121011428535,True
