namespace,coverage_threshold,backbone,sequence,method,epe,bad1,bad3,absrel,boundary_epe,false_update_rate,clean_degradation_ratio,clean_update_mean,new_bad3,valid_count,clean_count,raw_good3_count,boundary_count,common_valid_ratio,frames,frames_worsened_ratio,worst_frame_degradation,p95_frame_degradation
cache,0.05,Fast-FoundationStereo,dataset_7_keyframe_1,raw,0.25594325282126307,0.02934718026496668,0.0036469866952132815,0.02386897565232925,0.3357933720203681,0.0,0.0,0.0,0.0,5703887,5078517,5683085,3213956,0.7335245627572017,300,0.0,0.0,0.0
cache,0.05,Fast-FoundationStereo,dataset_7_keyframe_1,memory,0.2507760044625066,0.026516829663701263,0.0033757681384641736,0.023635922101257107,0.3259028691641938,0.40620204677861665,0.3549800069587244,0.05834128601982644,0.00020288276525865794,5703887,5078517,5683085,3213956,0.7335245627572017,300,0.35333333333333333,0.05008280277252197,0.022903381288051607
cache,0.05,Fast-FoundationStereo,dataset_7_keyframe_1,blend_0.1,0.2545337237877011,0.028840858873957355,0.003594916939974442,0.023753643092803665,0.33366781906319853,0.002464892802367305,0.01444791855575161,0.00583416409187964,7.390352247062995e-06,5703887,5078517,5683085,3213956,0.7335245627572017,300,0.2,0.0036125481128692627,0.0014167770743370063
cache,0.05,Fast-FoundationStereo,dataset_7_keyframe_1,blend_0.25,0.25280525760284833,0.028161672908316733,0.003522159537873033,0.0236206306461047,0.33097124687785495,0.03365254069248956,0.09863981945910588,0.01458532156717814,2.287489981233784e-05,5703887,5078517,5683085,3213956,0.7335245627572017,300,0.23,0.009758412837982178,0.004111231118440633
cache,0.05,Fast-FoundationStereo,dataset_7_keyframe_1,blend_0.5,0.25091701376692327,0.027304888753932187,0.003434850655351342,0.023501726985765966,0.32773291769954926,0.16026036734739688,0.2277731865424493,0.029170642852525824,6.387375870675874e-05,5703887,5078517,5683085,3213956,0.7335245627572017,300,0.25666666666666665,0.02152678370475769,0.009561949223279957
cache,0.05,Fast-FoundationStereo,dataset_7_keyframe_1,heuristic_gate,0.2513587140626567,0.027550510730664897,0.0034718429730462752,0.02352775016497862,0.3285731985261108,0.11420893146562273,0.19472928809729298,0.02441541221798723,4.8741132677058325e-05,5703887,5078517,5683085,3213956,0.7335245627572017,300,0.25333333333333335,0.014896482229232788,0.0069500781595706945
cache,0.05,Fast-FoundationStereo,dataset_7_keyframe_1,learned_refiner,0.249472447826303,0.030230437594573667,0.003246908643176136,0.02302301723958043,0.3313146067168453,0.389530447569635,0.31997904112558845,0.057927571078093404,0.00028839969840324404,5703887,5078517,5683085,3213956,0.7335245627572017,300,0.25666666666666665,0.026861771941184998,0.014109806716442115
cache,0.05,Fast-FoundationStereo,dataset_7_keyframe_1,oracle,0.22133539648046927,0.023266064001618545,0.003173625283951102,0.020648383934797367,0.2902534661189263,0.19586840016485127,0.0,0.027268705359951885,0.0,5703887,5078517,5683085,3213956,0.7335245627572017,300,0.0,-0.01117222011089325,-0.018241545557975768
cache,0.25,Fast-FoundationStereo,dataset_7_keyframe_1,raw,0.21518502630772038,0.017209093094077574,0.00307963824322719,0.021878454486725648,0.270162553328424,0.0,0.0,0.0,0.0,4343692,4034208,4330315,2470801,0.558602366255144,300,0.0,0.0,0.0
cache,0.25,Fast-FoundationStereo,dataset_7_keyframe_1,memory,0.21183685594073584,0.01586093120782965,0.0029025999080966145,0.021743818569355703,0.26383930320322796,0.3757674368798039,0.34203491738651054,0.053457508671506455,0.00015195199425445955,4343692,4034208,4330315,2470801,0.558602366255144,300,0.38,0.05419829487800598,0.025327301770448687
