utility_margin_px,uncertainty_threshold_px,require_helpful_class,intervention_coverage,intervention_precision,intervention_recall,false_update_rate,clean_pixel_degradation,harmful_proposal_acceptance_rate,epe_gain,retained_existing_authorized_gain,selected_candidate_regret
0.0,0.1,True,0.007030732520928599,0.653140370790768,0.13557292075708788,0.003989637233647563,0.0020323648717239153,0.05788628332797944,0.0007279178244061768,0.2311493836032703,0.025176700204610825
0.0,0.25,True,0.011200491592648455,0.655860349127182,0.21687740516767454,0.005911449243721084,0.0032943362169784163,0.09538494485490952,0.001554363640025258,0.4935862060807164,0.024350261315703392
0.0,0.5,True,0.012421492813649676,0.6739479601670414,0.24715306683421032,0.006133250268038542,0.003477200384362402,0.10082449941107186,0.002321372041478753,0.7371487529370709,0.023583238944411278
0.0,1.0,True,0.012909627288712255,0.6839068617350093,0.26066127385533655,0.0061589764056553,0.0035015359199458223,0.10155262876110932,0.002812418155372143,0.8930798247442956,0.02309218980371952
0.0,2.0,True,0.012928913255710642,0.6842240625482229,0.2611717584229954,0.0061596717066719694,0.003502231220962491,0.10161687546846558,0.002835951978340745,0.9005529604343834,0.023068655282258987
0.02,0.1,True,0.007030067487583828,0.6532021568441964,0.13557292075708788,0.003988941932630894,0.0020323648717239153,0.05788628332797944,0.0007279139827005565,0.23114816367451413,0.025176705792546272
0.02,0.25,True,0.011199161525958911,0.6558788598574822,0.2168577711458415,0.005910753942704415,0.0032943362169784163,0.09538494485490952,0.0015542760957032442,0.49355840649209115,0.024350346997380257
0.02,0.5,True,0.012420162746960133,0.6739665881345042,0.2471334328123773,0.006132554967021872,0.003477200384362402,0.10082449941107186,0.0023212844971567392,0.7371209533484456,0.02358332648873329
0.02,1.0,True,0.012908297222022712,0.6839258114374034,0.26064163983350347,0.006158281104638631,0.0035015359199458223,0.10155262876110932,0.0028123308438807726,0.8930520990907465,0.023092275485396385
0.02,2.0,True,0.012927583189021097,0.6842430166160811,0.2611521244011623,0.0061589764056553,0.003502231220962491,0.10161687546846558,0.002835864434018731,0.9005251608457582,0.02306874468922615
0.05,0.1,True,0.007016101787343618,0.6534597156398104,0.13535694651692454,0.0039861607285642175,0.002030278968673908,0.05784345218974194,0.0007269686320796609,0.23084796878165345,0.02517765574157238
0.05,0.25,True,0.011106721891035617,0.6558289922759116,0.21505144113720254,0.005896847922371032,0.00328321140071171,0.09514937359460328,0.0015448137419298291,0.49055364803059137,0.0243598073720932
0.05,0.5,True,0.012327723112036837,0.6740572908237579,0.24532710280373832,0.00611864894668849,0.003466075568095696,0.1005889281507656,0.002311822259798646,0.7341162318544839,0.023592796176671982
0.05,1.0,True,0.012815857587099418,0.6840848944009132,0.2588353098248645,0.006144375084305248,0.0034904111036791158,0.10131705750080308,0.0028028683736920357,0.8900473036617086,0.023101750761270523
0.05,2.0,True,0.012835143554097803,0.6844041450777202,0.25934579439252337,0.0061450703853219175,0.003491106404695785,0.10138130420815933,0.002826402196660638,0.8975204393517964,0.02307821623980999
0.1,0.1,True,0.006578509846483702,0.6597250303275374,0.12813162648236864,0.003755320791030061,0.001902343581606785,0.05454545454545454,0.0007034923764877021,0.22339311353913902,0.02520112693309784
0.1,0.25,True,0.010594646215561249,0.6597828133827129,0.20637320348700228,0.005635414740103433,0.003134416983144513,0.09146589570617839,0.0015140875475481153,0.48079658390374247,0.02439052052795887
0.1,0.5,True,0.011815647436562469,0.6783925254685653,0.23664886515353806,0.005857215764420891,0.003317281150528498,0.09690545026234072,0.0022810965310782194,0.7243593155977873,0.023623516783118248
0.1,1.0,True,0.01230378191162505,0.6886654775417544,0.25015707217466426,0.0058829419020376495,0.0033416166861119185,0.0976335796123782,0.0027721431106328964,0.8802905352751642,0.02313247323036194
0.1,2.0,True,0.012323067878623434,0.6889908256880733,0.2506675567423231,0.005883637203054318,0.003342311987128588,0.09769782631973445,0.002795676700770855,0.8877635970301758,0.023108936846256256
0.25,0.1,True,0.0018747289989120054,0.7254345512593118,0.04015157464855101,0.0008489625413530279,0.0004700234872683431,0.013684548666880823,0.00036601838655769825,0.11622867527566694,0.025538597255945206
0.25,0.25,True,0.005318936691485711,0.6691672918229558,0.10508128485038876,0.002534372205759039,0.0016061453485057286,0.04782096584216725,0.0010607163421809673,0.3368291316029568,0.024843905121088028
0.25,0.5,True,0.006505356178558793,0.6998568799836434,0.13441451346893898,0.0027533920260098205,0.0017862283118230376,0.05317485812185459,0.0018137574661523104,0.5759563871772919,0.024090854451060295
0.25,1.0,True,0.006987505353518425,0.7161892071952032,0.1477460142935679,0.002779118163626579,0.0018105638474064578,0.053902987471892067,0.0023032021708786488,0.7313789335308879,0.023601409047842026
0.25,2.0,True,0.007006126287172038,0.7166587565258662,0.1482368648393937,0.002779813464643248,0.0018112591484231268,0.05396723417924831,0.0023265420459210873,0.7387904813025586,0.02357807196676731
