probability_threshold,utility_threshold_px,harm_threshold_px,coverage,precision,harmful_acceptance,harm_cost_fraction,net_utility,mean_selected_utility,clean_selection
0.5,0.0,0.025,0.0026294202376773235,0.8186888231277032,0.12371955383564762,0.03859219004696911,0.0032652884256094694,1.241828441619873,0.05759162303664921
0.5,0.0,0.05,0.002755713811578966,0.8157037358818419,0.1259774109470026,0.04086546458649004,0.003302995814010501,1.198599100112915,0.05831885317115552
0.5,0.0,0.1,0.0027584072764252096,0.8154497124877943,0.12607138982315286,0.04089879185471923,0.003304482204839587,1.1979674100875854,0.05847889768905284
0.5,0.0,0.25,0.0027584072764252096,0.8154497124877943,0.12607138982315286,0.04089879185471923,0.003304482204839587,1.1979674100875854,0.05847889768905284
0.5,0.0,0.5,0.0027584072764252096,0.8154497124877943,0.12607138982315286,0.04089879185471923,0.003304482204839587,1.1979674100875854,0.05847889768905284
0.5,0.005,0.025,0.0026234347602412268,0.8195300022815423,0.12388774811772758,0.03858146005768074,0.0032647871412336826,1.2444707155227661,0.05658224960073009
0.5,0.005,0.05,0.002749728334142869,0.8164997823247715,0.1261427949499347,0.04085525132480262,0.0033024947624653578,1.2010258436203003,0.057357422725293865
0.5,0.005,0.1,0.002752122525117308,0.8162244454110483,0.12625054371465855,0.040889658244724174,0.0033038912806659937,1.2004883289337158,0.057525010874293174
0.5,0.005,0.25,0.002752122525117308,0.8162244454110483,0.12625054371465855,0.040889658244724174,0.0033038912806659937,1.2004883289337158,0.057525010874293174
0.5,0.005,0.5,0.002752122525117308,0.8162244454110483,0.12625054371465855,0.040889658244724174,0.0033038912806659937,1.2004883289337158,0.057525010874293174
0.5,0.01,0.025,0.0026123616269844475,0.819681521365563,0.12418375529843052,0.038567540550849246,0.0032635130919516087,1.2492583990097046,0.056134723336006415
0.5,0.01,0.05,0.00273865520088609,0.8166320620697192,0.1264342694787455,0.040842427370124716,0.0033012214116752148,1.2054167985916138,0.05693366845153535
