backbone,method,valid_count,epe,raw_epe,bad1,bad3,boundary_epe,intervention_coverage,intervention_precision,false_update_rate,clean_pixel_degradation,new_bad3
S2M2-S,raw,2400082,1.0289503864811451,1.0289503864811451,0.07685445742545732,0.05969712671144564,2.8076414438036617,0.0,0.0,0.0,0.0,0.0
S2M2-S,a2_unconditional,2400082,0.9977164939052363,1.0289503864811451,0.07477411195252184,0.05846175257194833,2.660053038368067,0.3902483331819496,0.5973005008798314,0.3337076661790902,0.13109449059832579,0.0003243895904398723
S2M2-S,raw_error_authorized_a2,2400082,1.0095919803661897,1.0289503864811451,0.07546950476749997,0.05871049397828005,2.6991588366954513,0.051722399484684274,0.7427021635012304,0.019308930723945933,0.010319818912859434,0.00021306061947726955
S2M2-S,proposal_authorized_a2,2400082,1.0155336053066348,1.0289503864811451,0.07586115778809764,0.05901590027828359,2.7297583212799488,0.03232264564294053,0.7976498045342139,0.012071562702198899,0.0053086246571161415,1.391612147569405e-05
S2M2-S,oracle_proposal_authorization,2400082,0.9925175153954695,1.0289503864811451,0.07317916625075312,0.058201761268948965,2.6294758772774167,0.10079655611766598,1.0,0.053445088888136844,0.0,0.0
S2M2-S,random_matched_coverage,2400082,1.0271470663372788,1.0289503864811451,0.07674362792204206,0.059619212722637406,2.798876532332256,0.022062996180963818,0.5985782828863749,0.018860395418139848,0.007438064832106747,1.7275185321762395e-05
S2M2-S,update_magnitude_matched_coverage,2400082,1.0085491953869392,1.0289503864811451,0.07574074525256302,0.05852216705630192,2.6837070155778036,0.03564086560375854,0.7878840076336195,0.009958725957340587,0.007053789149906491,0.00021545995001923704
RAFT-Stereo,raw,2400082,0.925868842566091,0.925868842566091,0.08154971375574586,0.05778677526809161,2.451718141401801,0.0,0.0,0.0,0.0,0.0
RAFT-Stereo,a2_unconditional,2400082,0.8788474608446528,0.925868842566091,0.07850148437932761,0.05578351076502752,2.274845701014144,0.4071460891752865,0.6373276946824381,0.34903917790120814,0.1272564315834535,0.000709601281600754
RAFT-Stereo,raw_error_authorized_a2,2400082,0.8973242611803847,0.925868842566091,0.07931187333438829,0.05612141565080192,2.322962072774531,0.058604247688203985,0.7572082571564094,0.01948185288439359,0.009794513054424098,0.0005300891766398561
RAFT-Stereo,proposal_authorized_a2,2400082,0.9116987733224035,0.925868842566091,0.08057641356996477,0.05705638389142026,2.3761530139667073,0.03221389935843859,0.8613773493399651,0.012821935566545418,0.003666154321583505,3.506443111551395e-05
RAFT-Stereo,oracle_proposal_authorization,2400082,0.8730419314554176,0.925868842566091,0.07618656345140254,0.05519728055801286,2.234416936102669,0.11072830011641269,1.0,0.05769836874741096,0.0,0.0
RAFT-Stereo,random_matched_coverage,2400082,0.9231775150667744,0.925868842566091,0.08137805276258964,0.05766094657871512,2.4416264035412802,0.023060878753309262,0.6397040511945356,0.01970719062361408,0.007126032675636578,3.9359153930707956e-05
RAFT-Stereo,update_magnitude_matched_coverage,2400082,0.8924879963265142,0.925868842566091,0.07968436051199279,0.055881423992580136,2.298245578242045,0.043334352742947946,0.7606851110934222,0.010608414103342297,0.007007485345779106,0.0005836971604104299
StereoAnywhere,raw,2400082,0.9299963128261026,0.9299963128261026,0.08608705837336549,0.05996211783047615,2.3268280729723942,0.0,0.0,0.0,0.0,0.0
StereoAnywhere,a2_unconditional,2400082,0.8803602989579238,0.9299963128261026,0.08226135600785381,0.057223877976410716,2.17480123230305,0.4013671199567348,0.6213752957880179,0.3414346324752004,0.13038438671836547,0.00047180030085260024
StereoAnywhere,raw_error_authorized_a2,2400082,0.8970623391402738,0.9299963128261026,0.08347048121954144,0.05741803813389466,2.209490594007428,0.05834717313825111,0.7691269616606627,0.01814193216347316,0.009389002793567297,0.0003235820911489089
StereoAnywhere,proposal_authorized_a2,2400082,0.9171826700839976,0.9299963128261026,0.08496959687142547,0.05926422511826262,2.2644657928355736,0.030887278018001053,0.8641780157664045,0.010854224566933128,0.003169051239010693,4.266395236489768e-05
StereoAnywhere,oracle_proposal_authorization,2400082,0.8761679372233176,0.9299963128261026,0.08081307211568219,0.05685514056668415,2.1399723446008805,0.11165701838520517,1.0,0.05832245756890476,0.0,0.0
StereoAnywhere,random_matched_coverage,2400082,0.9272064243940548,0.9299963128261026,0.08586623250780949,0.05980378982004653,2.3183965657792296,0.022650892761163995,0.6198509563066373,0.019209821980188085,0.007364817774910133,3.0220643173897586e-05
StereoAnywhere,update_magnitude_matched_coverage,2400082,0.8931199716148663,0.9299963128261026,0.08362672581476412,0.05728512633685918,2.1979566684051397,0.040538198278225496,0.8150079765765059,0.008644220929688064,0.005878275661666464,0.00030588222736266764
