variant,parameters,receptive_field,helpfulness_auroc,helpfulness_ap,p0_proxy_ap,utility_mae,utility_pearson,utility_spearman,uncertainty_error_correlation,intervention_coverage,intervention_precision,false_update_rate,clean_pixel_degradation,harmful_proposal_acceptance_rate,calibration_epe_gain
P1,1201,2,0.9226239004807758,0.5985805869606777,0.41433608321067433,0.03581284359097481,0.5191243527856719,0.3246770457541441,,0.06063441520957861,0.44103098437071564,0.04504020925779398,0.021013387325774947,0.46904379483884784,0.005279178731143475
P2,15433,8,0.8061676337922951,0.4669354028843557,0.41433608321067433,0.04797275736927986,0.4185659003471983,0.019834656012933473,,0.05927641711955437,0.3885654022640324,0.04493591410529361,0.024005267600502287,0.5509155155798265,0.004207259509712458
P3,15458,8,0.8385647735933793,0.45404890615966387,0.41433608321067433,0.0360417366027832,0.4573726612237172,0.29967683478440693,0.6532464074965483,0.036596784962798036,0.4857350536071234,0.025489039970074245,0.01630133233580814,0.4749759074847414,0.00341551355086267
P4,15533,8,0.9779459209505927,0.5670792337092457,0.41433608321067433,0.04558844491839409,0.32172398874407204,-0.008176930625247339,0.6440319150734612,0.012928913255710642,0.6842240625482229,0.0061596717066719694,0.003502231220962491,0.10161687546846558,0.002835951978340745
