backbone,sequence,coverage_threshold,method,frames,valid_count,clean_count,changed_count,epe,raw_epe,bad1,bad3,boundary_epe,new_bad3,intervention_coverage,intervention_precision,false_update_rate,clean_pixel_degradation,mean_update_magnitude_clean,percentage_frames_worsened,worst_frame_degradation,p95_frame_degradation,catastrophic_tail_p99,clean_frame_degradation
S2M2-S,dataset_7_keyframe_3,0.05,raw,160,1683403,1232339,0,2.505127306637415,2.505127306637415,0.17502107368054284,0.14092228623968026,7.145853085305718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2M2-S,dataset_7_keyframe_3,0.05,a2_unconditional,160,1683403,1232339,546908,2.4558179639217417,2.505127306637415,0.17463792126126515,0.13817725161299144,6.921352688216832,0.000765468054114595,0.32488239595628615,0.5853434215626759,0.21705147690692253,0.1054863961945536,0.04930988695918934,0.03125,0.03244900330901146,-0.0035441792220808704,0.004180937544442711,0.05084745762711865
S2M2-S,dataset_7_keyframe_3,0.05,raw_error_authorized_a2,160,1683403,1232339,140537,2.4625832060336132,2.505127306637415,0.17482563635843962,0.1384154593859442,6.950984463577088,0.0005317479070395,0.08348387165758882,0.7756462710887524,0.018187365651821455,0.013936911840005064,0.01012349387517107,0.00625,0.01638571172952652,-0.011395144788548353,-0.007529227258637556,0.01694915254237288
S2M2-S,dataset_7_keyframe_3,0.05,proposal_authorized_a2,160,1683403,1232339,82561,2.4748815407563156,2.505127306637415,0.17360133082869306,0.13960946990153103,7.006541829304249,8.436052624838619e-05,0.0490441088675736,0.888240210268771,0.009008884730581439,0.0060600208221925946,0.0031989987662510164,0.0125,0.005012914072722197,-0.006928399484604601,-0.0012772247917019071,0.03389830508474576
S2M2-S,dataset_7_keyframe_3,0.05,oracle_proposal_authorization,160,1683403,1232339,160144,2.44064616960582,2.505127306637415,0.16932309212892185,0.13756598958965194,6.865042921886521,0.0,0.0951311123955464,1.0,0.011312633942446032,0.0,0.002370178275434248,0.0,-0.01695636473596096,-0.020637292135506875,-0.01902437601238489,0.0
S2M2-S,dataset_7_keyframe_3,0.05,random_matched_coverage,160,1683403,1232339,30964,2.502274136794876,2.505127306637415,0.174994936243789,0.14076130293258876,7.132585110121889,4.356322254442054e-05,0.018393694201566706,0.5877793566722646,0.012271785604448127,0.005995915085053707,0.0027957490275231814,0.05,0.0016188094159588218,-2.3328367751675494e-05,0.0007816953206202007,0.06779661016949153
S2M2-S,dataset_7_keyframe_3,0.05,update_magnitude_matched_coverage,160,1683403,1232339,113602,2.4597536708027756,2.505127306637415,0.17509176361602552,0.1383839763202447,6.935030186354462,0.000569779290126311,0.06748354375036755,0.7662453125825249,0.01605321263061544,0.014065934779309914,0.011218252463252627,0.00625,0.01847260072827339,-0.011072094598785049,-0.006834393981844199,0.01694915254237288
S2M2-S,dataset_7_keyframe_3,0.25,raw,160,1608626,1209310,0,2.207334267143472,2.207334267143472,0.15607978425331082,0.12615424560904728,6.458253487468229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2M2-S,dataset_7_keyframe_3,0.25,a2_unconditional,160,1608626,1209310,498455,2.1642415660000585,2.207334267143472,0.15593804796081856,0.12401639659414421,6.228264872321343,0.0006608849344718964,0.30986382167141396,0.5782267205665507,0.2131008591676245,0.10269575212311152,0.04740295170401623,0.04375,0.02893718332052231,-0.00239406962646175,0.00845355222932993,0.07936507936507936
S2M2-S,dataset_7_keyframe_3,0.25,raw_error_authorized_a2,160,1608626,1209310,115946,2.1703869126502395,2.207334267143472,0.15613884031879535,0.12423024348794041,6.260477964508437,0.0004567148844567797,0.07207766130847071,0.7686336742966553,0.01608437869528905,0.012309498805103737,0.008449089905172883,0.0125,0.012965924106538296,-0.009511168068274858,-0.0018213962495792872,0.031746031746031744
S2M2-S,dataset_7_keyframe_3,0.25,proposal_authorized_a2,160,1608626,1209310,73315,2.1793336687526925,2.207334267143472,0.15475380832158894,0.12493332797022028,6.305001519652923,5.4065936549843406e-05,0.04557616251384722,0.8891359203437222,0.008306389594066039,0.005604849046150284,0.0025867097742615,0.0125,0.0038288114592432976,-0.006194729427807035,-0.0013674726139288546,0.031746031746031744
S2M2-S,dataset_7_keyframe_3,0.25,oracle_proposal_authorization,160,1608626,1209310,136393,2.150705934526203,2.207334267143472,0.15133101090513915,0.12347245393824614,6.168788032447395,0.0,0.0847885089511173,1.0,0.010682951435115893,0.0,0.002205562435013747,0.0,-0.007867509499192238,-0.018362629879266026,-0.015739843240007767,0.0
S2M2-S,dataset_7_keyframe_3,0.25,random_matched_coverage,160,1608626,1209310,28197,2.204863895220292,2.207334267143472,0.15607978467683864,0.12603364583471097,6.444787790847114,3.556969497258498e-05,0.017528623806901046,0.5799553143951485,0.01204405818193846,0.005834732202661021,0.002691144826757735,0.0625,0.0014191311784088612,9.915578011714374e-05,0.0008067827677587041,0.09523809523809523
S2M2-S,dataset_7_keyframe_3,0.25,update_magnitude_matched_coverage,160,1608626,1209310,96146,2.1676192983520006,2.207334267143472,0.15633030864888928,0.12415502360262881,6.2418804643552726,0.0004823250625164481,0.05976902026947221,0.7584922929711064,0.014473542764055537,0.012712207787912115,0.009572588563492024,0.0125,0.014284302480518818,-0.00982575756497682,0.0003325886372476626,0.031746031746031744
S2M2-S,dataset_7_keyframe_3,0.5,raw,160,1080260,845879,0,2.0566170331282083,2.0566170331282083,0.15639568235510892,0.1317321749169307,5.592373080758894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2M2-S,dataset_7_keyframe_3,0.5,a2_unconditional,160,1080260,845879,328174,2.0154609544279967,2.0566170331282083,0.15586803189068316,0.12970303448841117,5.3900915550803346,0.0007207168801974614,0.3037916797807935,0.557335437907939,0.19795857327111796,0.1019708492585819,0.04465625771057643,0.06875,0.02266082912683487,0.0016815219540148856,0.012959572803229069,0.13846153846153847
S2M2-S,dataset_7_keyframe_3,0.5,raw_error_authorized_a2,160,1080260,845879,76740,2.0211889745631404,2.0566170331282083,0.1559874474696882,0.12991964879859896,5.423064916219139,0.0004733702606004518,0.0710384537055894,0.7770263226479021,0.015270505592407425,0.011509920449615135,0.006970594143171811,0.0125,0.00633165892213583,-0.005847115535289063,0.0016887323668924904,0.03076923076923077
S2M2-S,dataset_7_keyframe_3,0.5,proposal_authorized_a2,160,1080260,845879,50091,2.029729848282388,2.0566170331282083,0.15527002688689232,0.13039175751685167,5.4517524885565285,3.0918327683730517e-05,0.046369392553644494,0.8991834860553792,0.007464424580820661,0.005128393068039282,0.0020552358769927673,0.00625,0.0014194598188623786,-0.004313947469927372,-0.0009059147912194052,0.015384615384615385
S2M2-S,dataset_7_keyframe_3,0.5,oracle_proposal_authorization,160,1080260,845879,93859,2.0023317193942445,2.0566170331282083,0.1524179361123467,0.12912169254661487,5.331974150857263,0.0,0.0868855645863033,1.0,0.011389335826991804,0.0,0.0022819617212693493,0.0,-0.00037082357448525727,-0.014285939000546935,-0.004663444776088005,0.0
S2M2-S,dataset_7_keyframe_3,0.5,random_matched_coverage,160,1080260,845879,18480,2.0542402565018008,2.0566170331282083,0.1563697628485171,0.13160998214592937,5.580390924138181,3.838137238944895e-05,0.01710699276100198,0.5600108225108225,0.01111742932499802,0.005791608492467599,0.0025245931361350584,0.0875,0.0012623256770893931,0.00011112333304481385,0.0009392683260375632,0.15384615384615385
S2M2-S,dataset_7_keyframe_3,0.5,update_magnitude_matched_coverage,160,1080260,845879,63766,2.0183851130682195,2.0566170331282083,0.15623923817431448,0.12981782140576556,5.4039753981345,0.0004787010050932835,0.05902838205617166,0.7692657529090738,0.013546854810203351,0.01189650056331934,0.008155299652814583,0.01875,0.0066520823165774345,-0.005537256295792765,0.002499578887945957,0.046153846153846156
S2M2-S,dataset_7_keyframe_3,0.9,raw,160,43664,29799,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0
S2M2-S,dataset_7_keyframe_3,0.9,a2_unconditional,160,43664,29799,16976,nan,nan,nan,nan,nan,0.00311457174642372,0.3887871015023818,0.6030278039585297,0.20322829625155206,0.13003792073559514,0.056426120104456405,0.03125,nan,nan,nan,0.0851063829787234
S2M2-S,dataset_7_keyframe_3,0.9,raw_error_authorized_a2,160,43664,29799,7462,nan,nan,nan,nan,nan,0.0021412680818294243,0.17089593257603516,0.8052800857678907,0.028625121648377463,0.020806067317695225,0.016488130516976906,0.0125,nan,nan,nan,0.02127659574468085
S2M2-S,dataset_7_keyframe_3,0.9,proposal_authorized_a2,160,43664,29799,4812,nan,nan,nan,nan,nan,2.780867755015249e-05,0.11020520337119824,0.9746467165419784,0.006644518272425249,0.00305379375146817,0.0016954543207618122,0.00625,nan,nan,nan,0.0
S2M2-S,dataset_7_keyframe_3,0.9,oracle_proposal_authorization,160,43664,29799,7962,nan,nan,nan,nan,nan,0.0,0.1823470135580799,1.0,0.013624618275781066,0.0,0.0033563621634966753,0.0,nan,nan,nan,0.0
S2M2-S,dataset_7_keyframe_3,0.9,random_matched_coverage,160,43664,29799,1003,nan,nan,nan,nan,nan,0.00011123470174463609,0.02297086844998168,0.6021934197407777,0.011980267794221282,0.007819054330682237,0.0030956832356942863,0.1125,nan,nan,nan,0.1702127659574468
S2M2-S,dataset_7_keyframe_3,0.9,update_magnitude_matched_coverage,160,43664,29799,6538,nan,nan,nan,nan,nan,0.0023637374879862776,0.14973433492121657,0.8074334658917101,0.023088023088023088,0.019866438471089633,0.020090876079080906,0.025,nan,nan,nan,0.0425531914893617
RAFT-Stereo,dataset_7_keyframe_3,0.05,raw,160,1683403,1284721,0,2.137818171433408,2.137818171433408,0.17468128604230407,0.13407306513822503,6.126049037281212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.05,a2_unconditional,160,1683403,1284721,604327,2.054897821132546,2.137818171433408,0.17227009871554014,0.13011441702282597,5.832784192898088,0.001708165723385421,0.3589912813509302,0.6320717095215008,0.25558934585797227,0.10542755975811091,0.05204773056788192,0.0125,0.005884778685867786,-0.007738504931330684,-0.0001163384260144183,0.01639344262295082
RAFT-Stereo,dataset_7_keyframe_3,0.05,raw_error_authorized_a2,160,1683403,1284721,161258,2.0768600452095063,2.137818171433408,0.172466129719939,0.13044291867666197,5.891839821225635,0.0013802527854438378,0.09579286718628872,0.7570291086333701,0.019191715555361824,0.013990586282936139,0.011472853493336824,0.00625,0.004336652345955372,-0.009649567026644946,-0.001109401221619923,0.01639344262295082
RAFT-Stereo,dataset_7_keyframe_3,0.05,proposal_authorized_a2,160,1683403,1284721,76619,2.109602155883754,2.137818171433408,0.1736173691577259,0.13272520071302663,6.005611278081371,0.0001975709754302449,0.045514353960400454,0.8718333572612538,0.00912727354810889,0.004755896416420375,0.0035810358624640904,0.00625,0.0010725692845880985,-0.004301982780452831,-6.845359754152038e-05,0.01639344262295082
RAFT-Stereo,dataset_7_keyframe_3,0.05,oracle_proposal_authorization,160,1683403,1284721,177337,2.0399335935976857,2.137818171433408,0.16682755147553063,0.12873863224838183,5.760643704293191,0.0,0.10534435307528857,1.0,0.014617959852761805,0.0,0.0032660465492400335,0.0,-0.012704471126198769,-0.025364325847476728,-0.021342320162802943,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.05,random_matched_coverage,160,1683403,1284721,34481,2.1330521473023922,2.137818171433408,0.17452089633098397,0.13382654077087203,6.108899435630754,9.329740530903128e-05,0.02048291466749198,0.6369304834546562,0.014571257105628382,0.005942146193609351,0.002971722207468831,0.0375,0.001133460784330964,-0.00015795467115822288,0.0005955313541926441,0.04918032786885246
RAFT-Stereo,dataset_7_keyframe_3,0.05,update_magnitude_matched_coverage,160,1683403,1284721,136616,2.0614526640180117,2.137818171433408,0.17280235422291118,0.13030332040655515,5.846986705332852,0.0014275875030158457,0.08115466112392576,0.7931867424020612,0.015351192982756567,0.01193566540906547,0.011931817657429726,0.0125,0.0018457616679370403,-0.011148141697049151,-0.0013588102825451782,0.01639344262295082
RAFT-Stereo,dataset_7_keyframe_3,0.25,raw,160,1608626,1259624,0,1.8791611616690511,1.8791611616690511,0.15604124181010232,0.12024236830516098,5.483299393017433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.25,a2_unconditional,160,1608626,1259624,554548,1.8043390986698458,1.8791611616690511,0.1541806486719088,0.11688546579315513,5.190148313947808,0.001567975150205438,0.3447339530754818,0.6278717081298644,0.2521831911745092,0.10221224746432268,0.04989505694321216,0.025,0.00955757312476635,-0.005740726436488379,0.0045265887305140345,0.043478260869565216
RAFT-Stereo,dataset_7_keyframe_3,0.25,raw_error_authorized_a2,160,1608626,1259624,133771,1.8243487987880558,1.8791611616690511,0.15434849270222964,0.11718883059899415,5.248652605881103,0.001269784285744758,0.08315854648625597,0.7534816963317909,0.016696252214946684,0.012052009170990708,0.00950951934885405,0.025,0.00792226567864418,-0.0059679186670109656,0.0036630065646022403,0.057971014492753624
RAFT-Stereo,dataset_7_keyframe_3,0.25,proposal_authorized_a2,160,1608626,1259624,65981,1.8532402617368464,1.8791611616690511,0.15526231663860884,0.11902953155277406,5.353717915196979,0.0001448557485616682,0.04101699214111919,0.8736757551416316,0.008355668040621645,0.004217131461451988,0.0029404668855223417,0.0125,0.0016677335370332003,-0.0032703862874768883,0.00019527791268046521,0.028985507246376812
RAFT-Stereo,dataset_7_keyframe_3,0.25,oracle_proposal_authorization,160,1608626,1259624,150170,1.7914570898646842,1.8791611616690511,0.1495394199279347,0.11559430216985654,5.112706094293942,0.0,0.09335296084981842,1.0,0.014072453367036513,0.0,0.003103113403562155,0.0,-0.00846785493195057,-0.02228286415338517,-0.0164116594940424,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.25,random_matched_coverage,160,1608626,1259624,31668,1.8748426029907603,1.8791611616690511,0.1559212645028933,0.12003473728133643,5.466227245176625,8.832667519412283e-05,0.01968636587994972,0.6327838827838828,0.014377306243767981,0.005743777508208799,0.0028505378550174655,0.04375,0.0008931587217375636,-5.887132283533015e-05,0.0006527817127061997,0.043478260869565216
RAFT-Stereo,dataset_7_keyframe_3,0.25,update_magnitude_matched_coverage,160,1608626,1259624,115178,1.8104958866287437,1.8791611616690511,0.15458409873313417,0.11702222888218222,5.204467367572149,0.0013135943218266256,0.07160023523180652,0.7893521332198857,0.013431785993280534,0.010313395108381548,0.010004803130216379,0.03125,0.007321846205741167,-0.006841459707357,0.004092871593311427,0.057971014492753624
RAFT-Stereo,dataset_7_keyframe_3,0.5,raw,160,1080260,849686,0,1.7916664566297147,1.7916664566297147,0.15932275558083928,0.1250698898247734,4.742246337102523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAFT-Stereo,dataset_7_keyframe_3,0.5,a2_unconditional,160,1080260,849686,367907,1.7169486197470298,1.7916664566297147,0.1570242346293549,0.12141799203532869,4.481564271158602,0.0013881365215606197,0.34057263992001924,0.619629417216851,0.24128795813983048,0.10325579096277919,0.04844539486934655,0.05625,0.013284758664667606,0.00023185806130639742,0.00566348204389214,0.11764705882352941
RAFT-Stereo,dataset_7_keyframe_3,0.5,raw_error_authorized_a2,160,1080260,849686,88087,1.7363377200317047,1.7916664566297147,0.15715105581928043,0.12178734705724376,4.53664748501404,0.0010728433125514344,0.08154240645770462,0.7670144289168663,0.016655564526189676,0.011571333410224482,0.008630926929268763,0.05625,0.009301092475652695,0.0005972830345854087,0.005422192234545942,0.1323529411764706
RAFT-Stereo,dataset_7_keyframe_3,0.5,proposal_authorized_a2,160,1080260,849686,45996,1.7646090580870155,1.7916664566297147,0.1584544460832821,0.12366282189485046,4.610363503581787,7.512019239160255e-05,0.04257863847592246,0.8961866249239064,0.00895036519373039,0.004086215378386839,0.0028120570613838205,0.0125,0.00320903561078012,-0.0024832046590745494,0.0009852452788618304,0.014705882352941176
RAFT-Stereo,dataset_7_keyframe_3,0.5,oracle_proposal_authorization,160,1080260,849686,104501,1.705149448841381,1.7916664566297147,0.15328346842970306,0.12029696509701868,4.4028300179889355,0.0,0.09673689667302317,1.0,0.01684622319303837,0.0,0.003703795178573195,0.0,-0.003484451910480857,-0.013283212576061498,-0.004621217516250911,0.0
