sequence,frames,method,causal,pixels,EPE,Bad1,Bad3,RMSE,P95,InvalidRate,DTCE_k1,DTCE_k2,DTCE_k4,DTCE_k8
dataset_2_keyframe_2,1033,raw,n/a,2054967,0.24047493529939765,0.009132506750716678,0.0007790879366919274,0.42218747453692756,0.6081409454345703,0.0,0.06662133424095276,0.08075887522158587,0.09713943015878022,0.12075730242319474
dataset_2_keyframe_2,1033,bidastabilizer,no,2054967,0.23697913415165128,0.00876656413460654,0.0007377247420518188,0.41363467382649305,0.6030394554138183,0.0,0.029953449137691854,0.045622295299718243,0.07150017213701343,0.10328097502212824
dataset_2_keyframe_2,1033,tether,yes,2054967,0.2386436764554887,0.007703286719446103,0.0007479438842570221,0.40075575249189616,0.602956199645996,0.0,0.04752214313406718,0.06777086988737356,0.08939261157887154,0.11465519518065093
dataset_2_keyframe_3,1102,raw,n/a,4723502,0.27072864077941255,0.025004752829574328,0.0005286332047705283,0.40314121289731913,0.7926397323608398,0.0,0.0833668810900214,0.1034926912428463,0.12719385349924275,0.15849290165251595
dataset_2_keyframe_3,1102,bidastabilizer,no,4723502,0.2644395916151739,0.024258061074177592,0.00038064978060769317,0.3937789168862103,0.7827299594879156,0.0,0.04031014658889727,0.061806045389579664,0.09566992655782094,0.1377219789827674
dataset_2_keyframe_3,1102,tether,yes,4723502,0.26969703975077924,0.023800984947185373,0.0004428917358349801,0.3975521844005089,0.783299446105957,0.0,0.06961414523849231,0.09484383407714514,0.12141535529196494,0.15518911475570868
dataset_2_keyframe_4,2114,raw,n/a,11221006,0.32781390486199263,0.021286237615415232,0.002618838275284765,0.47228245599715485,0.764678955078125,0.0,0.06937815350453881,0.08504566770958097,0.10291283742497252,0.1283701145859671
dataset_2_keyframe_4,2114,bidastabilizer,no,11221006,0.3298941081149415,0.02004927187455385,0.0024403337811244375,0.4646969777147646,0.7546710968017578,0.0,0.033297245955003114,0.051612469080346536,0.07858075550979704,0.11164418219487222
dataset_2_keyframe_4,2114,tether,yes,11221006,0.30625347590755464,0.01750618438311146,0.0021590755766461582,0.43837822617815686,0.7256336212158203,0.0,0.06125740458882292,0.08459636394938579,0.09994778711684336,0.12790880691430678
