probability_threshold,utility_threshold_px,harm_threshold_px,coverage,precision,harmful_acceptance,harm_cost_fraction,net_utility,mean_selected_utility,clean_selection
0.5,0.0,0.025,0.011687542515594413,0.8472588533531354,0.058459017232991066,0.03473798395011658,0.004787034820765257,0.4095841944217682,0.09428212941387346
0.5,0.0,0.05,0.011841369285702102,0.8453509237495893,0.06050496625976192,0.0379980098861289,0.004847305361181498,0.4093533754348755,0.09414410999064877
0.5,0.0,0.1,0.011875187233216048,0.8450352822580646,0.06101310483870968,0.038963162667596515,0.004871669225394726,0.4102393388748169,0.0939516129032258
0.5,0.0,0.25,0.01189015092680629,0.8448527561036999,0.061238358922728414,0.03923163557972027,0.004895270802080631,0.4117080271244049,0.09390888497357161
0.5,0.0,0.5,0.011893442939396143,0.8448202108653532,0.061296897410734505,0.039260777503410636,0.0049050068482756615,0.41241270303726196,0.09388289172391233
0.5,0.005,0.025,0.011686046146235389,0.8473161237451342,0.058466502765826676,0.03473174067298559,0.004786968696862459,0.40963101387023926,0.09421737348903914
0.5,0.005,0.05,0.011839872916343077,0.8454072089378697,0.06051261311359385,0.03799192572995192,0.004847240634262562,0.4093996286392212,0.09408017794853647
0.5,0.005,0.1,0.011873690863857023,0.8450913673597984,0.06102079395085066,0.038957133933740846,0.00487160449847579,0.4102855324745178,0.09388783868935098
0.5,0.005,0.25,0.011888654557447266,0.8449087476400252,0.061246066708621774,0.03922564732568202,0.004895205609500408,0.411754310131073,0.09384518565135305
0.5,0.005,0.5,0.011891946570037119,0.8448761828065231,0.06130461042883028,0.03925479739357845,0.004904941655695438,0.4124591052532196,0.09381920676464667
0.5,0.01,0.025,0.011659410771644759,0.8479683770117303,0.05842039066711158,0.03466146120476926,0.004784757737070322,0.4103771448135376,0.09361123232115814
0.5,0.01,0.05,0.011813237541752446,0.8460466648088567,0.06047171484305728,0.03792447154911281,0.004845027811825275,0.4101354777812958,0.09348162034808603
0.5,0.01,0.1,0.011847055489266393,0.8457282877785075,0.06098115495377154,0.03889059349648649,0.004869391676038504,0.41102129220962524,0.09329055726772091
0.5,0.01,0.25,0.011862019182856636,0.8455444545362801,0.0612069835503078,0.03915958621618997,0.004892992787063122,0.4124924838542938,0.09324856191341205
0.5,0.01,0.5,0.011865311195446489,0.8455116402249855,0.061265669533634326,0.03918888555163638,0.004902729298919439,0.4131985902786255,0.09322269024138018
0.5,0.02,0.025,0.011335895716223727,0.8527905380431913,0.058952426210465175,0.0344030847600032,0.004750728141516447,0.4190869629383087,0.08825703574634353
0.5,0.02,0.05,0.011489123938587805,0.850768429278458,0.06105756707475905,0.03769467686898855,0.004810917191207409,0.41873666644096375,0.08817400364678302
0.5,0.02,0.1,0.011522941886101751,0.8504272394358882,0.06157961717268784,0.03866922777901414,0.004835281986743212,0.41962212324142456,0.08799314339142404
0.5,0.02,0.25,0.011537905579691993,0.8502321479521697,0.061811013410110756,0.03894130440311997,0.00485888309776783,0.42112356424331665,0.0879568386377195
0.5,0.02,0.5,0.011541197592281846,0.8501970749922207,0.06187117518929572,0.038971258116094566,0.00486861914396286,0.42184704542160034,0.08793174981848356
0.5,0.05,0.025,0.008357222870150154,0.871727842435094,0.05829901521933751,0.029200453757172628,0.00437902333214879,0.5239810943603516,0.06997314234556849
0.5,0.05,0.05,0.008505662710565355,0.8688293867210866,0.061011224094859436,0.03269849939658346,0.004439307376742363,0.5219241976737976,0.07015938918405404
0.5,0.05,0.1,0.008539480658079301,0.8682974696852878,0.06171584776056634,0.03379242457033507,0.004463672637939453,0.5227104425430298,0.06998668255414593
0.5,0.05,0.25,0.008554444351669544,0.868003078645396,0.06202770780856423,0.034115790214683014,0.004487273748964071,0.5245550870895386,0.06996921354603974
0.5,0.05,0.5,0.008557736364259397,0.8679489421227488,0.06210876027277496,0.03415904527122077,0.004497010260820389,0.5254910588264465,0.0699422976044763
0.5,0.1,0.025,0.004076110133981919,0.8988252569750367,0.049926578560939794,0.017542176827270994,0.0036974537651985884,0.9071032404899597,0.05124816446402349
0.5,0.1,0.05,0.004200907338524538,0.8937807223765762,0.054570064828667095,0.021478230937616177,0.003755511250346899,0.8939759135246277,0.05164921279475671
0.5,0.1,0.1,0.0042347252860384845,0.8925088339222614,0.056042402826855124,0.022872867788373275,0.0037798751145601273,0.8925902843475342,0.05144876325088339
0.5,0.1,0.25,0.004249688979628727,0.8918309859154929,0.05669014084507042,0.02333148038314971,0.0038034766912460327,0.8950011134147644,0.05147887323943662
