coverage,sample_count,mean_realized_utility_px,memory_better_precision,harmful_fraction,mean_helpful_magnitude_px,mean_harmful_magnitude_px
0.001,1794,9.488836288452148,0.9403567447045708,0.059085841694537344,10.345043182373047,4.145840167999268
0.002,3588,5.757211208343506,0.9130434782608695,0.08416945373467112,6.552847862243652,2.8999462127685547
0.005,8970,2.7947275638580322,0.8288740245261984,0.1540691192865106,3.577960968017578,1.5056869983673096
0.01,17939,1.5323212146759033,0.753832432131111,0.2158425776241708,2.2369065284729004,1.0274407863616943
0.02,35877,0.8053748607635498,0.6645204448532486,0.28544750118460294,1.3961849212646484,0.6735827922821045
0.05,89691,0.3275262117385864,0.5298524935612269,0.38032801507397623,0.7596578598022461,0.37654975056648254
0.1,179382,0.16255462169647217,0.414567793870065,0.431542741189194,0.4728080928325653,0.24613229930400848
0.2,358764,0.08102342486381531,0.23070876676589624,0.45959460815466435,0.27198877930641174,0.14349465072155
0.5,896909,0.03313111886382103,0.09251328730116433,0.472091371588422,0.12398818880319595,0.06842411309480667
1.0,1793817,0.0016429482493549585,0.09633368398225683,0.46978593691552706,0.0985092744231224,0.10765570402145386
