mode,params,geo_refined_mae,geo_raw_mae,geo_delta_mae,geo_refined_bad1,geo_refined_bad3,geo_refined_bad5,geo_new_bad3_pct_of_rawgood,geo_harmful_rate,geo_modified_pixel_ratio,geo_beneficial_rate,tmp_tgm_error,tmp_terr_jitter,tmp_boundary_tgm,tmp_hf_error_energy
spatial,752161,5.074,5.2153,0.1413,73.3179,40.9389,25.9834,4.8654,0.4215,0.4153,0.5677,1.7121,1.5849,2.11,2.6164
tgm,752161,5.1097,5.2153,0.1056,74.0609,42.1235,26.1218,7.0134,0.4677,0.4793,0.5227,1.5499,1.4494,1.9951,2.3561
current_frame,752161,5.1641,5.2153,0.0512,73.4811,41.4947,26.3695,1.1572,0.2369,0.0963,0.6866,1.7,1.583,2.1495,2.6144
