config,specimen,clip,frames,applied_abs,boundary_mc,corr_var,depth_mc_mm,hf_energy,isolated_rate,mc_highmotion,mc_inconsistency,mc_lowmotion,modified_ratio,signflip_rate
raw,specimen_1,Clip_1,120,,1.942713975906372,,0.5376958847045898,0.2876119315624237,,2.0188567638397217,0.20231519639492035,0.14496847987174988,,
vdpp_tgm,specimen_1,Clip_1,120,0.019229212775826454,1.9415525197982788,0.0002558917331043631,0.5365438461303711,0.28697532415390015,0.29681343710720787,2.0138349533081055,0.20197777450084686,0.1447586566209793,0.0030788105270197967,0.019258602628369908
raw,specimen_1,Clip_1,109,,1.7587884664535522,,0.5099318027496338,0.3539481461048126,,1.800158977508545,0.20776404440402985,0.15407831966876984,,
vdpp_tgm,specimen_1,Clip_1,109,0.026131512597203255,1.7573676109313965,0.0026374850422143936,0.5094825625419617,0.3503773808479309,0.2373235030762639,1.815101146697998,0.2080007791519165,0.15378811955451965,0.016680901821608966,0.008608769232518744
raw,specimen_2,Clip_1,120,,2.5193800926208496,,0.9888282418251038,0.5503492951393127,,6.066266059875488,0.40600743889808655,0.2135683000087738,,
vdpp_tgm,specimen_2,Clip_1,120,0.03291231021285057,2.5070135593414307,0.01710372418165207,0.9836052060127258,0.5439519882202148,0.14301372719808225,5.920042991638184,0.4027015268802643,0.21315425634384155,0.019555912252541465,0.056213843035061106
raw,specimen_2,Clip_1,120,,1.9376887083053589,,0.6324716210365295,0.31846532225608826,,6.175795555114746,0.232019305229187,0.18065190315246582,,
vdpp_tgm,specimen_2,Clip_1,120,0.02831883914768696,1.9326761960983276,0.00559690035879612,0.6294243335723877,0.3162067234516144,0.3116679559305508,5.994965553283691,0.23075297474861145,0.18013909459114075,0.011477770532370252,0.015169543223402073
raw,specimen_3,Clip_1,120,,4.003709316253662,,0.7204278707504272,0.7270458936691284,,6.356507778167725,0.6374455094337463,0.20277319848537445,,
vdpp_tgm,specimen_3,Clip_1,120,0.24558202922344208,3.7686731815338135,0.5327944159507751,0.7051777839660645,0.700545608997345,0.05596825229826054,6.022300720214844,0.616560697555542,0.20085002481937408,0.12273462580256823,0.036861263548122705
raw,specimen_3,Clip_1,120,,4.652169704437256,,0.7564579844474792,0.802011251449585,,7.5276265144348145,0.6539349555969238,0.29876795411109924,,
vdpp_tgm,specimen_3,Clip_1,120,0.2994970381259918,4.361194610595703,0.6522666215896606,0.7356557846069336,0.780017614364624,0.050530527112595085,7.130370140075684,0.6312231421470642,0.2945067286491394,0.19001053370786516,0.032453235493820405
