mode,tgm_error,terr_jitter,boundary_tgm,hf_error_energy
spatial,1.7121,1.5849,2.11,2.6164
tgm,1.5499,1.4494,1.9951,2.3561
current_frame,1.7,1.583,2.1495,2.6144
shuffled,1.9174,1.7699,2.3786,2.9516
