variant,run,specimen,clip,metric,raw,vdpp,diff
current_frame_only,current_frame_only__seed0,specimen_1,Clip_1,mc_inconsistency,0.22409588098526,0.22410964965820312,0.0
current_frame_only,current_frame_only__seed0,specimen_1,Clip_1,hf_energy,0.26747986674308777,0.26748931407928467,0.0
current_frame_only,current_frame_only__seed0,specimen_1,Clip_1,depth_mc_mm,0.5591431260108948,0.5591725707054138,0.0
current_frame_only,current_frame_only__seed0,specimen_1,Clip_1,boundary_mc,2.1851468086242676,2.18501353263855,-0.0001
current_frame_only,current_frame_only__seed0,specimen_2,Clip_1,mc_inconsistency,0.2559393346309662,0.2558153569698334,-0.0001
current_frame_only,current_frame_only__seed0,specimen_2,Clip_1,hf_energy,0.3593880832195282,0.3592061698436737,-0.0002
current_frame_only,current_frame_only__seed0,specimen_2,Clip_1,depth_mc_mm,0.6792389750480652,0.6791989207267761,-0.0
current_frame_only,current_frame_only__seed0,specimen_2,Clip_1,boundary_mc,2.070592164993286,2.069521903991699,-0.0011
current_frame_only,current_frame_only__seed0,specimen_2,Clip_2,mc_inconsistency,0.1696218103170395,0.16948843002319336,-0.0001
current_frame_only,current_frame_only__seed0,specimen_2,Clip_2,hf_energy,0.20475523173809052,0.20454877614974976,-0.0002
current_frame_only,current_frame_only__seed0,specimen_2,Clip_2,depth_mc_mm,0.5085680484771729,0.5085219740867615,-0.0
current_frame_only,current_frame_only__seed0,specimen_2,Clip_2,boundary_mc,1.6319979429244995,1.6316289901733398,-0.0004
current_frame_only,current_frame_only__seed0,specimen_3,Clip_1,mc_inconsistency,0.29220718145370483,0.2845809757709503,-0.0076
current_frame_only,current_frame_only__seed0,specimen_3,Clip_1,hf_energy,0.39175698161125183,0.3850107491016388,-0.0067
current_frame_only,current_frame_only__seed0,specimen_3,Clip_1,depth_mc_mm,0.3514779210090637,0.3501226007938385,-0.0014
current_frame_only,current_frame_only__seed0,specimen_3,Clip_1,boundary_mc,2.092914581298828,2.02841854095459,-0.0645
current_frame_only,current_frame_only__seed1,specimen_1,Clip_1,mc_inconsistency,0.22409588098526,0.2241043746471405,0.0
current_frame_only,current_frame_only__seed1,specimen_1,Clip_1,hf_energy,0.26747986674308777,0.26748448610305786,0.0
current_frame_only,current_frame_only__seed1,specimen_1,Clip_1,depth_mc_mm,0.5591431260108948,0.5591529011726379,0.0
current_frame_only,current_frame_only__seed1,specimen_1,Clip_1,boundary_mc,2.1851468086242676,2.185167074203491,0.0
current_frame_only,current_frame_only__seed1,specimen_2,Clip_1,mc_inconsistency,0.2559393346309662,0.25594523549079895,0.0
current_frame_only,current_frame_only__seed1,specimen_2,Clip_1,hf_energy,0.3593880832195282,0.3593886196613312,0.0
current_frame_only,current_frame_only__seed1,specimen_2,Clip_1,depth_mc_mm,0.6792389750480652,0.6792515516281128,0.0
current_frame_only,current_frame_only__seed1,specimen_2,Clip_1,boundary_mc,2.070592164993286,2.0707929134368896,0.0002
current_frame_only,current_frame_only__seed1,specimen_2,Clip_2,mc_inconsistency,0.1696218103170395,0.16962112486362457,-0.0
current_frame_only,current_frame_only__seed1,specimen_2,Clip_2,hf_energy,0.20475523173809052,0.204751655459404,-0.0
current_frame_only,current_frame_only__seed1,specimen_2,Clip_2,depth_mc_mm,0.5085680484771729,0.5085760951042175,0.0
current_frame_only,current_frame_only__seed1,specimen_2,Clip_2,boundary_mc,1.6319979429244995,1.6320751905441284,0.0001
current_frame_only,current_frame_only__seed1,specimen_3,Clip_1,mc_inconsistency,0.29220718145370483,0.2841385006904602,-0.0081
current_frame_only,current_frame_only__seed1,specimen_3,Clip_1,hf_energy,0.39175698161125183,0.3852521479129791,-0.0065
current_frame_only,current_frame_only__seed1,specimen_3,Clip_1,depth_mc_mm,0.3514779210090637,0.34916096925735474,-0.0023
current_frame_only,current_frame_only__seed1,specimen_3,Clip_1,boundary_mc,2.092914581298828,2.020188331604004,-0.0727
current_frame_only,current_frame_only__seed2,specimen_1,Clip_1,mc_inconsistency,0.22409588098526,0.22322304546833038,-0.0009
current_frame_only,current_frame_only__seed2,specimen_1,Clip_1,hf_energy,0.26747986674308777,0.2661644518375397,-0.0013
current_frame_only,current_frame_only__seed2,specimen_1,Clip_1,depth_mc_mm,0.5591431260108948,0.5586300492286682,-0.0005
current_frame_only,current_frame_only__seed2,specimen_1,Clip_1,boundary_mc,2.1851468086242676,2.1837446689605713,-0.0014
current_frame_only,current_frame_only__seed2,specimen_2,Clip_1,mc_inconsistency,0.2559393346309662,0.2513841390609741,-0.0046
