temporal_input_mode,loss_mode,lam_tgm,n_seeds,geo_refined_mae_mean,geo_refined_mae_std,geo_delta_mae_mean,geo_delta_mae_std,geo_refined_bad3_mean,geo_refined_bad3_std,geo_new_bad3_pct_of_rawgood_mean,geo_new_bad3_pct_of_rawgood_std,geo_harmful_rate_mean,geo_harmful_rate_std,geo_modified_pixel_ratio_mean,geo_modified_pixel_ratio_std,tmp_tgm_error_mean,tmp_tgm_error_std,tmp_terr_jitter_mean,tmp_terr_jitter_std,tmp_hf_error_energy_mean,tmp_hf_error_energy_std,tmp_boundary_tgm_mean,tmp_boundary_tgm_std
full_history,spatial_plus_tgm,0.2,3,5.1182,0.0087,0.0971,0.0088,41.3413,0.0419,2.0735,0.9062,0.303,0.0676,0.1012,0.0336,1.6887,0.0147,1.5695,0.0115,2.6396,0.0224,2.1406,0.012
full_history,spatial_plus_tgm,0.5,3,5.1373,0.0495,0.078,0.0495,41.167,0.3271,3.2948,0.1636,0.3274,0.0418,0.2969,0.0327,1.6619,0.0081,1.5479,0.0045,2.5956,0.0095,2.1268,0.0045
full_history,spatial_plus_tgm,1.0,3,5.1301,0.0794,0.0851,0.0794,41.0263,0.4472,2.9268,2.2454,0.234,0.1667,0.2524,0.1834,1.6456,0.0534,1.5355,0.0491,2.5715,0.0932,2.115,0.0463
