run_id,temporal_input_mode,loss_mode,lam_tgm,seed,clip_len,steps,tgm_error,mae,harmful_rate
current_frame_only__spatial_plus_tgm__lam1.0__clip8__seed0,current_frame_only,spatial_plus_tgm,1.0,0,8,1200,1.6781,5.116,0.4701
current_frame_only__spatial_plus_tgm__lam1.0__clip8__seed1,current_frame_only,spatial_plus_tgm,1.0,1,8,1200,1.6861,5.1574,0.4345
current_frame_only__spatial_plus_tgm__lam1.0__clip8__seed2,current_frame_only,spatial_plus_tgm,1.0,2,8,1200,1.6806,5.1205,0.2148
full_history__spatial_only__lam1.0__clip8__seed0,full_history,spatial_only,1.0,0,8,1200,1.6934,5.1154,0.5413
full_history__spatial_only__lam1.0__clip8__seed1,full_history,spatial_only,1.0,1,8,1200,1.6946,5.1345,0.209
full_history__spatial_only__lam1.0__clip8__seed2,full_history,spatial_only,1.0,2,8,1200,1.7189,5.1638,0.1509
full_history__spatial_plus_tgm__lam0.2__clip8__seed0,full_history,spatial_plus_tgm,0.2,0,8,1200,1.6784,5.1116,0.3986
full_history__spatial_plus_tgm__lam0.2__clip8__seed1,full_history,spatial_plus_tgm,0.2,1,8,1200,1.6781,5.1125,0.2563
full_history__spatial_plus_tgm__lam0.2__clip8__seed2,full_history,spatial_plus_tgm,0.2,2,8,1200,1.7095,5.1305,0.2542
full_history__spatial_plus_tgm__lam0.5__clip8__seed0,full_history,spatial_plus_tgm,0.5,0,8,1200,1.657,5.145,0.2821
full_history__spatial_plus_tgm__lam0.5__clip8__seed1,full_history,spatial_plus_tgm,0.5,1,8,1200,1.6555,5.1937,0.383
full_history__spatial_plus_tgm__lam0.5__clip8__seed2,full_history,spatial_plus_tgm,0.5,2,8,1200,1.6733,5.0731,0.3172
full_history__spatial_plus_tgm__lam1.0__clip8__seed0,full_history,spatial_plus_tgm,1.0,0,8,1200,1.6121,5.0241,0.3257
full_history__spatial_plus_tgm__lam1.0__clip8__seed1,full_history,spatial_plus_tgm,1.0,1,8,1200,1.721,5.2152,0.0
full_history__spatial_plus_tgm__lam1.0__clip8__seed2,full_history,spatial_plus_tgm,1.0,2,8,1200,1.6038,5.1511,0.3763
shuffled_history__spatial_plus_tgm__lam1.0__clip8__seed0,shuffled_history,spatial_plus_tgm,1.0,0,8,800,1.638,5.1203,0.3476
shuffled_history__spatial_plus_tgm__lam1.0__clip8__seed1,shuffled_history,spatial_plus_tgm,1.0,1,8,700,1.6641,5.1766,0.5299
shuffled_history__spatial_plus_tgm__lam1.0__clip8__seed2,shuffled_history,spatial_plus_tgm,1.0,2,8,700,1.6482,5.1531,0.3344
