dataset,backbone,method,coverage_threshold,frames,valid_count,raw_epe,epe,bad1,bad3,boundary_epe,refined_minus_raw_epe,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,new_bad3,frames_worsened,worst_frame_degradation,p95_frame_degradation
SCARED-C-final,S2M2-S,raw,0.5,320,2400082,1.0289503864811451,1.0289503864811451,0.07685445742545732,0.05969712671144563,2.8076414438036617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCARED-C-final,S2M2-S,a2_unconditional,0.5,320,2400082,1.0289503864811451,1.0214332518262732,0.08134138747414475,0.05972004289765259,2.7638102626143555,-0.0075171253750270966,0.20408677703511796,0.4767804828254989,0.15775223364141905,0.08925710518147058,0.00015464346982555025,0.39375,0.0989864245057106,0.02590214964002371
SCARED-C-final,S2M2-S,p4_multidomain,0.5,320,2400082,1.0289503864811451,1.0198355189761028,0.07863064683590883,0.059602963429173414,2.7532864764765703,-0.009114854150516796,0.08762200624811986,0.5366191155492154,0.05511228965991862,0.04206633187110932,2.4370747660216496e-05,0.3875,0.10296988487243652,0.018897171877324623
SCARED-C-final,RAFT-Stereo,raw,0.5,320,2400082,0.925868842566091,0.925868842566091,0.08154971375574586,0.057786775268091624,2.451718141401801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCARED-C-final,RAFT-Stereo,a2_unconditional,0.5,320,2400082,0.925868842566091,0.9182520055195913,0.08334215248417517,0.05785468993828938,2.4070682603690154,-0.0076168412099358596,0.20610420810622304,0.49304077288357623,0.15787458020869277,0.09099374504877113,0.0005019039202972192,0.41875,0.12810194492340088,0.02716468581929803
SCARED-C-final,RAFT-Stereo,p4_multidomain,0.5,320,2400082,0.925868842566091,0.9118578497755522,0.0823542695833793,0.057716361148077364,2.399304187529745,-0.014010996882650372,0.07628739351405493,0.6078177568051732,0.04028392715679175,0.02687004573355949,0.0002591327729080005,0.365625,0.07918315380811691,0.009762049093842507
SCARED-C-final,StereoAnywhere,raw,0.5,320,2400082,0.9299963128261026,0.9299963128261026,0.08608705837336549,0.05996211783047614,2.3268280729723942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCARED-C-final,StereoAnywhere,a2_unconditional,0.5,320,2400082,0.9299963128261026,0.9279791240556281,0.09036357914591729,0.060386686550294305,2.2998557997506426,-0.0020171924479225724,0.20337180146345,0.477135230040831,0.14880498601709186,0.08557246953287814,0.0009170416404059063,0.43125,0.3527272045612335,0.031058929767459647
SCARED-C-final,StereoAnywhere,p4_multidomain,0.5,320,2400082,0.9299963128261026,0.9220979910470892,0.08921195175601623,0.06019002660583331,2.290470635306577,-0.00789832790310221,0.07139756058334673,0.5873716153127918,0.03305676621456077,0.02389881547929895,0.0006085539776189658,0.371875,0.3537808358669281,0.01032652324065567
D4D-final-specimen3,S2M2-S,raw,0.5,51,5304,7.300629587509693,7.300629587509693,0.9521116231586418,0.6610105620036225,7.4014120929021825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
D4D-final-specimen3,S2M2-S,a2_unconditional,0.5,51,5304,7.300629587509693,6.477037438046788,0.8250377193011826,0.49019608084747335,6.5810090334774145,-0.8235920474669288,0.9671945701357466,0.8933723196881092,0.9900990099009901,0.8316831683168316,0.03281423825153188,0.0392156862745098,nan,nan
D4D-final-specimen3,S2M2-S,p4_multidomain,0.5,51,5304,7.300629587509693,6.479352923461305,0.8250377193011826,0.49132730338728087,6.5833484534382105,-0.8212765018381235,0.9519230769230769,0.8916617151911269,0.9702970297029703,0.8316831683168316,0.03281423825153188,0.0392156862745098,nan,nan
