dataset,method,coverage_threshold,frames,valid_count,raw_epe,epe,refined_minus_raw_epe,bad1,bad3,boundary_epe,new_bad3,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,mean_clean_update,frames_worsened,worst_frame_degradation,p95_frame_degradation,catastrophic_tail_p99,raw_mc_temporal_error,refined_mc_temporal_error
SCARED-C-test,raw,0.05,960,12901827,1.039345085157186,1.039345085157186,0.0,0.08807713842591823,0.055944479790464505,2.8100189628944734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25708730521736034,0.25708730521736034
SCARED-C-test,a2_no_authorization,0.05,960,12901827,1.039345085157186,0.9985062087743424,-0.0408388792410433,0.08594798256823627,0.054096059503767724,2.684321990202045,0.0005506549613035998,0.4320237746173468,0.605066904728757,0.3825447564356362,0.14890747002996535,0.058283471134544615,0.03333333333333333,0.03244900330901146,-0.0023685043328441715,0.009655736219137841,0.25708730521736034,0.2530582406345389
SCARED-C-test,m0_scared_only,0.05,960,12901827,1.039345085157186,1.0129072636278083,-0.026437821355343814,0.08638125431608207,0.054264717796452255,2.7100297796715904,0.00041247808653729787,0.06987863036762158,0.6973918599053642,0.028347736521662732,0.013982028260532273,0.00885156022402142,0.04791666666666667,0.023851221427321434,-0.00034260281390743484,0.012459325892850672,0.25708730521736034,0.2508354884818824
SCARED-C-test,multidomain,0.05,960,12901827,1.039345085157186,1.023003196788805,-0.016341891746517127,0.08717842840635412,0.05473426369557009,2.744844264681939,0.00027774947450676183,0.01768385206219243,0.8157954714797899,0.0026257545083568402,0.0021667405052051497,0.0023796536008917875,0.04895833333333333,0.02547590807080269,0.0,0.009175978563725939,0.25708730521736034,0.2522664587407776
SCARED-C-test,oracle_authorization,0.05,960,12901827,1.039345085157186,0.9723078939019943,-0.06703719405301735,0.081646343844752,0.05357621061246087,2.6323636390083127,0.0,0.26832998148246756,0.9741859133025433,0.22551046731382873,0.0,0.03154096122152542,0.0,-0.022775258868932724,-0.02950868476182223,-0.025617610849440108,0.25708730521736034,0.24561712971033192
SCARED-C-test,raw,0.25,960,12116781,0.941308526634334,0.941308526634334,0.0,0.07876473113320942,0.0511215807219583,2.5983569877390793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441176206190625,0.2441176206190625
SCARED-C-test,a2_no_authorization,0.25,960,12116781,0.941308526634334,0.9021485255135048,-0.03916000002158686,0.07656142317965418,0.04940825442328522,2.459537909495575,0.00047776218388696025,0.42116565447539245,0.6104481683157064,0.375700059530346,0.14417785477005388,0.05686742749428727,0.03229166666666667,0.02893718332052231,-0.0024914268637076077,0.00917826136574147,0.2441176206190625,0.23967718409873434
SCARED-C-test,m0_scared_only,0.25,960,12116781,0.941308526634334,0.9165592319448814,-0.024749298324781423,0.07713806137910868,0.049577523852983287,2.489779906781699,0.00035095037423874285,0.06310372367050292,0.7071751236571656,0.0261792459992365,0.012507642111435674,0.007949306429760406,0.04583333333333333,0.01871655508875847,-6.253334959183202e-05,0.008694742871448337,0.2441176206190625,0.23757508828517246
SCARED-C-test,multidomain,0.25,960,12116781,0.941308526634334,0.9251639589245115,-0.016144565571261864,0.07778220941592134,0.0499234903004487,2.5223647218938,0.00024266457145966916,0.016795054726168608,0.8282277324055783,0.00233928692304324,0.0018938623987937587,0.0020092791647627756,0.04479166666666667,0.02717721089720726,0.0,0.007917637242935562,0.2441176206190625,0.23893109321654474
SCARED-C-test,oracle_authorization,0.25,960,12116781,0.941308526634334,0.8774262070352236,-0.06388231770295276,0.07297895344595992,0.04895491618566737,2.4089363497849363,0.0,0.2641411939359142,0.973342319314141,0.22339386842333922,0.0,0.03124901416219848,0.0,-0.015989437699317932,-0.02868441827595234,-0.024475863277912152,0.2441176206190625,0.23277125872480084
SCARED-C-test,raw,0.5,960,7200246,0.9616051806244463,0.9616051806244463,0.0,0.08149707651818955,0.05914867327000449,2.528729219392619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23714127169300997,0.23714127169300997
SCARED-C-test,a2_no_authorization,0.5,960,7200246,0.9616051806244463,0.9189747512359376,-0.04263042774443769,0.0785123174465677,0.05715638043779552,2.3698999905617537,0.00047000743150640406,0.39958718077132366,0.6241290788098957,0.350716198942983,0.13148000973419346,0.05414421395313919,0.03854166666666667,0.02292735129594803,-0.0015295711869839595,0.009368323823437082,0.23714127169300997,0.23411087850286436
