dataset,specimen,method,coverage_threshold,frames,valid_count,raw_epe,epe,refined_minus_raw_epe,bad1,bad3,boundary_epe,new_bad3,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,mean_clean_update,frames_worsened,worst_frame_degradation,p95_frame_degradation,catastrophic_tail_p99,raw_mc_temporal_error,refined_mc_temporal_error
SCARED-C-test,dataset_7_keyframe_3,raw,0.05,480,5050209,2.27305759213153,2.27305759213153,0.0,0.182943716215948,0.14098030395593789,6.344560244692376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280971084826833,0.5280971084826833
SCARED-C-test,dataset_7_keyframe_3,a2_no_authorization,0.05,480,5050209,2.27305759213153,2.1979899419936126,-0.07506765814573753,0.18046956110344653,0.13672226259850123,6.093742561884579,0.0013344154957144522,0.34133518038560384,0.6054696156313848,0.23288370733726055,0.10674284336845653,0.050107364735824056,0.041666666666666664,0.03244900330901146,-0.0021315051359124546,0.01217970850877461,0.5280971084826833,0.4885963620626238
SCARED-C-test,dataset_7_keyframe_3,m0_scared_only,0.05,480,5050209,2.27305759213153,2.2128863328672352,-0.06017125894670264,0.18091370072530497,0.1369343330614599,6.132098403884253,0.0010236896220872955,0.09335593833839352,0.767063230300318,0.018154362881403478,0.013622105109342685,0.010363470993576878,0.016666666666666666,0.018049420788884163,-0.008350741863250787,0.007604785710573142,0.5280971084826833,0.5049110756627938
SCARED-C-test,dataset_7_keyframe_3,multidomain,0.05,480,5050209,2.27305759213153,2.2336427692577367,-0.03941483118317027,0.1817503001235008,0.1382998210899031,6.212505472985892,0.0006396619436917344,0.03664422601124033,0.8380642058564474,0.004316804204971004,0.003922694833487457,0.004471773021116846,0.03125,0.01778215542435646,-0.003971582616213715,0.00953213945031165,0.5280971084826833,0.5134406468245385
SCARED-C-test,dataset_7_keyframe_3,oracle_authorization,0.05,480,5050209,2.27305759213153,2.167590631306529,-0.10546696619972222,0.17450248155815476,0.13557597331939977,6.016586040769143,0.0,0.21032060257308163,0.9826335505944003,0.12126889351794078,0.0,0.020759215225272864,0.0,-0.022775258868932724,-0.03110007764771581,-0.0263212586566806,0.5280971084826833,0.4860743300026392
SCARED-C-test,dataset_7_keyframe_3,raw,0.25,480,4825878,2.008878861167173,2.008878861167173,0.0,0.1642016224035059,0.1265278562740811,5.705183179776206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4895401603918407,0.4895401603918407
SCARED-C-test,dataset_7_keyframe_3,a2_no_authorization,0.25,480,4825878,2.008878861167173,1.940575434631481,-0.06830342452248303,0.16196658874120573,0.12270886218341844,5.451886380932528,0.001115942753543657,0.32702795221926456,0.6017734161197873,0.2292119799359503,0.10368310239308424,0.048066460087857546,0.04791666666666667,0.02893718332052231,-0.0004185995421721642,0.01044908847659825,0.4895401603918407,0.45078296323963213
SCARED-C-test,dataset_7_keyframe_3,m0_scared_only,0.25,480,4825878,2.008878861167173,1.9543320823640211,-0.054546788333149,0.16241023840568455,0.12290343829588622,5.49073309262056,0.0008371942943260329,0.08122853499404668,0.7688642062862405,0.015849338057057617,0.01182136102623037,0.008512213220752707,0.025,0.01871655508875847,-0.005967918667010969,0.0063414978003129355,0.4895401603918407,0.46632930611109535
SCARED-C-test,dataset_7_keyframe_3,multidomain,0.25,480,4825878,2.008878861167173,1.970724378288245,-0.03815447722094516,0.1628031204702114,0.12394221294303599,5.56164500194349,0.0005276055851685503,0.03410757586495142,0.8500962946311946,0.003671903752577454,0.0032984345279093497,0.0034961416292265224,0.027083333333333334,0.014828797429800034,-0.0034111608867533525,0.008587492322549222,0.4895401603918407,0.47424978510553095
SCARED-C-test,dataset_7_keyframe_3,oracle_authorization,0.25,480,4825878,2.008878861167173,1.912266951173107,-0.0966119044688343,0.15680400457919935,0.12173411724352565,5.371934191306305,0.0,0.20053635835800243,0.9813518585109593,0.12066915682391334,0.0,0.02061115280524715,0.0,-0.015989437699317932,-0.02889185352250934,-0.023146694134920837,0.4895401603918407,0.4487196080802971
