dataset,backbone,method,coverage_threshold,frames,valid_count,raw_epe,epe,refined_minus_raw_epe,bad1,bad3,boundary_epe,new_bad3,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,mean_clean_update,frames_worsened,worst_frame_degradation,p95_frame_degradation,catastrophic_tail_p99,raw_mc_temporal_error,refined_mc_temporal_error
SCARED-C-test,S2M2-S,raw,0.05,320,4300609,1.1210421677809437,1.1210421677809437,0.0,0.08280385422415776,0.05553236749106962,3.113080003918025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13955803898354055,0.13955803898354055
SCARED-C-test,S2M2-S,a2_no_authorization,0.05,320,4300609,1.1210421677809437,1.0905649370393395,-0.03047723668082255,0.08136708089757383,0.05424673572880178,2.9961907113557444,0.000274755981156227,0.4246370688430406,0.5919347190173245,0.3805846807887484,0.1512931268175906,0.057952355520694505,0.028125,0.03244900330901146,-0.0035441792220808474,0.00386277438607067,0.13955803898354055,0.15231761202707753
SCARED-C-test,S2M2-S,m0_scared_only,0.05,320,4300609,1.1210421677809437,1.1017310726354936,-0.019311091302808607,0.08180446087321323,0.05443554612202028,3.0203478409160653,0.00019006417318131284,0.06491894520055183,0.681809227374808,0.02998357286543667,0.015251132823918892,0.008725456462855928,0.034375,0.019432423636317253,-0.001160388783318921,0.008255585581064233,0.13955803898354055,0.146552081119404
SCARED-C-test,S2M2-S,multidomain,0.05,320,4300609,1.1210421677809437,1.1076570787447102,-0.01338509314096201,0.08219719575339617,0.054737596483692516,3.0441895586829926,0.0001179284188040479,0.016006337707054976,0.8357133518311374,0.0023673742239869702,0.0018559476120289776,0.001883600783818766,0.01875,0.014598103240132332,-0.00017916837969096373,0.0016686634451616596,0.13955803898354055,0.14283641329692226
SCARED-C-test,S2M2-S,oracle_authorization,0.05,320,4300609,1.1210421677809437,1.065175796109358,-0.05586637267191919,0.07741229223807417,0.05398723748778354,2.950521112856782,0.0,0.2582650503684478,0.9732537316657919,0.22123616563067844,0.0,0.031271552295437495,0.0,-0.022971397265791893,-0.02982148043811321,-0.027087782192975283,0.13955803898354055,0.14313621560170395
SCARED-C-test,S2M2-S,raw,0.25,320,4038927,1.0115720512165465,1.0115720512165465,0.0,0.07357127256320473,0.05058224609994751,2.8889331339583046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13297121076076973,0.13297121076076973
SCARED-C-test,S2M2-S,a2_no_authorization,0.25,320,4038927,1.0115720512165465,0.9830215803370068,-0.02855046610215131,0.07215332152526714,0.04951339798534855,2.7588681986792696,0.00024330906702279423,0.4132619876516708,0.5939980888304421,0.3733465356515338,0.14748901988318353,0.0566750281222999,0.028125,0.02893718332052231,-0.003245086362585422,0.0034527979325503118,0.13297121076076973,0.1445707617487806
SCARED-C-test,S2M2-S,m0_scared_only,0.25,320,4038927,1.0115720512165465,0.9941131508096027,-0.017458897861982698,0.0727039627768188,0.0496981004280423,2.7879152106420446,0.00016742167303458434,0.05853559621156807,0.684550018822355,0.02799475580009213,0.01391957643181075,0.007969776200672237,0.03125,0.012965924106538296,-0.000997654578532091,0.006333434723783293,0.13297121076076973,0.13915381114579492
SCARED-C-test,S2M2-S,multidomain,0.25,320,4038927,1.0115720512165465,0.9987564757440509,-0.012815571681302398,0.07291169137009644,0.04983155183670117,2.808841538535221,0.00010118319149428001,0.015063901872947939,0.845780875053417,0.0021186614513797964,0.0016175672491862347,0.0015545026215059183,0.01875,0.009587482549250126,-0.00015815114456927394,0.0003193442782503555,0.13297121076076973,0.1359910429404266
SCARED-C-test,S2M2-S,oracle_authorization,0.25,320,4038927,1.0115720512165465,0.95870582639044,-0.05286621868137999,0.06882050581445251,0.04928239595096508,2.7138778934535166,0.0,0.25246532061609434,0.9723190109925673,0.21780689529065222,0.0,0.030853189727575198,0.0,-0.015989437699317932,-0.028785904124379157,-0.02349628001451492,0.13297121076076973,0.13604261761684244
SCARED-C-test,S2M2-S,raw,0.5,320,2400082,1.0289503864811451,1.0289503864811451,0.0,0.07685445742545732,0.05969712671144563,2.8076414438036617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12535097965415964,0.12535097965415964
SCARED-C-test,S2M2-S,a2_no_authorization,0.5,320,2400082,1.0289503864811451,0.9977164939052363,-0.031233884706067076,0.07477411195252183,0.058461752571948314,2.660053038368067,0.00029953864020340707,0.3902483331819496,0.6045473763329732,0.34432415653416815,0.13337215485938828,0.053531334247948696,0.034375,0.02266082912683487,-0.003175801842007781,0.004354772733058782,0.12535097965415964,0.13956246289921886
SCARED-C-test,S2M2-S,m0_scared_only,0.5,320,2400082,1.0289503864811451,1.0095919803661897,-0.019358386310137077,0.07546950476749999,0.058710493978280064,2.6991588366954513,0.00019673839765504524,0.051722399484684274,0.7531940260033189,0.01962476267935906,0.0102267449834808,0.006417738186072321,0.009375,0.01346572209149599,-0.001002810991485602,-0.000274416470638243,0.12535097965415964,0.13289925471770506
SCARED-C-test,S2M2-S,multidomain,0.5,320,2400082,1.0289503864811451,1.0138566787986534,-0.015093698332999167,0.07604656819162801,0.05874049299168739,2.710377736235921,0.00012008131879844883,0.01789813848026859,0.8537840165747143,0.002337954217870575,0.0017642939816207345,0.0015934185266049835,0.04375,0.0026851180009543896,0.0,0.0003737138977157886,0.12535097965415964,0.12988297209366545
SCARED-C-test,S2M2-S,oracle_authorization,0.5,320,2400082,1.0289503864811451,0.9754414526617868,-0.053508925932212764,0.07272001533144615,0.05818009536492648,2.616121096053118,0.0,0.24322002331587003,0.9700007537499058,0.20260697776825956,0.0,0.029238477998998348,0.0,-0.007456328719854355,-0.025453730206936597,-0.019441361054778096,0.12535097965415964,0.13195583827718188
SCARED-C-test,S2M2-S,raw,0.9,320,46474,1.618170429550327,1.618170429550327,0.0,0.2612428458820899,0.16577010779250115,3.041027187120551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18729794922487944,0.18729794922487944
SCARED-C-test,S2M2-S,a2_no_authorization,0.9,320,46474,1.618170429550327,1.5237036543508433,-0.09446677871048635,0.24665404444286027,0.15557085684673658,2.811865363181337,0.0028888315708381993,0.4031931832852778,0.6245063507311346,0.23184383672705727,0.12866007670959492,0.05883595901674856,0.031007751937984496,0.06069129332900047,-0.01171641279943297,0.023655490875244146,0.18729794922487944,0.2586261059301876
