dataset,auroc,average_precision,brier,ece,raw_error_mae,mu_error_pearson,mu_error_spearman,uncertainty_error_correlation
SCARED-C-test,0.8993139687966116,0.6550158650016982,0.08025991171598434,0.09933491169433407,0.9076043963432312,0.47233817550112894,0.4448149883133691,0.4404454593139609
Fast-FoundationStereo,0.8971460845115636,0.669738869904691,0.07638280093669891,0.10460093289418447,0.9212148785591125,0.5006935627889346,0.4472847971049403,0.46138216112007113
CREStereo,0.911326056192839,0.6963095110573807,0.08043055236339569,0.10927604556467635,1.040109634399414,0.5465115115836285,0.47294999899426193,0.5202697689991763
SERV-CT-seen-calibration,0.61617650960416,0.7095397944219655,0.30261972546577454,0.2651058522300256,0.778684139251709,0.2169029288761138,0.21745106461501523,0.1806756258790375
D4D-unseen,0.6153494022571615,0.8490187177233102,0.39824536442756653,0.4762230650778929,2.501943826675415,0.23971232967219874,0.35578577999110755,0.18331319280450248
