session,frames,raw_mc_inconsistency,temporal_module_mc_inconsistency,update_magnitude,support_coverage
2025_04_10-16_07_15,12,2.478071546802918,2.07048828403155,0.28048237940917414,0.970865527788798
2025_04_10-16_08_53,54,3.7537507817701057,2.338909112934575,1.2859097168677383,0.973835496990769
2025_04_10-16_13_29,12,3.515124086290598,1.9316512340058882,0.8697447357699275,0.9786651730537415
2025_04_10-16_18_24,12,0.5132881378134092,0.2504182520012061,0.2575129972149928,0.9724344710508982
2025_04_10-16_19_14,60,1.3722594524423282,0.26594531008352834,0.7004876947030425,0.9751235008239746
2025_04_10-16_28_15,6,1.5715557759006817,0.1868803252776464,0.7828734579185644,0.9659079710642496
2025_04_10-16_32_24,6,33.453247256577015,9.378369573038071,12.301661823449345,0.9744727810223898
2025_04_10-16_33_49,36,11.22008659856187,9.260283689118094,1.203710877129601,0.9702118039131165
2025_05_08-14_24_24,6,7.872298022111257,5.314166622857253,1.3525847246249516,0.9868699113527933
2025_05_08-14_25_47,6,11.021446953217188,1.0281240561356146,5.1634001061320305,0.9828189810117086
2025_05_08-14_27_51,72,4.430375798294942,1.601022403118097,3.782510130562716,0.9801815897226334
2025_05_08-14_33_16,12,2.0482500344514847,0.9385999144675831,1.0658717826008797,0.9840664068857828
2025_05_08-14_34_16,60,2.5261754063268502,0.6220410082256421,1.7727784879195194,0.9821309586366017
2025_05_08-14_36_52,6,2.6044820845127106,1.4213533513247967,1.2329474687576294,0.9863426287968954
2025_05_08-14_38_08,6,0.1740202655394872,0.08353772573173046,0.11233779198179643,0.9811214407285055
2025_05_08-14_39_50,60,0.4305391564965248,0.08222634854416053,0.2591233296940724,0.9700489083925883
2025_05_08-14_49_00,12,0.4195400072882573,0.0834874597688516,0.3531419982512792,0.9714056551456451
2025_05_08-14_50_11,42,1.2064837650174187,0.12403238437504374,0.6169751761924653,0.9633708567846389
2025_05_08-14_52_45,6,0.20601212109128633,0.06645577649275462,0.1490153210858504,0.9650077621142069
2025_05_08-14_59_26,18,10.492173787620333,3.239388255919847,6.437228048375498,0.9840492539935641
