backbone,frames,raw_mc_inconsistency,temporal_module_mc_inconsistency,update_magnitude,support_coverage
RAFT-Stereo,252,0.5094060177013041,0.1933703219281539,0.3304474711240757,0.9751705943592011
StereoAnywhere,252,6.927071224720705,3.238554650330491,3.047845582766939,0.9751666140934777
