sequence,frames,method,causal,pixels,EPE,Bad1,Bad3,RMSE,P95,InvalidRate
dataset_2_keyframe_2,1033,raw,n/a,2054967,0.24047493529939765,0.009132506750716678,0.0007790879366919274,0.42218747453692756,0.6081409454345703,0.0
dataset_2_keyframe_2,1033,bidastabilizer,no,2054967,0.23697913415165128,0.00876656413460654,0.0007377247420518188,0.41363467382649305,0.6030394554138183,0.0
dataset_2_keyframe_2,1033,tether,yes,2054967,0.23413833658735086,0.007518855533933148,0.000746484006799136,0.39943414587347015,0.594700813293457,0.0
dataset_2_keyframe_3,1102,raw,n/a,4723502,0.27072864077941255,0.025004752829574328,0.0005286332047705283,0.40314121289731913,0.7926397323608398,0.0
dataset_2_keyframe_3,1102,bidastabilizer,no,4723502,0.2644395916151739,0.024258061074177592,0.00038064978060769317,0.3937789168862103,0.7827299594879156,0.0
dataset_2_keyframe_3,1102,tether,yes,4723502,0.2714492016123835,0.02441874693818273,0.00047062539615734257,0.401111346518213,0.7879218101501468,0.0
dataset_2_keyframe_4,2114,raw,n/a,11221006,0.32781390486199263,0.021286237615415232,0.002618838275284765,0.47228245599715485,0.764678955078125,0.0
dataset_2_keyframe_4,2114,bidastabilizer,no,11221006,0.3298941081149415,0.02004927187455385,0.0024403337811244375,0.4646969777147646,0.7546710968017578,0.0
dataset_2_keyframe_4,2114,tether,yes,11221006,0.30641838713237257,0.01763228715856671,0.0021861676216909606,0.44073360851069854,0.7273845672607422,0.0
