method,checkpoint,input_resolution,frame,runtime_ms,valid_disp_mae,valid_disp_rmse,bad_1px,bad_2px,bad_3px,valid_depth_mae,valid_depth_median,valid_depth_rmse,bad_1mm,bad_2mm,bad_5mm,pred_disp_le_0_1_ratio,pred_disp_le_0_5_ratio,valid_pixel_ratio,valid_px,mae_px,rmse_px,bad1_pct,bad2_pct,bad5_pct,depth_mae_mm,depth_median_abs_error_mm,depth_rmse_mm,depth_bad1mm_pct,depth_bad2mm_pct,depth_bad5mm_pct,abs_depth_error_p50,abs_depth_error_p75,abs_depth_error_p90,abs_depth_error_p95,abs_depth_error_p99,excluded_pred_disp_le_0_1_ratio,valid_disp_valid_px,valid_disp_valid_pixel_ratio,valid_disp_mae_px,valid_disp_rmse_px,valid_disp_bad1_pct,valid_disp_bad2_pct,valid_disp_bad5_pct,valid_disp_depth_mae_mm,valid_disp_depth_median_abs_error_mm,valid_disp_depth_rmse_mm,valid_disp_depth_bad1mm_pct,valid_disp_depth_bad2mm_pct,valid_disp_depth_bad5mm_pct,valid_disp_abs_depth_error_p50,valid_disp_abs_depth_error_p75,valid_disp_abs_depth_error_p90,valid_disp_abs_depth_error_p95,valid_disp_abs_depth_error_p99,depth_mae_cap100_mm,depth_rmse_cap100_mm,depth_mae_cap200_mm,depth_rmse_cap200_mm
S2M2-L,CH256NTR3.pth,736 width,dataset_1_keyframe_1_frame_000000,245.76098704710603,1.6920098066329956,2.1706533432006836,62.23109192443592,32.57382631510393,16.62893425048949,1.3664393424987793,1.0072879791259766,1.9275113344192505,50.33990187504265,21.512956174573933,2.0218372482007325,0.0,0.0,0.7380203247070313,967338,1.6920098066329956,2.1706533432006836,62.23109192443592,32.57382631510393,2.431518249050487,1.3664393424987793,1.0072879791259766,1.9275113344192505,50.33990187504265,21.512956174573933,2.0218372482007325,1.0072879791259766,1.811920166015625,2.9002749919891357,3.699336051940918,6.443541049957275,0.0,967338,0.7380203247070313,1.6920098066329956,2.1706533432006836,62.23109192443592,32.57382631510393,2.431518249050487,1.3664393424987793,1.0072879791259766,1.9275113344192505,50.33990187504265,21.512956174573933,2.0218372482007325,1.0072879791259766,1.811920166015625,2.9002749919891357,3.699336051940918,6.443541049957275,1.3654958009719849,1.9307820796966553,1.3664393424987793,1.9275113344192505
S2M2-L,CH256NTR3.pth,736 width,dataset_1_keyframe_1_frame_000001,179.07676799222827,1.789942741394043,2.255218982696533,65.67976069217359,35.58032251734224,18.244003027688397,1.4452627897262573,1.1033515930175781,1.9885668754577637,54.723183516749366,23.20449044814149,2.1172014440703095,0.0,0.0,0.7347953796386719,963111,1.789942741394043,2.255218982696533,65.67976069217359,35.58032251734224,2.6824530090508776,1.4452627897262573,1.1033515930175781,1.9885668754577637,54.723183516749366,23.20449044814149,2.1172014440703095,1.1033515930175781,1.9087638854980469,3.0030288696289062,3.8179874420166016,6.4988298416137695,0.0,963111,0.7347953796386719,1.789942741394043,2.255218982696533,65.67976069217359,35.58032251734224,2.6824530090508776,1.4452627897262573,1.1033515930175781,1.9885668754577637,54.723183516749366,23.20449044814149,2.1172014440703095,1.1033515930175781,1.9087638854980469,3.0030288696289062,3.8179874420166016,6.4988298416137695,1.4441800117492676,1.992203950881958,1.4452627897262573,1.9885668754577637
S2M2-L,CH256NTR3.pth,736 width,dataset_1_keyframe_1_frame_000002,179.51564397662878,1.826362133026123,2.289367437362671,67.39537795409724,36.86276518029491,18.811745635936287,1.489439606666565,1.1523933410644531,2.042612314224243,56.54601718766493,24.267151870357807,2.3109184416767956,0.0,0.0,0.7300178527832031,956849,1.826362133026123,2.289367437362671,67.39537795409724,36.86276518029491,2.8423502558919953,1.489439606666565,1.1523933410644531,2.042612314224243,56.54601718766493,24.267151870357807,2.3109184416767956,1.1523933410644531,1.9630889892578125,3.0473105907440186,3.872006893157959,6.6906514167785645,0.0,956849,0.7300178527832031,1.826362133026123,2.289367437362671,67.39537795409724,36.86276518029491,2.8423502558919953,1.489439606666565,1.1523933410644531,2.042612314224243,56.54601718766493,24.267151870357807,2.3109184416767956,1.1523933410644531,1.9630889892578125,3.0473105907440186,3.872006893157959,6.6906514167785645,1.4885512590408325,2.04421329498291,1.489439606666565,2.042612314224243
S2M2-L,CH256NTR3.pth,736 width,dataset_1_keyframe_1_frame_000003,179.0410177782178,1.8412996530532837,2.303774356842041,67.92513931237515,37.12017663757754,18.891914625170855,1.5227645635604858,1.1709766387939453,2.0974912643432617,57.56723793502261,24.949006413626325,2.418778256755336,0.0,0.0,0.7256317138671875,951100,1.8412996530532837,2.303774356842041,67.92513931237515,37.12017663757754,2.8262012406686994,1.5227645635604858,1.1709766387939453,2.0974912643432617,57.56723793502261,24.949006413626325,2.418778256755336,1.1709766387939453,1.9974002838134766,3.111698627471924,3.951707363128662,6.880188941955566,0.0,951100,0.7256317138671875,1.8412996530532837,2.303774356842041,67.92513931237515,37.12017663757754,2.8262012406686994,1.5227645635604858,1.1709766387939453,2.0974912643432617,57.56723793502261,24.949006413626325,2.418778256755336,1.1709766387939453,1.9974002838134766,3.111698627471924,3.951707363128662,6.880188941955566,1.5228151082992554,2.101564645767212,1.5227645635604858,2.0974912643432617
S2M2-L,CH256NTR3.pth,736 width,dataset_1_keyframe_1_frame_000004,180.5721300188452,1.7878789901733398,2.2453806400299072,66.15557529733265,35.61442407942814,18.014993656692376,1.4914788007736206,1.1402053833007812,2.052009105682373,56.216388656201175,24.36358297056938,2.35499917077494,0.0,0.0,0.7222496032714844,946667,1.7878789901733398,2.2453806400299072,66.15557529733265,35.61442407942814,2.461266738990585,1.4914788007736206,1.1402053833007812,2.052009105682373,56.216388656201175,24.36358297056938,2.35499917077494,1.1402053833007812,1.9667510986328125,3.0848662853240967,3.9246826171875,6.7324652671813965,0.0,946667,0.7222496032714844,1.7878789901733398,2.2453806400299072,66.15557529733265,35.61442407942814,2.461266738990585,1.4914788007736206,1.1402053833007812,2.052009105682373,56.216388656201175,24.36358297056938,2.35499917077494,1.1402053833007812,1.9667510986328125,3.0848662853240967,3.9246826171875,6.7324652671813965,1.4894638061523438,2.0557069778442383,1.4914788007736206,2.052009105682373
S2M2-L,CH256NTR3.pth,736 width,dataset_1_keyframe_1_frame_000005,179.15262980386615,1.7646325826644897,2.227940320968628,65.4543061373098,34.74164449926439,17.56114700119099,1.488956332206726,1.1324920654296875,2.0667688846588135,55.800818194749034,24.272509378244173,2.443332477066557,0.0,0.0,0.7187454223632812,942074,1.7646325826644897,2.227940320968628,65.4543061373098,34.74164449926439,2.4512936351072208,1.488956332206726,1.1324920654296875,2.0667688846588135,55.800818194749034,24.272509378244173,2.443332477066557,1.1324920654296875,1.9621191024780273,3.0784497261047363,3.947169542312622,6.875192165374756,0.0,942074,0.7187454223632812,1.7646325826644897,2.227940320968628,65.4543061373098,34.74164449926439,2.4512936351072208,1.488956332206726,1.1324920654296875,2.0667688846588135,55.800818194749034,24.272509378244173,2.443332477066557,1.1324920654296875,1.9621191024780273,3.0784497261047363,3.947169542312622,6.875192165374756,1.488360047340393,2.0730977058410645,1.488956332206726,2.0667688846588135
S2M2-L,CH256NTR3.pth,736 width,dataset_1_keyframe_1_frame_000006,180.1491540390998,1.7495834827423096,2.2162864208221436,64.95918656701303,34.56727740235318,17.25602820321753,1.4933470487594604,1.1295166015625,2.0869483947753906,55.683551712117385,24.46492667227405,2.416504894733644,0.0,0.0,0.7156745910644531,938049,1.7495834827423096,2.2162864208221436,64.95918656701303,34.56727740235318,2.291031705166788,1.4933470487594604,1.1295166015625,2.0869483947753906,55.683551712117385,24.46492667227405,2.416504894733644,1.1295166015625,1.9726638793945312,3.089754581451416,3.9445197582244873,7.004861831665039,0.0,938049,0.7156745910644531,1.7495834827423096,2.2162864208221436,64.95918656701303,34.56727740235318,2.291031705166788,1.4933470487594604,1.1295166015625,2.0869483947753906,55.683551712117385,24.46492667227405,2.416504894733644,1.1295166015625,1.9726638793945312,3.089754581451416,3.9445197582244873,7.004861831665039,1.4935123920440674,2.0947372913360596,1.4933470487594604,2.0869483947753906
S2M2-L,CH256NTR3.pth,736 width,dataset_1_keyframe_1_frame_000007,179.4456031639129,1.7255457639694214,2.1832571029663086,64.47967922231557,33.946006995045174,16.8755464879044,1.479222059249878,1.1260452270507812,2.0548083782196045,55.446019853584104,24.138263582903285,2.2753184631474275,0.0,0.0,0.71199951171875,933232,1.7255457639694214,2.1832571029663086,64.47967922231557,33.946006995045174,2.075368182831279,1.479222059249878,1.1260452270507812,2.0548083782196045,55.446019853584104,24.138263582903285,2.2753184631474275,1.1260452270507812,1.9555368423461914,3.060133457183838,3.8800101280212402,6.885037899017334,0.0,933232,0.71199951171875,1.7255457639694214,2.1832571029663086,64.47967922231557,33.946006995045174,2.075368182831279,1.479222059249878,1.1260452270507812,2.0548083782196045,55.446019853584104,24.138263582903285,2.2753184631474275,1.1260452270507812,1.9555368423461914,3.060133457183838,3.8800101280212402,6.885037899017334,1.4775309562683105,2.056769847869873,1.479222059249878,2.0548083782196045
S2M2-L,CH256NTR3.pth,736 width,dataset_1_keyframe_1_frame_000008,179.2872219812125,1.7527732849121094,2.2009105682373047,65.71474848692628,34.8216975580259,17.29045076369055,1.5180782079696655,1.1661376953125,2.081066131591797,57.048035028803746,25.21555563954022,2.5131331018955936,0.0,0.0,0.7065544128417969,926095,1.7527732849121094,2.2009105682373047,65.71474848692628,34.8216975580259,2.098272855376608,1.5180782079696655,1.1661376953125,2.081066131591797,57.048035028803746,25.21555563954022,2.5131331018955936,1.1661376953125,2.010997772216797,3.121593475341797,3.9734458923339844,6.870858669281006,0.0,926095,0.7065544128417969,1.7527732849121094,2.2009105682373047,65.71474848692628,34.8216975580259,2.098272855376608,1.5180782079696655,1.1661376953125,2.081066131591797,57.048035028803746,25.21555563954022,2.5131331018955936,1.1661376953125,2.010997772216797,3.121593475341797,3.9734458923339844,6.870858669281006,1.5140254497528076,2.086496114730835,1.5180782079696655,2.081066131591797
S2M2-L,CH256NTR3.pth,736 width,dataset_1_keyframe_1_frame_000009,179.54511498101056,1.6820907592773438,2.1286184787750244,63.23791252543403,32.865915858336436,16.240077608392657,1.4725297689437866,1.1082916259765625,2.0305447578430176,54.72054351947108,24.12008877600571,2.4003850002009735,0.0,0.0,0.7023002624511718,920519,1.6820907592773438,2.1286184787750244,63.23791252543403,32.865915858336436,1.7223979081366056,1.4725297689437866,1.1082916259765625,2.0305447578430176,54.72054351947108,24.12008877600571,2.4003850002009735,1.1082916259765625,1.952199935913086,3.085745334625244,3.9517769813537598,6.811270236968994,0.0,920519,0.7023002624511718,1.6820907592773438,2.1286184787750244,63.23791252543403,32.865915858336436,1.7223979081366056,1.4725297689437866,1.1082916259765625,2.0305447578430176,54.72054351947108,24.12008877600571,2.4003850002009735,1.1082916259765625,1.952199935913086,3.085745334625244,3.9517769813537598,6.811270236968994,1.4670488834381104,2.0327298641204834,1.4725297689437866,2.0305447578430176
