configuration,split,coverage,sample_count,helpful_precision,mean_score
cs1,test,0.001,435,0.9287356321839081,7.648337364196777
cs1,test,0.002,869,0.8457997698504027,6.329192638397217
cs1,test,0.005,2171,0.7130354675264855,3.5549263954162598
cs1,test,0.01,4342,0.6416397973284201,2.062652826309204
cs1,test,0.02,8683,0.5677761142462283,1.1668566465377808
cs1,test,0.05,21706,0.49442550446881045,0.544677734375
cs1,test,0.1,43412,0.43699898645535795,0.300104022026062
cs1,test,0.2,86823,0.3700286790366608,0.1599413901567459
cs1,test,0.5,217057,0.16130785922591762,0.06427919119596481
cs1,test,1.0,434113,0.0992414417444306,0.02942245453596115
hard,test,0.001,1718,0.9522700814901047,6.881606101989746
hard,test,0.002,3435,0.8614264919941775,5.160197734832764
hard,test,0.005,8586,0.7750989983694386,2.67781662940979
hard,test,0.01,17171,0.6736940189854989,1.5582079887390137
hard,test,0.02,34342,0.5985964707937802,0.9062976241111755
hard,test,0.05,85854,0.5305635148042025,0.4505307972431183
hard,test,0.1,171708,0.4757145852260815,0.2682025730609894
hard,test,0.2,343416,0.406224520697929,0.1574377715587616
hard,test,0.5,858539,0.22173250137733988,0.0666467696428299
hard,test,1.0,1717078,0.15907547589567858,0.023354528471827507
soft,test,0.001,1718,0.9557625145518044,6.0156965255737305
soft,test,0.002,3435,0.8826783114992722,3.9204609394073486
soft,test,0.005,8586,0.7917540181691125,2.010511636734009
soft,test,0.01,17171,0.6729369285423097,1.2290979623794556
soft,test,0.02,34342,0.5995282744161667,0.7750036716461182
soft,test,0.05,85854,0.5400447270948354,0.4451259970664978
soft,test,0.1,171708,0.50067556549491,0.300852507352829
soft,test,0.2,343416,0.4576024413539264,0.20595218241214752
soft,test,0.5,858540,0.3068826146714189,0.10873518139123917
soft,test,1.0,1717080,0.15914983576769864,0.051110271364450455
