configuration,sequence,valid_count,raw_epe,output_epe,gain,fixed_h4_epe_common_support,gain_over_fixed_h4,coverage,exact_raw_fallback_frequency,intervention_precision,harmful_update_rate,clean_degradation,degraded_frame_fraction,worst_frame_degradation,p95_frame_degradation,strict_intersection_coverage,strict_raw_epe,strict_output_epe,raw_tepe,output_tepe,raw_teper,output_teper,distant_helpful_fraction,distant_harmful_fraction,selected_age_1_fraction,selected_age_2_fraction,selected_age_4_fraction,selected_age_8_fraction,accepted_age_1_epe,accepted_age_2_epe,accepted_age_4_epe,accepted_age_8_epe
cs1,dataset_7_keyframe_1,8780916,0.15881384217916444,0.15816651515695596,0.0006473270222084995,0.1556244239093603,-0.002542091247595656,0.08625706019736437,0.9137429398026357,0.3747412254296186,0.3400733546690326,0.028475440705247473,0.43401147626499736,0.047267988324165344,0.010663339495658869,0.9947570390150641,0.1586159142870971,0.15796517520635633,0.047588397806738944,0.03757461276407805,6.73884666592152,5.09902750882948,0.0,0.0,1.0,0.0,0.0,0.0,0.33208613241159657,0.0,0.0,0.0
cs1,dataset_7_keyframe_2,586587,0.2186893672102348,0.21706787430646482,0.0016214929037699874,0.20634073542159986,-0.010727138884864946,0.1724893323582009,0.8275106676417991,0.3793635105752125,0.3939513737892864,0.051088726702454915,0.2021505376344086,nan,nan,0.9965324836724987,0.21794258550978268,0.21631545011841904,0.08701457680064614,0.04914863143570747,10.8324977641007,5.282215364380548,0.0,0.0,1.0,0.0,0.0,0.0,0.5925715019024745,0.0,0.0,0.0
cs1,dataset_7_keyframe_3,7885995,1.2343028586595604,1.1882938728151338,0.04600898584442657,1.1552709101816436,-0.03302296263349021,0.1790824112873518,0.8209175887126482,0.43429919638475817,0.38814495805608523,0.04462502062577987,0.4444444444444444,0.4422340393066406,0.07187804281711574,0.9926125999319046,1.2338435410914685,1.1874921410239623,0.17809966896219767,0.10290178763218875,10.870440586999692,5.72094607693648,0.0,0.0,1.0,0.0,0.0,0.0,2.8606011487670586,0.0,0.0,0.0
cs1,dataset_7_keyframe_4,10746108,0.38015573580220857,0.37409517166113365,0.0060605641410749434,0.361529937238064,-0.012565234423069673,0.1469022086880199,0.8530977913119802,0.4354492859934614,0.3298030503722539,0.05877663657231404,0.37033653114055126,nan,nan,0.9854903747477691,0.37549401907636465,0.36934422402846,0.07475432020787359,0.053965566065463634,8.520865772045315,5.75626228302141,0.0,0.0,1.0,0.0,0.0,0.0,0.6228468449110994,0.0,0.0,0.0
hard,dataset_7_keyframe_1,8780916,0.15881384217916444,0.15540221775410448,0.0034116244250599823,0.15562483873830582,0.00022262098420134928,0.025509183779915443,0.9744908162200846,0.5512201219675527,0.3240711804780485,0.006610378342085877,0.2775169535732916,0.037205055356025696,0.005960223078727707,0.9833049308295398,0.15800657963807913,0.15456652435519516,0.0475899572040617,0.04876902215386032,6.738226469742141,6.7959838287267225,0.3155709527933784,0.16832593730189202,0.2330196344544943,0.21584506727858782,0.21763975820780915,0.33349554005910875,0.5952747808698151,0.5938880777126251,0.6008509615384615,0.8458720536706336
hard,dataset_7_keyframe_2,586587,0.2186893672102348,0.1962813726906665,0.02240799451956828,0.20633913719320407,0.01005776450253756,0.04831337891906912,0.9516866210809308,0.5238884968242766,0.41397318278052225,0.01315921748396566,0.15268817204301074,nan,nan,0.9841353456520516,0.215930464864598,0.19287477902875722,0.08700228083551856,0.08774191197079391,10.829745661636638,10.139811769298303,0.33334509527170075,0.10839802399435428,0.36436132674664784,0.1696541990119972,0.14615384615384616,0.31983062808750884,0.43492647503873716,0.45526336314475874,0.5397151134717528,2.4890668958241395
hard,dataset_7_keyframe_3,7885995,1.2343028586595604,1.1328613370720815,0.10144152158747881,1.1552700940468177,0.022408756974736148,0.04806292674545191,0.9519370732545481,0.6978660981890329,0.25975136139136307,0.004501902245127373,0.265625,0.4896078109741211,0.03964459300041197,0.9702624716348413,1.2293469615293633,1.128604687827755,0.17810730511205444,0.18441458843468805,10.861303551142054,11.258908319531722,0.3983388914686141,0.12153056270843007,0.2541131959981426,0.20974133564101483,0.23564998522521002,0.30049548313563257,2.7449731593599127,2.8839623075399072,2.865274414095301,2.524053164372887
hard,dataset_7_keyframe_4,10746108,0.38015573580220857,0.37074447274597,0.009411263056238593,0.36153059815594435,-0.009213874590025626,0.1354365692211543,0.8645634307788457,0.4923155991139303,0.4086817789552953,0.06481778137376897,0.2617633622658748,nan,nan,0.9424034264312251,0.3582439764724722,0.34728558519167596,0.07475393678089859,0.09880845961766728,8.520228422997993,11.859229591253904,0.2854572163560109,0.25472648369950585,0.17517809341109347,0.23155716303792181,0.2628677986225244,0.33039694492846033,0.5479965586108638,0.5505624266532052,0.5248525663289177,0.5298552640813949
soft,dataset_7_keyframe_1,8780916,0.15881384217916444,0.15394307108676053,0.004870771092403908,0.1556244239093603,0.0016813528225997525,0.07919356021626901,0.920806439783731,0.49559241406285953,0.30222953384565826,0.02291019233001925,0.2806468440271257,0.05452091246843338,0.01452566981315612,0.9833032225795122,0.15800651980463853,0.1530623678722328,0.047588397806738944,0.05092846994971754,6.73884666592152,7.008668481917634,0.30534719985274494,0.1703643412636326,0.17081588514104276,0.22835753071648796,0.30683269292715476,0.29399389121531455,0.41709660283482536,0.3831572947999819,0.3531187494143857,0.48966451734060257
soft,dataset_7_keyframe_2,586587,0.2186893672102348,0.19478271650408402,0.023906650706150768,0.20634073542159986,0.011558018917515832,0.06559299814008834,0.9344070018599117,0.4660307724295665,0.4293845514086703,0.019016694479629517,0.17849462365591398,nan,nan,0.9841404599829181,0.21593052011661504,0.19110690362495372,0.08701457680064614,0.0891904958161688,10.8324977641007,10.342202433807076,0.3071785008836677,0.13798211872336003,0.3021104064871608,0.21273001351491838,0.15700696538101674,0.32815261461690404,0.41310014748524077,0.43688901820849846,0.5518330933340849,2.0856512327796963
soft,dataset_7_keyframe_3,7885995,1.2343028586595604,1.125420739607298,0.10888211905226251,1.1552709101816436,0.029850170574345723,0.08973528387984014,0.9102647161201598,0.6225348052432551,0.2994621650189641,0.015642879046112952,0.23958333333333334,0.33081817626953125,0.0545190691947937,0.9702636128985626,1.229345209208489,1.1210281989964508,0.17809966896219767,0.188336091424496,10.870440586999692,11.624300454206395,0.33658775782446737,0.1463756196548586,0.28625793469106287,0.1969470869862588,0.19907242542944836,0.31772255289323,2.368629095907688,2.397346552973149,2.5338455751864704,2.2710101962783575
soft,dataset_7_keyframe_4,10746108,0.38015573580220857,0.3677607054133232,0.012395030388885377,0.361529937238064,-0.006230768175259239,0.26874976503120945,0.7312502349687906,0.4575746516464255,0.37379285557479985,0.12529099535310445,0.28658443733820615,nan,nan,0.9424039847729057,0.3582444214915561,0.3442255362147579,0.07475432020787359,0.10682431580545966,8.520865772045315,12.915743930215232,0.24714838639978892,0.20803673389394928,0.20843320011606592,0.2675790352816849,0.2689630313426458,0.2550247332596033,0.5505030519979841,0.4706966292670356,0.43531097338179475,0.49922808328124857
consensus,dataset_7_keyframe_1,8780916,0.15881384217916444,0.15730699394003997,0.001506848239124483,0.15562483873830582,-0.0016821552017341498,0.15099426984610717,0.8490057301538928,0.08571215234095701,0.054780717235803265,0.006955243751833385,0.35315597287428274,0.02735517919063568,0.009168273210525511,0.9833049308295398,0.15800657963807913,0.15650751052189357,0.0475899572040617,0.04442988251002763,6.738226469742141,6.117883443688812,0.05336579508669038,0.03470858335822269,0.15091698419450503,0.2233269073542766,0.4698356095780274,0.155920498873191,0.2388463693677035,0.22942141770403443,0.2102235311336164,0.2172379224259904
consensus,dataset_7_keyframe_2,586587,0.2186893672102348,0.2276148901132739,-0.008925522903039105,0.20633913719320407,-0.021275752920069828,0.5379798734032633,0.46202012659673675,0.08268794443106486,0.10308899395383621,0.049001079008920256,0.2032258064516129,nan,nan,0.9841353456520516,0.215930464864598,0.22491464836881866,0.08700228083551856,0.07894917525320184,10.829745661636638,9.046564401952397,0.06105738151673786,0.07789030712483998,0.06772147085292739,0.10828590622742196,0.7480701709910892,0.07592245192856147,0.27783443027350146,0.229127819834221,0.11799141938831703,0.2497009050617722
consensus,dataset_7_keyframe_3,7885995,1.2343028586595604,1.2189878363379478,0.015315022321612555,1.1552700940468177,-0.06371774229113011,0.2802291911166568,0.7197708088833432,0.20088954814863752,0.09504879437219839,0.019218014223609695,0.28703703703703703,0.12102103233337402,0.022806978225708003,0.9702624716348413,1.2293469615293633,1.2142509208384058,0.17810730511205444,0.16351602284237918,10.861303551142054,9.355960710804462,0.08801132728113577,0.03271616725930659,0.20009041190360047,0.42873252285412006,0.2877053386464279,0.08347172659585154,1.1940342010948104,0.9607546304389414,0.7430940499930402,0.918370136812667
consensus,dataset_7_keyframe_4,10746108,0.38015573580220857,0.3740806777003591,0.006075058101849526,0.36153059815594435,-0.012550079544414694,0.32468480681563966,0.6753151931843604,0.14809357604744836,0.10766392918742895,0.03327704563637907,0.27577280341099436,nan,nan,0.9424034264312251,0.3582439764724722,0.3518547994585777,0.07475393678089859,0.07092649918610439,8.520228422997993,7.708410635455762,0.07909408104902757,0.06164143282877122,0.126094767186247,0.419371998149665,0.3688815848680662,0.08565164979602179,0.5514174050319122,0.3562773768264388,0.32595780372032784,0.4523145087097244
