configuration,probability_threshold,utility_threshold_px,sample_coverage,precision,harmful_fraction,harm_cost_fraction,sample_net_utility,raw_deviation,mad_max,fb_min,gain,coverage
cs1,0.3,-0.05,0.2379986444675065,0.19424252269081604,0.21292310503766573,0.9155056204507196,0.001050715334713459,,,,,
cs1,0.3,0.0,0.14724803949166324,0.2821381686905153,0.2126764030193633,0.6558304397747085,0.003954912535846233,,,,,
cs1,0.3,0.01,0.11028622032356392,0.3457047082794733,0.20938588611616238,0.5369563876822246,0.005031996872276068,,,,,
cs1,0.3,0.02,0.08438370993054406,0.3733928929358875,0.21651919938149644,0.4961789999633235,0.004854027647525072,,,,,
cs1,0.3,0.05,0.037211904039897596,0.3601506444595955,0.283562222005779,0.5083314523970042,0.0031328382901847363,,,,,
cs1,0.3,0.1,0.01587616087102024,0.34000456586256755,0.3465489688760368,0.44294958372082355,0.0026390221901237965,,,,,
cs1,0.4,-0.05,0.22459554510649146,0.20583425675893752,0.22562963281729084,0.9154336070232638,0.0010514813475310802,,,,,
cs1,0.4,0.0,0.1408859770042732,0.294878831015144,0.22228034369801225,0.6557768513981469,0.0039551276713609695,,,,,
cs1,0.4,0.01,0.1074495088308955,0.3548314556207695,0.2149137601475185,0.5368909578008412,0.005032219458371401,,,,,
cs1,0.4,0.02,0.0831042902240978,0.3791414075334002,0.21985258842513847,0.49610603546591264,0.004854223225265741,,,,,
cs1,0.4,0.05,0.03666461685668687,0.3655265585870568,0.2877949123500725,0.5082264745365779,0.003133045043796301,,,,,
cs1,0.4,0.1,0.015591039954380654,0.34622239442076713,0.35288647810926,0.442820280835461,0.002639147685840726,,,,,
cs1,0.5,-0.05,0.21228702011189787,0.21776295571212312,0.23870607919687675,0.9152767401729104,0.0010531364241614938,,,,,
cs1,0.5,0.0,0.13462177381454335,0.3085911208033815,0.23261448994426945,0.6556515498061029,0.003955591004341841,,,,,
cs1,0.5,0.01,0.10405826131815266,0.36638376426605984,0.22191777641035168,0.5367744858694256,0.005032248795032501,,,,,
cs1,0.5,0.02,0.08117730775782603,0.38812656268603407,0.22507143707584237,0.4959742383596108,0.00485421484336257,,,,,
cs1,0.5,0.05,0.03604846572327082,0.3717407332931162,0.2927139888732489,0.5080504559027259,0.003132993821054697,,,,,
cs1,0.5,0.1,0.015179064392626,0.3555396370582617,0.3624641833810888,0.44257181614598134,0.00263913138769567,,,,,
cs1,0.6,-0.05,0.19907601492777138,0.23219585019935793,0.25445596829693107,0.9145960245076126,0.0010609646560624242,,,,,
cs1,0.6,0.0,0.12768101251753314,0.3253377994776882,0.24513644449490934,0.6549903123925847,0.003961216192692518,,,,,
cs1,0.6,0.01,0.09990226151628753,0.38158929024924115,0.2310045833282945,0.5361628425625962,0.00503644160926342,,,,,
cs1,0.6,0.02,0.07872840903736654,0.40015345661014345,0.23188828358781555,0.49533999236058296,0.004857948515564203,,,,,
cs1,0.6,0.05,0.03534653668696744,0.37902040537307313,0.29815086987729433,0.5072881190034992,0.0031358322594314814,,,,,
cs1,0.6,0.1,0.01468614348589316,0.36722606120434353,0.37372490950970716,0.4415142908888122,0.0026422671508044004,,,,,
cs1,0.7,-0.05,0.18288332151370212,0.2526160025367297,0.2765431772539901,0.9123298664044258,0.0010873611317947507,,,,,
cs1,0.7,0.0,0.1187903141041827,0.3494838545639461,0.2628731248410882,0.652636125871312,0.003982458263635635,,,,,
cs1,0.7,0.01,0.09413822807015425,0.4047099589322382,0.2443916837782341,0.5337102478957753,0.005056156776845455,,,,,
cs1,0.7,0.02,0.07506533014223427,0.41937456746012586,0.24233499106754863,0.4930484249889622,0.0048734997399151325,,,,,
cs1,0.7,0.05,0.034428350684229794,0.3884619433624592,0.30445310032635015,0.5048802443375882,0.00314634433016181,,,,,
cs1,0.7,0.1,0.014101403978886555,0.3809115832762166,0.3855380397532557,0.43863609137161735,0.0026509780436754227,,,,,
cs1,0.8,-0.05,0.155486342587279,0.2958764248362458,0.31439249722220064,0.8804603885841742,0.0014715116703882813,,,,,
cs1,0.8,0.0,0.1036813218012393,0.3986646313753365,0.2885608082126336,0.624630009508564,0.004273810423910618,,,,,
cs1,0.8,0.01,0.08451902155200014,0.44862631864833186,0.26300065753737956,0.5148438112833978,0.0052246712148189545,,,,,
cs1,0.8,0.02,0.06833478511427188,0.45808139740461795,0.2593614087196351,0.47967309144981357,0.004966720938682556,,,,,
cs1,0.8,0.05,0.03182722638963223,0.415122988156696,0.3177194047980565,0.4900712510675772,0.00321360700763762,,,,,
cs1,0.8,0.1,0.012983874962396658,0.40560156322694707,0.39890201916813994,0.424980248186676,0.00269669434055686,,,,,
cs1,0.9,-0.05,0.07594243940274417,0.4217852654353394,0.3473011024674271,0.5930979568048727,0.0037570144049823284,,,,,
cs1,0.9,0.0,0.05944891925883059,0.4815371796695592,0.32936370841546936,0.49616991888753165,0.004345381632447243,,,,,
cs1,0.9,0.01,0.050779310369823576,0.5046037448549879,0.3174799552711094,0.45616953686492434,0.0044198413379490376,,,,,
cs1,0.9,0.02,0.042550672390026086,0.5122089721749006,0.3170357751277683,0.4362644604010633,0.004216950852423906,,,,,
cs1,0.9,0.05,0.022331250098161334,0.49421120969487126,0.3484094351871889,0.3980056662998687,0.0034144215751439333,,,,,
cs1,0.9,0.1,0.009789554184451486,0.46883870171541403,0.3892385536221153,0.31881311228533826,0.0030397975351661444,,,,,
hard,0.3,-0.05,0.5236173145717327,0.24831567483756645,0.42579509376845837,1.7426595753570218,-0.022859390825033188,,,,,
hard,0.3,0.0,0.5117473442073941,0.25044206212241754,0.4197217546502102,1.6996417267795232,-0.021255124360322952,,,,,
hard,0.3,0.01,0.4693368159967332,0.2499877728268452,0.42982246144579245,1.735274484089856,-0.020748408511281013,,,,,
hard,0.3,0.02,0.4164758813075452,0.2532743491188629,0.4395706722750018,1.7440395322404583,-0.019266605377197266,,,,,
hard,0.3,0.05,0.25142228219963536,0.27593978097805455,0.4676584641554585,1.6846266589855416,-0.013104203157126904,,,,,
hard,0.3,0.1,0.08338941114073738,0.33483041884589193,0.48875012676933777,1.5193713914914595,-0.006083289161324501,,,,,
hard,0.4,-0.05,0.5059688130875333,0.25657831900668576,0.43779369627507164,1.7413730151729108,-0.022389480844140053,,,,,
hard,0.4,0.0,0.4956476775330758,0.25830394118808453,0.43300662755297287,1.7086741674495638,-0.021140463650226593,,,,,
hard,0.4,0.01,0.45781478980185303,0.25610251700787984,0.44036554406742984,1.7381410185592707,-0.020574605092406273,,,,,
hard,0.4,0.02,0.40936356420476033,0.25753014714996547,0.4469687579315189,1.7435299412685505,-0.019108688458800316,,,,,
hard,0.4,0.05,0.25077834385824177,0.2764893483769644,0.46865696089105574,1.6845288797281466,-0.013086278922855854,,,,,
hard,0.4,0.1,0.08317073789534854,0.33533308154905433,0.489657476540484,1.5191278947246363,-0.006074331700801849,,,,,
hard,0.5,-0.05,0.4871677465420028,0.2655776489318963,0.4513091524112311,1.7399540092248038,-0.02188366837799549,,,,,
hard,0.5,0.0,0.4784051109132447,0.2668560677803452,0.44781241713701275,1.716675180763463,-0.02095147967338562,,,,,
hard,0.5,0.01,0.4439284346499235,0.2636155319936426,0.4534464740589145,1.7411915673536194,-0.02033497393131256,,,,,
hard,0.5,0.02,0.3990243065581435,0.26383674458035605,0.4579296354608211,1.7433628902441938,-0.018876470625400543,,,,,
hard,0.5,0.05,0.24856140791742126,0.2786637438696601,0.472331449068966,1.6835381437485033,-0.01301877386868,,,,,
hard,0.5,0.1,0.08283366698118565,0.33620174146405496,0.49093534413605006,1.5183963432869425,-0.006057701073586941,,,,,
hard,0.6,-0.05,0.46400892090190027,0.2766924693219187,0.4676347218859111,1.7337750415095448,-0.02111988328397274,,,,,
hard,0.6,0.0,0.4574765107482129,0.27719179637777225,0.4659749327896647,1.7231243431320953,-0.020597809925675392,,,,,
hard,0.6,0.01,0.4261434134047908,0.2733048504934411,0.4703297451003184,1.743412978195587,-0.019951507449150085,,,,,
hard,0.6,0.02,0.38475617933139145,0.2726410650924734,0.47305240682010863,1.7427350203284946,-0.018518248572945595,,,,,
hard,0.6,0.05,0.24344372909163617,0.28373771110107543,0.480633042684228,1.6797479134559699,-0.012831645086407661,,,,,
hard,0.6,0.1,0.08220301817404216,0.3372819329521906,0.49309974868094236,1.5174947251193778,-0.00602406170219183,,,,,
hard,0.7,-0.05,0.43220948172024565,0.2913726981003388,0.4897777206301642,1.7179087708709146,-0.019848370924592018,,,,,
hard,0.7,0.0,0.42807643656844896,0.29108140220756534,0.4897820374964369,1.7179523859445631,-0.0196825060993433,,,,,
hard,0.7,0.01,0.400460784396637,0.28704041705257505,0.49337645451007484,1.7348813058403618,-0.01906903088092804,,,,,
hard,0.7,0.02,0.36328391640158075,0.2859057456509377,0.49486360023545295,1.7320482625659481,-0.017724093049764633,,,,,
hard,0.7,0.05,0.23355752374900177,0.29392716739085456,0.4957531553900269,1.6652546924396614,-0.012334157712757587,,,,,
hard,0.7,0.1,0.08069767638534334,0.3411782319035856,0.497252788382364,1.5084144640509494,-0.005871173460036516,,,,,
hard,0.8,-0.05,0.36307853269044205,0.3150266032669278,0.5169618703144809,1.5997019581123633,-0.01487054955214262,,,,,
hard,0.8,0.0,0.3611563827820794,0.31423448497337225,0.5177663446356411,1.604008042346353,-0.014891956932842731,,,,,
hard,0.8,0.01,0.34106139885637515,0.3108539406240812,0.5208942164978764,1.6154812535966803,-0.014501260593533516,,,,,
hard,0.8,0.02,0.31207088395941135,0.31036712129365446,0.5217280213079785,1.6088657621455287,-0.013508080504834652,,,,,
hard,0.8,0.05,0.20523390184350002,0.31941533824672114,0.5163118980903718,1.5339919638979564,-0.009301796555519104,,,,,
hard,0.8,0.1,0.07394296856783522,0.35930658126919807,0.49968956277367493,1.4093638395409163,-0.0045623453333973885,,,,,
hard,0.9,-0.05,0.11251523765915727,0.3632625012079759,0.5144796039986685,1.132064477810923,-0.0015782478731125593,,,,,
hard,0.9,0.0,0.11220232953454011,0.3627142734085623,0.5150529761392023,1.1336822931183013,-0.0015935477567836642,,,,,
hard,0.9,0.01,0.10931970874173481,0.3637468779700727,0.515173618018257,1.128520874985629,-0.001514112576842308,,,,,
hard,0.9,0.02,0.10466716361470499,0.3664916027009869,0.5139377849598892,1.1158969422622098,-0.0013415421126410365,,,,,
hard,0.9,0.05,0.081383899608442,0.38161898965307367,0.5040304024464468,1.0525161595459562,-0.0005502154817804694,,,,,
hard,0.9,0.1,0.03775194238624461,0.41321044546851,0.4755184331797235,0.9382325839148897,0.0004976047785021365,,,,,
soft,0.3,-0.05,0.6818932512120659,0.10911278206145822,0.16224380598707336,1.3682821815178456,-0.010134540498256683,,,,,
soft,0.3,0.0,0.6741974027417518,0.11028481523028567,0.1638700035480946,1.3663868715769552,-0.010071690194308758,,,,,
soft,0.3,0.01,0.6413746694228355,0.11573845591642525,0.17157237632751782,1.3656172033037128,-0.00998573750257492,,,,,
soft,0.3,0.02,0.5844543860899654,0.1263487981743164,0.18680803036191201,1.367502663866229,-0.009893764741718769,,,,,
soft,0.3,0.05,0.3726047124688451,0.1856834364421618,0.2724310338119139,1.3587031798997389,-0.008792273700237274,,,,,
soft,0.3,0.1,0.16270135154563323,0.2975102286312569,0.4034127614705467,1.2590741232466083,-0.004779495298862457,,,,,
soft,0.4,-0.05,0.6632709893091737,0.11217445473786981,0.16679720656755348,1.3683731504496761,-0.010134991258382797,,,,,
soft,0.4,0.0,0.6556258826969056,0.1134069441322046,0.16851000785001677,1.3664578222474597,-0.010071791708469391,,,,,
soft,0.4,0.01,0.6258742399292514,0.11860290938291432,0.17581961517079497,1.365684657607684,-0.009985847398638725,,,,,
soft,0.4,0.02,0.5758500167327317,0.12823460794474678,0.18959722391228637,1.3675613682272465,-0.00989389419555664,,,,,
soft,0.4,0.05,0.3721081671436804,0.1859279677663384,0.2727913221060971,1.358736625678428,-0.008792413398623466,,,,,
soft,0.4,0.1,0.16262886317699607,0.2976428375095646,0.4035925741581297,1.2590790793325908,-0.004779487382620573,,,,,
soft,0.5,-0.05,0.6421684170594126,0.1158512609705852,0.17226523182857198,1.368505938545561,-0.010133695788681507,,,,,
soft,0.5,0.0,0.6346030476526454,0.11715431784995611,0.17408471404393525,1.3666264645975128,-0.010071625001728535,,,,,
soft,0.5,0.01,0.6069342373438329,0.1222940814656897,0.1812982835394559,1.365881124723529,-0.009986551478505135,,,,,
soft,0.5,0.02,0.5620965569233037,0.13136152414359345,0.19422771881407735,1.367743159871374,-0.009894602932035923,,,,,
soft,0.5,0.05,0.3705532916364128,0.18669183669477102,0.27392293798131157,1.3588788551380269,-0.008793509565293789,,,,,
soft,0.5,0.1,0.16243314458167565,0.2979717216193501,0.4040639945258053,1.2591803266734445,-0.004780550487339497,,,,,
soft,0.6,-0.05,0.6149599078914463,0.1209121949494513,0.1798260951565183,1.3689784353615937,-0.01013251580297947,,,,,
soft,0.6,0.0,0.6076494559143863,0.12228931352803288,0.18175492034205298,1.3671182300223361,-0.010071681812405586,,,,,
soft,0.6,0.01,0.5820562292275518,0.12746300689735335,0.1889953692460651,1.3663148489833254,-0.009985902346670628,,,,,
soft,0.6,0.02,0.5418819671893481,0.1362039212888439,0.20141976161917036,1.3681519039088228,-0.00989417266100645,,,,,
soft,0.6,0.05,0.3661774104496816,0.18884695076082508,0.2771369749119079,1.3591880316756428,-0.008794188499450684,,,,,
soft,0.6,0.1,0.16198371669612513,0.2986642004221455,0.4051030378066335,1.259367289466333,-0.004781660623848438,,,,,
soft,0.7,-0.05,0.5712965390428394,0.12966695074576048,0.19309624360029015,1.370858930851356,-0.010120000690221786,,,,,
soft,0.7,0.0,0.5660145532481434,0.13083856811404884,0.1946826154053033,1.3690705781275552,-0.010065441951155663,,,,,
soft,0.7,0.01,0.5437159229158688,0.1360355876314316,0.20190692465625584,1.368240992770471,-0.009982634335756302,,,,,
soft,0.7,0.02,0.5091317222390691,0.14459277961548866,0.21395146861311098,1.369632757145,-0.009884766303002834,,,,,
soft,0.7,0.05,0.3552715353882175,0.19429717919507591,0.28517504633329366,1.3599140283651476,-0.008783558383584023,,,,,
soft,0.7,0.1,0.16073329233713374,0.3004915740893853,0.407638189443935,1.2592277331115411,-0.004771578591316938,,,,,
soft,0.8,-0.05,0.4324958107763625,0.16315208737796277,0.24299621492520637,1.3843864979633378,-0.009724543429911137,,,,,
soft,0.8,0.0,0.4321152468410173,0.16328459194229317,0.24307881566807393,1.383739052485572,-0.009707264602184296,,,,,
soft,0.8,0.01,0.42881219351011635,0.1645000788874614,0.24444406878986635,1.3816622661121205,-0.009647699072957039,,,,,
soft,0.8,0.02,0.41842823470283996,0.16840628167037688,0.24930920682217814,1.3779806741516192,-0.009520424529910088,,,,,
soft,0.8,0.05,0.3206752533166449,0.21003356829886713,0.3063380414348093,1.362562236908015,-0.008527605794370174,,,,,
soft,0.8,0.1,0.155469428634597,0.3067101837821036,0.4130862182849594,1.2574097329459344,-0.004658285062760115,,,,,
soft,0.9,-0.05,0.09286605720057169,0.33033681553852756,0.43877086395982673,1.2049133549577167,-0.0025540457572788,,,,,
