configuration,gain,selection_oracle_recovery,convex_oracle_recovery
cs1,0.015521267691753377,0.11124440865671123,0.1001473314101391
hard,0.03372201762522123,0.24169326783933262,0.21758339215590683
soft,0.03745178928564877,0.26842537832340546,0.24164886708869474
consensus,0.006930573667045529,0.04967297675381817,0.04471789751199016
