configuration,backbone,valid_count,raw_epe,output_epe,gain,fixed_h4_epe_common_support,gain_over_fixed_h4,coverage,exact_raw_fallback_frequency,intervention_precision,harmful_update_rate,clean_degradation,degraded_frame_fraction,worst_frame_degradation,p95_frame_degradation,strict_intersection_coverage,strict_raw_epe,strict_output_epe,raw_tepe,output_tepe,raw_teper,output_teper,distant_helpful_fraction,distant_harmful_fraction,selected_age_1_fraction,selected_age_2_fraction,selected_age_4_fraction,selected_age_8_fraction,accepted_age_1_epe,accepted_age_2_epe,accepted_age_4_epe,accepted_age_8_epe
cs1,S2M2-S,9333202,0.5845209698832459,0.5783211301215032,0.0061998397617425965,0.5652564396136336,-0.013064690507869724,0.13380509711458083,0.8661949028854192,0.4209347949680901,0.3601771257897392,0.041519559252036826,0.36779324055666,nan,nan,0.9906337610607806,0.582510481465338,0.5762520244001582,0.08719392395504204,0.060512450848737916,9.064506888160283,5.780157283130314,0.0,0.0,1.0,0.0,0.0,0.0,1.525836136112705,0.0,0.0,0.0
cs1,RAFT-Stereo,9333202,0.5293643709274427,0.5096313886017021,0.019732982325740542,0.4933307958010272,-0.01630059280067499,0.15239743016383872,0.8476025698361613,0.4157137875468589,0.35678339318707836,0.04770068506347127,0.3595924453280318,nan,nan,0.9906337610607806,0.5276351433382888,0.5077155911189086,0.13566482531169588,0.07819134292773955,10.223125644357332,5.680254700798978,0.0,0.0,1.0,0.0,0.0,0.0,1.274231090743556,0.0,0.0,0.0
cs1,StereoAnywhere,9333202,0.5298926587741538,0.5092616777863769,0.020630980987776992,0.49319126021809023,-0.016070417568286616,0.12624606217673207,0.8737539378232679,0.42943782462572566,0.34707794412194043,0.0356110976557643,0.36804174950298213,nan,nan,0.9906337610607806,0.5281841794159446,0.5073581363203831,0.10908084928359822,0.0717509115823097,8.02579687341657,5.341614401105042,0.0,0.0,1.0,0.0,0.0,0.0,1.3720595697470845,0.0,0.0,0.0
hard,S2M2-S,9333202,0.5845209698832459,0.5661669225530799,0.018354047330166004,0.5652564373640204,-0.0009104851890594461,0.07306206380189778,0.9269379361981023,0.5242813127380287,0.391806459276466,0.023843885533369455,0.23856858846918488,nan,nan,0.9639511713129106,0.5727444352202812,0.5542952251422486,0.08719396513162372,0.10174920778073027,9.063684853541167,10.53636864999993,0.30181272116415386,0.2382010344579801,0.18670104105715915,0.22883459964247113,0.25390414765736474,0.3305602116430049,1.0101997823260964,0.8276516228699782,0.789127635000693,0.8250997141320261
hard,RAFT-Stereo,9333202,0.5293643709274427,0.47989237191185835,0.04947199901558436,0.49333112045159155,0.013438748539733219,0.08074013612905839,0.9192598638709416,0.5448628119177668,0.3602666794061287,0.022553495791847736,0.26665009940357853,nan,nan,0.9639511713129106,0.5195584464498628,0.46936582821676404,0.1356699192276153,0.15073502032922134,10.217426763176332,11.626386049725523,0.3089558418395783,0.20295688222898123,0.21717996082615412,0.22385756219776953,0.24596849106379817,0.31299398591227817,1.0737173501762811,0.9492929426066002,0.9901749550182625,1.0036293555844331
hard,StereoAnywhere,9333202,0.5298926587741538,0.4965526522442405,0.03334000652991331,0.4931912990369958,-0.003361353207244684,0.06978387481595277,0.9302161251840473,0.5393017424962422,0.3668285462923015,0.019676234891462495,0.23881709741550697,nan,nan,0.9639511713129106,0.5219752881137313,0.48782249454553095,0.10908480469147687,0.11533692442286073,8.020121812424062,9.459806422989136,0.31927647023600236,0.2183317544568076,0.18857773676622544,0.2225233261733714,0.2553327386317052,0.333566198428698,1.1017977553390272,1.0793293716061436,1.0107273893190019,0.945029906670303
soft,S2M2-S,9333202,0.5845209698832459,0.5636106272838587,0.020910342599387174,0.5652564396136336,0.0016458123297748547,0.1499596815755193,0.8500403184244807,0.48754504845656343,0.3607577571941778,0.05181478947618108,0.24478131212723658,nan,nan,0.9639512784572755,0.5727444640403281,0.551701886546431,0.08719392395504204,0.1064150781231754,9.064506888160283,11.145176744690954,0.27312868497089177,0.21145695496726216,0.20021234577780572,0.24682553065009816,0.2652493133772124,0.2877128101948837,0.8937770013906744,0.6630251464395206,0.6418915259371984,0.7861112297523257
soft,RAFT-Stereo,9333202,0.5293643709274427,0.4780132088333646,0.05135116209407809,0.4933307958010272,0.015317586967662554,0.16645637799331892,0.8335436220066811,0.4859462489966664,0.3526797294748679,0.050226654478177785,0.27485089463220674,nan,nan,0.9639512784572755,0.519558539796501,0.4674282630810892,0.13566482531169588,0.15525238595418583,10.223125644357332,12.18331565242361,0.25975317510432416,0.17888979647534614,0.23726949074100895,0.2525858168052828,0.25677616278882653,0.25336852966488177,0.9473869835992624,0.6844070700566729,0.661797099504095,0.8681231972262844
soft,StereoAnywhere,9333202,0.5298926587741538,0.4897987956106728,0.04009386316348104,0.49319126021809023,0.003392464607417429,0.14746911081534506,0.8525308891846549,0.49933193302038203,0.3380600555523668,0.04372201999916322,0.26714711729622265,nan,nan,0.9639512784572755,0.5219752205434806,0.4809092649330223,0.10908084928359822,0.12144095844242736,8.02579687341657,10.081057652389134,0.2835691850745336,0.1847635682260224,0.20787018503166688,0.24794185238008398,0.2665649005818976,0.27762306200635156,0.9292708351231893,0.7755574068630227,0.7399098163560329,0.9067222997632964
consensus,S2M2-S,9333202,0.5845209698832459,0.5800540145881874,0.004466955295058438,0.5652564373640204,-0.014797577224167012,0.26104160179968244,0.7389583982003176,0.14777737553738085,0.10235745708546459,0.01951680520148514,0.31610337972166996,nan,nan,0.9639511713129106,0.5727444352202812,0.5682925998090866,0.08719396513162372,0.08044504536839577,9.063684853541167,7.941419165170674,0.0726877128693121,0.05480320183355949,0.1472331196533837,0.3800010179144738,0.37808421928833,0.09468164314381243,0.7984337234675729,0.575826586645903,0.39576279669870823,0.5407255239852738
