configuration,age,selection_fraction,accepted_candidate_epe
cs1,1,1.0,1.385800141892113
cs1,2,0.0,0.0
cs1,4,0.0,0.0
cs1,8,0.0,0.0
hard,1,0.19829315488883797,1.06250967610919
hard,2,0.22506749652813385,0.9490055744520031
hard,4,0.2514843485686519,0.9303586451558811
hard,8,0.32515500001437625,0.9255580521627795
soft,1,0.21594402538471807,0.9257752765664629
soft,2,0.24924737858624046,0.7063870389375628
soft,4,0.26262710952264146,0.6805023593467072
soft,8,0.2721814865064,0.8526144158514352
consensus,1,0.15034567485474953,0.7469223124458024
consensus,2,0.3734054054643165,0.5499342992211835
consensus,4,0.37897947039571556,0.37772996587052954
consensus,8,0.0972694492852184,0.4978582942255521
