phase,threshold,coverage,epe,gain,harmful_selected_fraction
test,0.0,0.4246527850627899,0.1513867974281311,0.0038564205169677734,0.0034523485228419304
test,0.01,0.33765432238578796,0.15138636529445648,0.003856852650642395,0.004341864492744207
test,0.05,0.3203318119049072,0.15138927102088928,0.0038539469242095947,0.004576658830046654
test,0.1,0.30790895223617554,0.15139617025852203,0.0038470476865768433,0.004761307965964079
test,0.2,0.2849923074245453,0.1514548361301422,0.003788381814956665,0.005144172348082066
test,0.4,0.21134260296821594,0.15135546028614044,0.003887757658958435,0.006936838384717703
test,0.6,0.06489197909832001,0.150262713432312,0.004980504512786865,0.01605231873691082
test,0.8,0.04332561790943146,0.15011391043663025,0.005129307508468628,0.014247551560401917
test,0.0,0.4114583432674408,0.14858435094356537,0.0044482797384262085,0.02831692434847355
test,0.01,0.33290895819664,0.14858397841453552,0.004448652267456055,0.03499826043844223
test,0.05,0.3140046298503876,0.1485745906829834,0.004458039999008179,0.037105295807123184
test,0.1,0.3003086447715759,0.14855235815048218,0.004480272531509399,0.0387975350022316
test,0.2,0.2790123522281647,0.14848142862319946,0.004551202058792114,0.04175885021686554
test,0.4,0.21724538505077362,0.14800909161567688,0.005023539066314697,0.05363168194890022
test,0.6,0.07704475522041321,0.1481260508298874,0.004906579852104187,0.14822232723236084
test,0.8,0.05790895223617554,0.14769406616687775,0.005338564515113831,0.19120585918426514
test,0.0,0.3983410596847534,0.16086091101169586,0.008354410529136658,0.0365133173763752
test,0.01,0.32723766565322876,0.1608690768480301,0.00834624469280243,0.04444706439971924
test,0.05,0.3099537193775177,0.16090840101242065,0.008306920528411865,0.04692556709051132
test,0.1,0.2982253134250641,0.1609524041414261,0.008262917399406433,0.048771023750305176
test,0.2,0.27893519401550293,0.16106867790222168,0.00814664363861084,0.052143845707178116
test,0.4,0.21523921191692352,0.16122277081012726,0.007992550730705261,0.06739559024572372
test,0.6,0.08815586566925049,0.1610499918460846,0.008165329694747925,0.16105033457279205
test,0.8,0.0667824074625969,0.16074460744857788,0.008470714092254639,0.20797227323055267
test,0.0,0.38896605372428894,0.16282685101032257,0.0034102648496627808,0.05078357458114624
test,0.01,0.32326391339302063,0.16282808780670166,0.0034090280532836914,0.061105143278837204
test,0.05,0.30617284774780273,0.16284319758415222,0.00339391827583313,0.06451612710952759
test,0.1,0.29143521189689636,0.16285422444343567,0.0033828914165496826,0.06777866184711456
test,0.2,0.27060186862945557,0.1628030240535736,0.003434091806411743,0.07299686223268509
test,0.4,0.21334877610206604,0.1628396213054657,0.0033974945545196533,0.09258589148521423
test,0.6,0.08614969253540039,0.16306211054325104,0.003175005316734314,0.22794446349143982
test,0.8,0.06558642536401749,0.1626977175474167,0.0035393983125686646,0.2935294210910797
test,0.0,0.3755015730857849,0.15813104808330536,-0.0035966485738754272,0.005239905323833227
test,0.01,0.2958333492279053,0.15812967717647552,-0.0035952776670455933,0.006651017349213362
test,0.05,0.2782021760940552,0.1581236571073532,-0.003589257597923279,0.007072527892887592
test,0.1,0.26685959100723267,0.15809524059295654,-0.0035608410835266113,0.0073731387965381145
test,0.2,0.2471836507320404,0.1579974740743637,-0.003463074564933777,0.007960043847560883
test,0.4,0.18746142089366913,0.15723107755184174,-0.002696678042411804,0.01049598678946495
test,0.6,0.033217594027519226,0.15320178866386414,0.001332610845565796,0.056910570710897446
test,0.8,0.023495370522141457,0.15236037969589233,0.0021740198135375977,0.052545156329870224
test,0.0,0.36199846863746643,0.1617206484079361,0.002772793173789978,0.01971650868654251
test,0.01,0.2940200865268707,0.16172213852405548,0.0027713030576705933,0.024275029078125954
test,0.05,0.2776620388031006,0.16173774003982544,0.0027557015419006348,0.025705154985189438
test,0.1,0.26527780294418335,0.16176196932792664,0.0027314722537994385,0.026905177161097527
test,0.2,0.24618056416511536,0.16177062690258026,0.002722814679145813,0.028992321342229843
test,0.4,0.19228395819664001,0.16157202422618866,0.0029214173555374146,0.03691813722252846
test,0.6,0.06265432387590408,0.15987426042556763,0.004619181156158447,0.11145320534706116
test,0.8,0.0454089529812336,0.1594560146331787,0.005037426948547363,0.14443500339984894
test,0.0,0.3417052626609802,0.1605939418077469,-0.0034653842449188232,0.06559783220291138
test,0.01,0.2725308835506439,0.16059361398220062,-0.0034650564193725586,0.0822480171918869
test,0.05,0.25794753432273865,0.16058818995952606,-0.003459632396697998,0.08689799904823303
test,0.1,0.24791668355464935,0.16058288514614105,-0.0034543275833129883,0.09041394293308258
test,0.2,0.231018528342247,0.1605471968650818,-0.003418639302253723,0.09702739119529724
test,0.4,0.18298612534999847,0.15980346500873566,-0.0026749074459075928,0.12249630689620972
test,0.6,0.0679783970117569,0.15771843492984772,-0.0005898773670196533,0.3110102117061615
test,0.8,0.05478395149111748,0.1576804667711258,-0.0005519092082977295,0.37112677097320557
test,0.0,0.32268521189689636,0.1818603277206421,-0.0032860487699508667,0.08548541367053986
test,0.01,0.27932101488113403,0.18186423182487488,-0.003289952874183655,0.09875690937042236
