phase,sequence,backbone,frame_id,valid_count,raw_warped_disparity_difference,fused_warped_disparity_difference,raw_tepe,fused_tepe
test,dataset_7_keyframe_1,S2M2-S,['000002'],7310,0.04058808460831642,0.026001794263720512,0.043510209769010544,0.035562846809625626
test,dataset_7_keyframe_1,S2M2-S,['000002'],6998,0.05135213956236839,0.03031148947775364,0.048613641411066055,0.034136395901441574
test,dataset_7_keyframe_1,S2M2-S,['000002'],6650,0.046355705708265305,0.03245298191905022,0.04707067832350731,0.03639162331819534
test,dataset_7_keyframe_1,S2M2-S,['000002'],6328,0.042762499302625656,0.029093245044350624,0.04441528022289276,0.033188581466674805
test,dataset_7_keyframe_1,S2M2-S,['000006'],6032,0.03972027078270912,0.027125190943479538,0.041265781968832016,0.033266209065914154
test,dataset_7_keyframe_1,S2M2-S,['000006'],5690,0.04239217936992645,0.029330456629395485,0.040766630321741104,0.031928516924381256
test,dataset_7_keyframe_1,S2M2-S,['000006'],5230,0.05042634531855583,0.033246252685785294,0.04913529381155968,0.036577217280864716
test,dataset_7_keyframe_1,S2M2-S,['000006'],4631,0.06143289431929588,0.03568565845489502,0.0621742382645607,0.0390654131770134
test,dataset_7_keyframe_1,S2M2-S,['000010'],4069,0.05383549630641937,0.03938131034374237,0.05110174044966698,0.04382987320423126
test,dataset_7_keyframe_1,S2M2-S,['000010'],3587,0.062128424644470215,0.04558718577027321,0.06279031187295914,0.048535820096731186
test,dataset_7_keyframe_1,S2M2-S,['000010'],3040,0.06417697668075562,0.041587576270103455,0.06067575886845589,0.0389176569879055
test,dataset_7_keyframe_1,S2M2-S,['000010'],2658,0.050300050526857376,0.039419811218976974,0.0471811518073082,0.039454590529203415
test,dataset_7_keyframe_1,S2M2-S,['000014'],2244,0.050438206642866135,0.03830975294113159,0.05293748527765274,0.04353008791804314
test,dataset_7_keyframe_1,S2M2-S,['000014'],2002,0.06834972649812698,0.05095622316002846,0.06920779496431351,0.052555810660123825
test,dataset_7_keyframe_1,S2M2-S,['000014'],1833,0.06096348911523819,0.04776030778884888,0.06018069013953209,0.04794047772884369
test,dataset_7_keyframe_1,S2M2-S,['000014'],1521,0.07487156242132187,0.06463059782981873,0.07927761226892471,0.06869181990623474
test,dataset_7_keyframe_1,S2M2-S,['000018'],1385,0.06056629866361618,0.051043801009655,0.0655357837677002,0.05753058195114136
test,dataset_7_keyframe_1,S2M2-S,['000018'],1205,0.06998191773891449,0.057983797043561935,0.06888921558856964,0.05768921598792076
test,dataset_7_keyframe_1,S2M2-S,['000018'],1092,0.07085888087749481,0.06083294376730919,0.07075535506010056,0.05940143018960953
test,dataset_7_keyframe_1,S2M2-S,['000018'],1050,0.08602683991193771,0.07330921292304993,0.08629745990037918,0.07330944389104843
test,dataset_7_keyframe_1,S2M2-S,['000022'],1038,0.07290113717317581,0.06152123957872391,0.07487881183624268,0.06453275680541992
test,dataset_7_keyframe_1,S2M2-S,['000022'],1009,0.07952958345413208,0.06749650835990906,0.08056988567113876,0.06957404315471649
test,dataset_7_keyframe_1,S2M2-S,['000022'],1085,0.07365399599075317,0.06163424253463745,0.0754673108458519,0.0630025640130043
test,dataset_7_keyframe_1,S2M2-S,['000022'],1067,0.07303968816995621,0.060089267790317535,0.07240444421768188,0.059949859976768494
test,dataset_7_keyframe_1,S2M2-S,['000026'],1181,0.04862414672970772,0.04199527949094772,0.05518225207924843,0.04951060190796852
test,dataset_7_keyframe_1,S2M2-S,['000026'],1203,0.0610380619764328,0.043690163642168045,0.06451538950204849,0.049913182854652405
test,dataset_7_keyframe_1,S2M2-S,['000026'],1282,0.05757138878107071,0.05049224942922592,0.0613996759057045,0.05286622792482376
test,dataset_7_keyframe_1,S2M2-S,['000026'],1268,0.04610529541969299,0.039967652410268784,0.04593765363097191,0.040576737374067307
test,dataset_7_keyframe_1,S2M2-S,['000030'],1287,0.076114222407341,0.05072067677974701,0.07348845154047012,0.05120282247662544
test,dataset_7_keyframe_1,S2M2-S,['000030'],1306,0.07532382011413574,0.057349469512701035,0.07924570888280869,0.060470957309007645
test,dataset_7_keyframe_1,S2M2-S,['000030'],1350,0.05768423527479172,0.0418512262403965,0.05784507468342781,0.043557632714509964
test,dataset_7_keyframe_1,S2M2-S,['000030'],1357,0.03655042499303818,0.031089114025235176,0.04518752917647362,0.04028249531984329
test,dataset_7_keyframe_1,S2M2-S,['000034'],1412,0.052039287984371185,0.04010089859366417,0.0539584644138813,0.043451808393001556
