dataset,comparison,candidate,items,finite_local_item_count,finite_census_item_count,mean_local_rgb_l1_per_item,mean_ternary_census_per_item,median_disparity_px_per_item,mean_shared_valid_count
D4D,raw_RAFT-Stereo_paired,raw_RAFT-Stereo,156,112,112,0.005132253637417047,0.03269396475557836,6.48828125,183.82692307692307
D4D,raw_RAFT-Stereo_paired,zivid_scale_0.25,156,112,112,0.04201349222226521,0.1571771060106195,6.597437381744385,183.82692307692307
D4D,raw_RAFT-Stereo_paired,zivid_scale_1,156,112,112,0.047087770357003525,0.24552627301870547,26.38974952697754,183.82692307692307
D4D,raw_S2M2-S_paired,raw_S2M2-S,156,112,112,0.04087443100706878,0.18922088499156026,25.401596069335938,176.08333333333334
D4D,raw_S2M2-S_paired,zivid_scale_0.25,156,112,112,0.042190848121208546,0.15736954585944268,6.596105098724365,176.08333333333334
D4D,raw_S2M2-S_paired,zivid_scale_1,156,112,112,0.047374553448727444,0.24710113882714982,26.38442039489746,176.08333333333334
D4D,raw_StereoAnywhere_paired,raw_StereoAnywhere,156,112,112,0.010888112474536424,0.05832982378966075,8.001953125,183.82051282051282
D4D,raw_StereoAnywhere_paired,zivid_scale_0.25,156,112,112,0.04200421917052414,0.1571771060106195,6.597437381744385,183.82051282051282
D4D,raw_StereoAnywhere_paired,zivid_scale_1,156,112,112,0.0470775758831873,0.24490153332070413,26.38974952697754,183.82051282051282
D4D,zivid_scales_common,zivid_scale_0.125,156,112,112,0.046035730493193636,0.2196076385433636,3.2987186908721924,183.82692307692307
D4D,zivid_scales_common,zivid_scale_0.2,156,112,112,0.04327594124138808,0.1755413995280313,5.277949810028076,183.82692307692307
D4D,zivid_scales_common,zivid_scale_0.25,156,112,112,0.04201349222226521,0.1571771060106195,6.597437381744385,183.82692307692307
D4D,zivid_scales_common,zivid_scale_0.333333,156,112,112,0.04442370586197545,0.19571701352314058,8.796583652496338,183.82692307692307
D4D,zivid_scales_common,zivid_scale_0.5,156,112,112,0.04688775856538996,0.24801210987477265,13.19487476348877,183.82692307692307
D4D,zivid_scales_common,zivid_scale_0.75,156,112,112,0.046959497603243756,0.24101546419946576,19.792312622070312,183.82692307692307
D4D,zivid_scales_common,zivid_scale_1,156,112,112,0.047087770357003525,0.24552627301870547,26.38974952697754,183.82692307692307
SCARED-C-control,gt_scales_common,gt_scale_0.125,25,25,25,0.08259903356432914,0.36098174095153807,0.9859389662742615,17684.4
SCARED-C-control,gt_scales_common,gt_scale_0.2,25,25,25,0.07915429592132568,0.35503906846046446,1.5775023698806763,17684.4
SCARED-C-control,gt_scales_common,gt_scale_0.25,25,25,25,0.0772644680738449,0.35358644485473634,1.971877932548523,17684.4
SCARED-C-control,gt_scales_common,gt_scale_0.333333,25,25,25,0.0735437360405922,0.34693990349769593,2.6291706562042236,17684.4
SCARED-C-control,gt_scales_common,gt_scale_0.5,25,25,25,0.065499676913023,0.33022343158721923,3.943755865097046,17684.4
SCARED-C-control,gt_scales_common,gt_scale_0.75,25,25,25,0.0504910346865654,0.2763167035579681,5.9156341552734375,17684.4
SCARED-C-control,gt_scales_common,gt_scale_1,25,25,25,0.026384706273674965,0.09947063744068146,7.887511730194092,17684.4
