dataset,item_id,candidate,comparison,shared_valid_count,shared_valid_ratio,median_disparity_px,mean_local_rgb_l1,mean_ternary_census
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__start,zivid_scale_0.25,raw_RAFT-Stereo_paired,963,0.03715277777777778,6.0740485191345215,0.07063597440719604,0.2472185343503952
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__start,zivid_scale_1,raw_RAFT-Stereo_paired,963,0.03715277777777778,24.296194076538086,0.08099526911973953,0.4213660657405853
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__start,raw_RAFT-Stereo,raw_RAFT-Stereo_paired,963,0.03715277777777778,6.06640625,0.008822465315461159,0.04984423518180847
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__start,zivid_scale_0.25,raw_StereoAnywhere_paired,963,0.03715277777777778,6.0740485191345215,0.07063597440719604,0.2472185343503952
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__start,zivid_scale_1,raw_StereoAnywhere_paired,963,0.03715277777777778,24.296194076538086,0.08099526911973953,0.4213660657405853
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__start,raw_StereoAnywhere,raw_StereoAnywhere_paired,963,0.03715277777777778,6.08203125,0.008340118452906609,0.04535147547721863
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_0.125,zivid_scales_common,1030,0.03973765432098766,3.1021523475646973,0.09988992661237717,0.39721614122390747
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_0.2,zivid_scales_common,1030,0.03973765432098766,4.963443756103516,0.0914921909570694,0.31146225333213806
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_0.25,zivid_scales_common,1030,0.03973765432098766,6.2043046951293945,0.08641358464956284,0.2708638906478882
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_0.333333,zivid_scales_common,1030,0.03973765432098766,8.272405624389648,0.08905757963657379,0.3294233977794647
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_0.5,zivid_scales_common,1030,0.03973765432098766,12.408609390258789,0.10148809105157852,0.45156529545783997
D4D,specimen_1__2025_03_06-16_54_09__Clip_1__end,zivid_scale_0.75,zivid_scales_common,1030,0.03973765432098766,18.612913131713867,0.10136367380619049,0.4212997853755951
