epoch,loss,harm_loss,delta_loss,validation_harm_auroc,validation_harm_auprc,validation_brier,validation_sample_count,validation_harm_fraction,learning_rate
1,1.8976666927337646,1.8976666927337646,0.0,0.5800126335737222,0.32227887973970415,0.2002541319981983,435,0.27816091954022987,0.0019817460163830685
2,1.713868010044098,1.713868010044098,0.0,0.5818550297415381,0.3242900790863664,0.2010676866914843,435,0.27816091954022987,0.001927685555885722
3,1.6703845500946044,1.6703845500946044,0.0,0.5838027056903722,0.32629808460622434,0.20221360374149955,435,0.27816091954022987,0.0018398961316874179
4,1.5968010067939757,1.5968010067939757,0.0,0.5869874190661684,0.33014525347406126,0.20374099462035203,435,0.27816091954022987,0.00172175144212722
5,1.6961269855499268,1.6961269855499268,0.0,0.5903037321682371,0.3339009451586639,0.20546796899209271,435,0.27816091954022987,0.001577791721368622
6,1.780475378036499,1.780475378036499,0.0,0.5937779649418329,0.3388869703084789,0.2074435731705187,435,0.27816091954022987,0.0014135492607468352
7,1.3692457318305968,1.3692457318305968,0.0,0.59772595673001,0.3437936099897577,0.20931399189833863,435,0.27816091954022987,0.0012353358059153218
8,1.5652032375335694,1.5652032375335694,0.0,0.6016476285729326,0.3476031955894987,0.211064464543256,435,0.27816091954022987,0.0010499999999999997
9,1.5306135296821595,1.5306135296821595,0.0,0.6047007422224562,0.34931390175998295,0.2127203596448086,435,0.27816091954022987,0.0008646641940846781
10,1.7176355361938476,1.7176355361938476,0.0,0.6072932568300258,0.3511032422682463,0.2141480210260019,435,0.27816091954022987,0.0006864507392531648
11,1.4328889727592469,1.4328889727592469,0.0,0.6090172132441966,0.3520802791050892,0.21525163751803073,435,0.27816091954022987,0.0005222082786313779
12,1.385919189453125,1.385919189453125,0.0,0.6106490498499764,0.352682671738905,0.21609418645505468,435,0.27816091954022987,0.00037824855787277996
13,1.6097197771072387,1.6097197771072387,0.0,0.612017687003211,0.3531523161396576,0.21670930046053888,435,0.27816091954022987,0.0002601038683125823
14,1.6468007564544678,1.6468007564544678,0.0,0.612991524977628,0.3535064240826053,0.217166115431757,435,0.27816091954022987,0.00017231444411427765
15,1.4170049190521241,1.4170049190521241,0.0,0.6134389640469549,0.353711702730722,0.21745352790431094,435,0.27816091954022987,0.00011825398361693112
16,1.546320390701294,1.546320390701294,0.0,0.6139390430067906,0.3539193336034821,0.21766836078541352,435,0.27816091954022987,0.0001
