epoch,loss,harm_loss,delta_loss,validation_harm_auroc,validation_harm_auprc,validation_brier,validation_sample_count,validation_harm_fraction,validation_best_selective_gain,validation_best_selective_harm,validation_best_selective_coverage,validation_best_selective_harm_threshold,validation_best_selective_gain_threshold,validation_selective_feasible,learning_rate
1,1.200309405974185,1.200309405974185,0.0,0.6351437457519875,0.547380700959097,0.2666659026484472,563324,0.45297732743501073,0.038687363266944885,0.08410808722320157,0.07351186883569669,0.44999999999999996,-inf,True,0.0019676295349744023
2,1.1823391331370057,1.1823391331370057,0.0,0.6583384518025481,0.5651423323671406,0.290498660068913,563324,0.45297732743501073,0.0401577465236187,0.07903755533342853,0.07458940148120798,0.5499999999999999,-inf,True,0.001872724133594966
3,1.1724837502313727,1.1724837502313727,0.0,0.6612184636672844,0.5665206662425358,0.2833380541018015,563324,0.45297732743501073,0.039519526064395905,0.06388406711903635,0.0674957928297037,0.49999999999999994,-inf,True,0.0017217514421269924
4,1.1674079596021394,1.1674079596021394,0.0,0.6485455831043566,0.565212052513797,0.27207699026208076,563324,0.45297732743501073,0.03945145010948181,0.08994185625708702,0.0735793255746249,0.44999999999999996,-inf,True,0.001524999999999803
5,1.161350114026379,1.161350114026379,0.0,0.6475456374668687,0.5779632162444042,0.2740520334418474,563324,0.45297732743501073,0.040060579776763916,0.08574946285879825,0.07353317096377929,0.44999999999999996,-inf,True,0.0012958780928472306
6,1.1543003543423958,1.1543003543423958,0.0,0.6078416574796789,0.5433607597396529,0.2817747242940745,563324,0.45297732743501073,0.0383639931678772,0.07835645264003101,0.06411407999659166,0.44999999999999996,-inf,True,0.00104999999999986
7,1.1515001413746582,1.1515001413746582,0.0,0.6122892168225854,0.5482794931479351,0.2812353349199656,563324,0.45297732743501073,0.03828021138906479,0.07998440415517866,0.06374129275514624,0.44999999999999996,-inf,True,0.0008041219071524763
8,1.1493797830273653,1.1493797830273653,0.0,0.6001470946102657,0.5451219672542889,0.26053368553392764,563324,0.45297732743501073,0.03851849213242531,0.048329706014440185,0.051386058467240876,0.3,-inf,True,0.0005749999999999164
9,1.1431694360132125,1.1431694360132125,0.0,0.5893980690322873,0.5417502123343326,0.28301079983285343,563324,0.45297732743501073,0.03830791264772415,0.04273815300016173,0.043903685978229225,0.3,-inf,True,0.0003782485578727464
10,1.141537400049724,1.141537400049724,0.0,0.5849137846119361,0.5366829770776095,0.27452156579617976,563324,0.45297732743501073,0.03816874697804451,0.06043526975180796,0.05228429820139032,0.3,-inf,True,0.0002272758664047833
11,1.1385088714751757,1.1385088714751757,0.0,0.581196690798919,0.5372537018940641,0.2813119030487196,563324,0.45297732743501073,0.03806991130113602,0.051534474400566806,0.04760493073258019,0.3,-inf,True,0.00013237046502538583
12,1.1398900790645299,1.1398900790645299,0.0,0.5769894847591943,0.5345542267543192,0.2796356724372858,563324,0.45297732743501073,0.03801310062408447,0.03745847176079734,0.0427462703524082,0.25,-inf,True,0.0001
