dataset,split,backbone,frames,pixels,e_raw,e_memory,e_steer,e_oracle_binary,e_oracle_continuous,frac_bracketed,frac_usable_span,delta_sum,harm_sum,benefit_sum,frac_harmful,frac_intervened,weight_sum,auroc_weight,auprc_weight,aurc_weight,auroc_disagreement,auprc_disagreement,aurc_disagreement,auroc_update,auprc_update,aurc_update,excess_aurc_weight,oracle_aurc,gain_steer_px,gain_oracle_binary_px,gain_oracle_continuous_px,recovery_vs_binary_oracle,recovery_vs_continuous_oracle,bracketed_fraction,harmful_fraction,intervened_fraction,mean_weight,H_plus,B_plus
SCARED-C,d2,CREStereo,4225,17038211,0.29434091266168777,0.2931343513016348,0.2838064003689049,0.25970643488446404,0.2568433249899877,0.06747122687939479,0.9857120562716356,-179489.24322652817,203604.13877773285,383093.382004261,0.4427653231903279,0.9379642029318689,7630955.686167857,0.4072911523516622,0.398211790919022,0.0006453465681601656,0.5121154003583488,0.46709929334268496,-0.0015349903987260526,0.4549670830094543,0.4243773202487018,-0.0006092161095853271,0.02312971314891568,-0.022484366580755515,0.01053451229278285,0.03463447777722373,0.03749758767170008,0.30416258505593924,0.2809384002249665,0.06747122687939479,0.4427653231903279,0.9379642029318689,0.44787305933515303,0.011949854287972654,0.022484366580755515
SCARED-C,d2,Fast-FoundationStereo,4225,17038211,0.3037012179457282,0.3025832459113167,0.29387863502301276,0.2701837309613554,0.2674087392631763,0.0619244590878702,0.984465094369356,-167359.24040222168,200343.2156329155,367702.4560351372,0.44140755153225886,0.9372489283059119,7664319.873156294,0.40588630331282,0.3956278805391833,0.0009773449420683424,0.5151821852981674,0.4671959155602262,-0.0014821403721201973,0.46152891489007475,0.4258283433239349,-0.0005884343576224132,0.02255839333002041,-0.02158104838795207,0.009822582922715428,0.03351748698437279,0.036292478682551865,0.2930584541524582,0.27065064937098876,0.0619244590878702,0.44140755153225886,0.9372489283059119,0.4498312571170937,0.011758465465236668,0.02158104838795207
SCARED-C,d2,RAFT-Stereo,4225,17038211,0.3022126989649014,0.301037096472121,0.2920209776091428,0.26746065127851015,0.2645284360160526,0.06455601471304705,0.9853109578229781,-173648.69891262054,202999.24773859978,376647.9466512203,0.44136288721861705,0.9369402691397588,7604539.577901818,0.40381134971899457,0.39451087142352703,0.0007573156118023822,0.5121934435873029,0.4656489325912862,-0.001566781502844555,0.4565632201901599,0.42412495544429374,-0.0006142585350811685,0.022863389227818776,-0.022106073616016395,0.010191721355758576,0.03475204768639123,0.0376842629488488,0.2932696642146246,0.27045033014424175,0.06455601471304705,0.44136288721861705,0.9369402691397588,0.44632265546551914,0.011914352260257827,0.022106073616016395
SCARED-C,d2,S2M2-S,4225,17038211,0.2948822537089078,0.29567430465152217,0.2858183652088145,0.2623954866665339,0.2598622270013487,0.06353712839921985,0.9860230044104983,-154432.44474506378,205293.31881427765,359725.76355934143,0.45396726217324107,0.9373887904076315,7615153.085082389,0.4084457889051529,0.4080033756615826,0.0010488028014867794,0.5091377164204918,0.47723464668487164,-0.0012421428032441718,0.45504960199436856,0.43510445613350396,-0.0003994074175026812,0.02216168628199664,-0.021112883480509863,0.00906388850009332,0.03248676704237391,0.035020026707559104,0.2790024777864444,0.258820148133607,0.06353712839921985,0.45396726217324107,0.9373887904076315,0.44694557926782275,0.012048994980416526,0.021112883480509863
SCARED-C,d2,StereoAnywhere,4225,17038211,0.3188892892164179,0.30786442465137326,0.2974258756724619,0.27358036071752,0.2708056223939178,0.06332489954491115,0.9854721836699875,-365698.16874217987,199555.22118759155,565253.3899297714,0.43677361431901507,0.9358512463544442,7712893.782306423,0.3932062196688546,0.38280043771755873,0.0004329485648768227,0.5054621423753634,0.45246483569241014,-0.00175814499645224,0.4463068236869843,0.411553552222323,-0.0007118762442878805,0.033608578913026134,-0.03317563034814931,0.021463413543955978,0.045308928498897894,0.04808366682250009,0.4737126711014157,0.4463763885393297,0.06332489954491115,0.43677361431901507,0.9358512463544442,0.4526821379490149,0.011712216804193324,0.03317563034814931
SCARED-C,d7,CREStereo,4052,9566521,0.5704644564162111,0.5513589369978952,0.5446222454839618,0.5093925312545526,0.5042010514689889,0.12495681554454331,0.9881871372048417,-247220.0535697937,137422.52515125275,384642.57872104645,0.389990467799109,0.8954373277391018,4094396.799774591,0.5010613044747156,0.4162283179324371,-0.002499841754245785,0.4532753059268192,0.39497087338660647,-0.0016421299507238256,0.4742482978023568,0.40215958261177653,-0.000994474940446984,0.037707311788933225,-0.04020715354317901,0.025842210932249365,0.06107192516165849,0.06626340494722227,0.42314387279989235,0.38999219784785083,0.12495681554454331,0.389990467799109,0.8954373277391018,0.4279922450151514,0.01436494261092959,0.04020715354317901
SCARED-C,d7,Fast-FoundationStereo,4052,9566521,0.5322752457023412,0.5206887800731346,0.5162830806246794,0.4840718334512573,0.4795632826701366,0.11457634389764053,0.9868169421255648,-152989.38305091858,129420.29830741882,282409.6813583374,0.3902394611374396,0.8950835941299873,4072526.1945792064,0.4932074207869042,0.41204049712931745,-0.0020935631019297213,0.453235911653533,0.3981004474748291,-0.0015800200043384687,0.4673477997974748,0.40036175505491106,-0.0009454117553236941,0.027427062145047462,-0.029520625246977183,0.01599216507766177,0.04820341225108388,0.0527119630322046,0.33176417043592543,0.3033877730543119,0.11457634389764053,0.3902394611374396,0.8950835941299873,0.4257060842263563,0.013528460169315347,0.029520625246977183
SCARED-C,d7,RAFT-Stereo,4052,9566521,0.5152945758866105,0.4872215581025249,0.4771675656617179,0.43752103231287465,0.42764562681047324,0.13764523174098506,0.9880305494547077,-364742.8439836502,156754.86535310745,521497.70933675766,0.384503415609499,0.8938922519482265,4056965.8445833195,0.49857329339054396,0.4102650703249439,-0.0032658246204232406,0.4501186684502279,0.3898897719523005,-0.0018866631031806268,0.47030491779924116,0.3976884828971089,-0.0011139526951921383,0.051246961097264274,-0.054512785717687515,0.03812701022489262,0.07777354357373589,0.0876489490761373,0.4902311052439702,0.4349967755092322,0.13764523174098506,0.384503415609499,0.8938922519482265,0.42407954203867,0.01638577549279487,0.054512785717687515
SCARED-C,d7,S2M2-S,4052,9566521,0.5697185314799074,0.5583664568879795,0.5503644412912707,0.5167227592815413,0.512486674740203,0.10882461868844484,0.9874969176359932,-185151.31022548676,142568.0448179245,327719.35504341125,0.40034856976742117,0.8979386550241201,4068763.0696986713,0.5070192627309424,0.43118539279352297,-0.001820024953350964,0.4596940450611872,0.41013537125568905,-0.0012322733049603938,0.4817521719142744,0.4169634097825903,-0.0007958806218158395,0.03243687523464959,-0.03425690018800055,0.019354090188636652,0.05299577219836604,0.05723185673970432,0.36520064499094845,0.33816988109718005,0.10882461868844484,0.40034856976742117,0.8979386550241201,0.4253127202353574,0.014902809999363876,0.03425690018800055
SCARED-C,d7,StereoAnywhere,4052,9566521,0.5160433249213578,0.49442191086774023,0.47939540536338004,0.4464547394944829,0.44097705195543446,0.11432536446635093,0.9868119246275632,-350593.0920577049,132892.56460237503,483485.65666007996,0.3878196681949478,0.8969233433972497,4114580.84052606,0.48758614825752805,0.4034061996092873,-0.0027053048090848455,0.4484092146158977,0.38822545109071654,-0.0017679523732967702,0.46170768405667506,0.39223214147058205,-0.0010553328330447742,0.04783403510979266,-0.050539339918877504,0.036647919557977804,0.06958858542687496,0.07506627296592339,0.5266369381295751,0.4882075279615156,0.11432536446635093,0.3878196681949478,0.8969233433972497,0.4301021071846349,0.013891420360899749,0.050539339918877504
