coverage,sample_count,mean_realized_utility_px,memory_better_precision,harmful_fraction,mean_helpful_magnitude_px,mean_harmful_magnitude_px
0.001,1794,9.149083137512207,0.9096989966555183,0.08807134894091416,10.338382720947266,3.16542911529541
0.002,3588,5.325112342834473,0.9002229654403567,0.09503901895206243,6.162716865539551,2.6505563259124756
0.005,8970,2.6507914066314697,0.8397993311036789,0.1454849498327759,3.3444604873657227,1.4235175848007202
0.01,17939,1.548139214515686,0.7861642232008473,0.1851831205752829,2.1113784313201904,0.9301459193229675
0.02,35877,0.8582928776741028,0.7046575800652228,0.24291328706413579,1.3291807174682617,0.6093207597732544
0.05,89691,0.3581114411354065,0.569287888416898,0.34690214179795076,0.7384576797485352,0.35795024037361145
0.1,179382,0.17626634240150452,0.4532617542451305,0.42046582154285267,0.4746950566768646,0.235056072473526
0.2,358764,0.08684340864419937,0.28735882084044106,0.46290040249300374,0.2920825481414795,0.15128161013126373
0.5,896909,0.0346376858651638,0.11709995105412031,0.48545616110441525,0.13769343495368958,0.07454654574394226
1.0,1793817,0.0016429558163508773,0.09633368398225683,0.46978593691552706,0.09850919246673584,0.10765570402145386
