backbone,sequence,coverage_threshold,method,frames,valid_count,clean_count,changed_count,epe,raw_epe,bad1,bad3,bad5,boundary_epe,non_boundary_epe,p95_pixel_error,intervention_coverage,intervention_precision,false_update_rate,clean_pixel_degradation,new_bad3
S2M2-S,dataset_7_keyframe_1,0.05,raw,646,11549092,10271516,0,0.26442802919621516,0.26442802919621516,0.027683301888112632,0.003946717206880867,0.0009971346682354964,0.4917458392715072,0.2229998421235015,0.7349574559024792,0.0,0.0,0.0,0.0,0.0
S2M2-S,dataset_7_keyframe_1,0.05,aligned_memory,646,11549092,10271516,4821835,0.25842892048279154,0.26442802919621516,0.025322769966799774,0.003616994325350403,0.0008455210190596484,0.4821622195268491,0.21765989465014843,0.711470076633504,0.41750771402634945,0.5252960750419705,0.38688991965742936,0.19023998015482818,9.706436996837518e-05
S2M2-S,dataset_7_keyframe_1,0.05,fixed_blend_50,646,11549092,10271516,4821835,0.25960677760061734,0.26442802919621516,0.026010962671458172,0.003763845684680222,0.0009073440591970273,0.48446323411366427,0.21863274426959142,0.7162995777443903,0.41750771402634945,0.5539853603451798,0.38688991965742936,0.1769405801441579,4.48718591835239e-05
S2M2-S,dataset_7_keyframe_1,0.05,oracle_raw_memory,646,11549092,10271516,2588340,0.23223837848781098,0.26442802919621516,0.022846384868227557,0.003520709683923505,0.0008229218388187911,0.4468829752957527,0.19314582324191343,0.6673844703410011,0.22411632014014607,0.9785773893692482,0.19127799635418957,0.0,0.0
S2M2-S,dataset_7_keyframe_1,0.05,learned_no_abstention,646,11549092,10271516,355663,0.2605589999569492,0.26442802919621516,0.02589458984015409,0.003839695803381141,0.0009071708878936235,0.4865533332707973,0.21936722442159098,0.7200523520385447,0.03079575433289474,0.733196874569466,0.0186240278455488,0.007545332159342399,7.055594988158212e-06
S2M2-S,dataset_7_keyframe_1,0.05,learned_calibrated,646,11549092,10271516,355659,0.2605607966746687,0.26442802919621516,0.025894936186739454,0.003840042151075612,0.0009075172354771842,0.48656166682691265,0.21936775829774902,0.7200545548916981,0.030795407985320405,0.7331938739073101,0.0186240278455488,0.007545332159342399,7.055594988158212e-06
S2M2-S,dataset_7_keyframe_1,0.05,unwarped_previous_control,646,11549092,10271516,4821835,0.26484341206984585,0.26442802919621516,0.02888807189719915,0.0038468825117520646,0.0009599023029703243,0.499338401084304,0.22218774675696748,0.7327072680831372,0.41750771402634945,0.47101425079871045,0.38688991965742936,0.17976022234692524,0.0005817541267303083
S2M2-S,dataset_7_keyframe_1,0.05,identity_no_flow_control,646,11549092,10271516,4821835,0.26484341206984585,0.26442802919621516,0.02888807189719915,0.0038468825117520646,0.0009599023029703243,0.499338401084304,0.22218774675696748,0.7327072680831372,0.41750771402634945,0.47101425079871045,0.38688991965742936,0.17976022234692524,0.0005817541267303083
S2M2-S,dataset_7_keyframe_1,0.05,shuffled_memory_control,646,11549092,10271516,4821835,0.2879511745766962,0.26442802919621516,0.03600785234207177,0.006989553749278251,0.002249700643081626,0.517453369450873,0.24615301656227606,0.8062675738483881,0.41750771402634945,0.4535088819920217,0.38688991965742936,0.17309450717888186,0.003964714815418346
S2M2-S,dataset_7_keyframe_1,0.25,raw,646,9052014,8408105,0,0.22351962445831378,0.22351962445831378,0.01689171051552929,0.0029840873066404846,0.0007364107062558832,0.48176111934322163,0.20043730356074038,0.6069293438809363,0.0,0.0,0.0,0.0,0.0
S2M2-S,dataset_7_keyframe_1,0.25,aligned_memory,646,9052014,8408105,3425052,0.21999555049427447,0.22351962445831378,0.01575207467624609,0.0027687761087328328,0.0006049482505272641,0.47378243476596765,0.19725479976314744,0.5901009615075743,0.37837458050771905,0.5131957120651015,0.35763670886602866,0.17552528185601868,6.0280434477764596e-05
