backbone,sequence,age_frames,method,frames,epe,gt_tce,nr_tce,stereo_photo,temporal_photo
CREStereo,dataset_2_keyframe_2,0,h4,1022,0.21724804512084336,,,,
CREStereo,dataset_2_keyframe_2,0,immutable,1022,0.21856762428670876,,,,
CREStereo,dataset_2_keyframe_2,0,raw,1022,0.22762601170004654,,,,
CREStereo,dataset_2_keyframe_2,1,h4,1014,0.22705326473319348,0.02371751514624054,0.0031118220945551382,0.014909210886885777,0.011317167282896019
CREStereo,dataset_2_keyframe_2,1,immutable,1014,0.22779248616379097,0.03468373775546023,0.003949710128283301,0.014952677794247249,0.011317167282896019
CREStereo,dataset_2_keyframe_2,1,raw,1014,0.2379504387788784,0.03154868160448327,0.0040399149720116235,0.014895504957923975,0.011317167282896019
CREStereo,dataset_2_keyframe_2,2,h4,1014,0.22705326473319348,0.029631135040175657,0.0057031053193115095,0.014909210886885777,0.013521909453652529
CREStereo,dataset_2_keyframe_2,2,immutable,1014,0.22779248616379097,0.0368552294347571,0.006084451821660647,0.014952677794247249,0.013521909453652529
CREStereo,dataset_2_keyframe_2,2,raw,1014,0.2379504387788784,0.03498058153219946,0.0064199380476598926,0.014895504957923975,0.013521909453652529
CREStereo,dataset_2_keyframe_2,4,h4,1014,0.22705326473319348,0.03384516855395557,0.01072051608066324,0.014909210886885777,0.017156663676074078
CREStereo,dataset_2_keyframe_2,4,immutable,1014,0.22779248616379097,0.040421096221457384,0.010694175519462043,0.014952677794247249,0.017156663676074078
CREStereo,dataset_2_keyframe_2,4,raw,1014,0.2379504387788784,0.03792448883921775,0.011255212292549438,0.014895504957923975,0.017156663676074078
CREStereo,dataset_2_keyframe_2,8,h4,1014,0.22705326473319348,0.043015772849548196,0.02029851521707201,0.014909210886885777,0.026125024168071838
CREStereo,dataset_2_keyframe_2,8,immutable,1014,0.22779248616379097,0.04776710689039914,0.019731403541507056,0.014952677794247249,0.026125024168071838
CREStereo,dataset_2_keyframe_2,8,raw,1014,0.2379504387788784,0.04547551798504144,0.021025862907388816,0.014895504957923975,0.026125024168071838
CREStereo,dataset_2_keyframe_3,0,h4,1094,0.24561211300825864,,,,
CREStereo,dataset_2_keyframe_3,0,immutable,1094,0.2531470231097398,,,,
