backbone,age_frames,method,frames,epe,gt_tce,nr_tce,stereo_photo,temporal_photo
CREStereo,0,h4,3962,0.28324053526779214,,,,
CREStereo,0,immutable,3962,0.29878417503034643,,,,
CREStereo,0,raw,3962,0.29434091297467013,,,,
CREStereo,1,h4,3938,0.28266990857403057,0.0344176303633543,0.0038010707780032488,0.016783696379168638,0.012234798299245822
CREStereo,1,immutable,3938,0.2986468796884196,0.03972891760549338,0.004562554591253321,0.016946918109456602,0.012234798299245822
CREStereo,1,raw,3938,0.2941310462068546,0.031662070418076886,0.004366589664649212,0.016691944016008802,0.012234798299245822
CREStereo,2,h4,3938,0.28266990857403057,0.04273921095287991,0.007124124841485852,0.016783696379168638,0.014387145006916893
CREStereo,2,immutable,3938,0.2986468796884196,0.0448984958260539,0.007652191249206857,0.016946918109456602,0.014387145006916893
CREStereo,2,raw,3938,0.2941310462068546,0.034667578290604656,0.007494056722050241,0.016691944016008802,0.014387145006916893
CREStereo,4,h4,3938,0.28266990857403057,0.04184504892864368,0.013604041430897485,0.016783696379168638,0.018624536672670413
CREStereo,4,immutable,3938,0.2986468796884196,0.05357114208131451,0.01390374160919977,0.016946918109456602,0.018624536672670413
CREStereo,4,raw,3938,0.2941310462068546,0.038671769989665636,0.013881574520320936,0.016691944016008802,0.018624536672670413
CREStereo,8,h4,3938,0.28266990857403057,0.05438779358361815,0.026127785225960938,0.016783696379168638,0.027756824031453308
CREStereo,8,immutable,3938,0.2986468796884196,0.0711607492321293,0.02611374885382176,0.016946918109456602,0.027756824031453308
CREStereo,8,raw,3938,0.2941310462068546,0.0471237123740859,0.02648190527412123,0.016691944016008802,0.027756824031453308
Fast-FoundationStereo,0,h4,3962,0.29301520739381093,,,,
Fast-FoundationStereo,0,immutable,3962,0.3089676855594296,,,,
Fast-FoundationStereo,0,raw,3962,0.30370121794138877,,,,
Fast-FoundationStereo,1,h4,3938,0.292588770133618,0.03220083015715903,0.003694448326188304,0.016837214019924236,0.012234798299245822
Fast-FoundationStereo,1,immutable,3938,0.30899981336086296,0.03538607667610633,0.004333430964816556,0.016988847331821624,0.012234798299245822
Fast-FoundationStereo,1,raw,3938,0.30366759130913207,0.02753983192644296,0.004128683767252659,0.01675407253692431,0.012234798299245822
Fast-FoundationStereo,2,h4,3938,0.292588770133618,0.04054707307743658,0.00702002651084607,0.016837214019924236,0.014387145006916893
Fast-FoundationStereo,2,immutable,3938,0.30899981336086296,0.04137366335854492,0.007559613554851956,0.016988847331821624,0.014387145006916893
